,id,val_index,size,valuation,algo,distortion
0,1,1,5,unit_range_abdulkadiroglu_1,serial_dictatorship,0.9999999999999999
1,2,1,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,0.9999999999999999
2,3,1,5,unit_range_abdulkadiroglu_1,modified_max_matching,0.9999999999999999
3,4,1,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,0.9999999999999999
4,5,2,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
5,6,2,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
6,7,2,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
7,8,2,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
8,9,3,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
9,10,3,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
10,11,3,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
11,12,3,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
12,13,4,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
13,14,4,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
14,15,4,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
15,16,4,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
16,17,5,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
17,18,5,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
18,19,5,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
19,20,5,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
20,21,6,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
21,22,6,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
22,23,6,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
23,24,6,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
24,25,7,5,unit_range_abdulkadiroglu_1,serial_dictatorship,0.9999999999999998
25,26,7,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,0.9999999999999998
26,27,7,5,unit_range_abdulkadiroglu_1,modified_max_matching,0.9999999999999998
27,28,7,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,0.9999999999999998
28,29,8,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0000000000000002
29,30,8,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
30,31,8,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
31,32,8,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
32,33,9,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
33,34,9,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
34,35,9,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
35,36,9,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
36,37,10,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
37,38,10,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
38,39,10,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
39,40,10,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
40,41,11,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
41,42,11,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
42,43,11,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
43,44,11,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
44,45,12,5,unit_range_abdulkadiroglu_1,serial_dictatorship,0.9999999999999998
45,46,12,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,0.9999999999999998
46,47,12,5,unit_range_abdulkadiroglu_1,modified_max_matching,0.9999999999999998
47,48,12,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,0.9999999999999998
48,49,13,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
49,50,13,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
50,51,13,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
51,52,13,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
52,53,14,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
53,54,14,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
54,55,14,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
55,56,14,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
56,57,15,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
57,58,15,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
58,59,15,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
59,60,15,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
60,61,16,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
61,62,16,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
62,63,16,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
63,64,16,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
64,65,17,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0000000000000002
65,66,17,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
66,67,17,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0000000000000002
67,68,17,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
68,69,18,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
69,70,18,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
70,71,18,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
71,72,18,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
72,73,19,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
73,74,19,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
74,75,19,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
75,76,19,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
76,77,20,5,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0
77,78,20,5,unit_range_abdulkadiroglu_1,partial_max_matching_1.0,1.0
78,79,20,5,unit_range_abdulkadiroglu_1,modified_max_matching,1.0
79,80,20,5,unit_range_abdulkadiroglu_1,hybrid_max_matching,1.0
80,81,21,10,unit_range_abdulkadiroglu_1,serial_dictatorship,0.9999999999999999
81,82,21,10,unit_range_abdulkadiroglu_1,partial_max_matching_2.0,0.9999999999999999
82,83,21,10,unit_range_abdulkadiroglu_1,modified_max_matching,0.9999999999999999
83,84,21,10,unit_range_abdulkadiroglu_1,hybrid_max_matching,0.9999999999999999
84,85,22,10,unit_range_abdulkadiroglu_1,serial_dictatorship,1.0000000000000002
85,86,22,10,unit_range_abdulkadiroglu_1,partial_max_matching_2.0,1.0000000000000002
