,0
1,"[[0.         0.13504512 0.01798621 1.         0.00214401]
 [0.01798621 0.00214401 1.         0.         0.13504512]
 [0.01798621 0.13504512 1.         0.00214401 0.        ]
 [1.         0.13504512 0.01798621 0.00214401 0.        ]
 [0.13504512 1.         0.01798621 0.         0.00214401]]"
2,"[[1.         0.00214401 0.13504512 0.         0.01798621]
 [0.         1.         0.00214401 0.13504512 0.01798621]
 [0.01798621 0.13504512 1.         0.         0.00214401]
 [1.         0.         0.13504512 0.00214401 0.01798621]
 [0.00214401 0.13504512 0.         1.         0.01798621]]"
3,"[[0.01798621 0.00214401 0.         1.         0.13504512]
 [0.13504512 1.         0.00214401 0.         0.01798621]
 [0.13504512 0.00214401 0.         1.         0.01798621]
 [0.         1.         0.00214401 0.01798621 0.13504512]
 [0.13504512 0.01798621 0.         0.00214401 1.        ]]"
4,"[[0.13504512 0.         1.         0.01798621 0.00214401]
 [0.00214401 1.         0.         0.13504512 0.01798621]
 [0.00214401 0.13504512 0.01798621 0.         1.        ]
 [1.         0.01798621 0.         0.13504512 0.00214401]
 [0.01798621 0.         1.         0.00214401 0.13504512]]"
5,"[[0.00214401 0.13504512 0.01798621 1.         0.        ]
 [1.         0.         0.13504512 0.01798621 0.00214401]
 [1.         0.01798621 0.         0.00214401 0.13504512]
 [0.13504512 0.01798621 0.00214401 1.         0.        ]
 [0.         0.01798621 0.13504512 1.         0.00214401]]"
6,"[[1.         0.00214401 0.         0.13504512 0.01798621]
 [1.         0.         0.00214401 0.01798621 0.13504512]
 [1.         0.13504512 0.01798621 0.         0.00214401]
 [0.00214401 0.13504512 0.         0.01798621 1.        ]
 [0.13504512 0.         0.01798621 0.00214401 1.        ]]"
7,"[[0.01798621 0.13504512 1.         0.00214401 0.        ]
 [1.         0.         0.00214401 0.01798621 0.13504512]
 [1.         0.01798621 0.13504512 0.         0.00214401]
 [1.         0.01798621 0.13504512 0.00214401 0.        ]
 [0.13504512 1.         0.00214401 0.01798621 0.        ]]"
8,"[[0.00214401 0.01798621 1.         0.13504512 0.        ]
 [0.01798621 0.00214401 1.         0.13504512 0.        ]
 [1.         0.01798621 0.         0.13504512 0.00214401]
 [1.         0.01798621 0.00214401 0.         0.13504512]
 [0.13504512 0.00214401 0.01798621 0.         1.        ]]"
9,"[[0.01798621 0.00214401 0.         1.         0.13504512]
 [0.01798621 0.13504512 1.         0.00214401 0.        ]
 [0.13504512 0.         0.00214401 0.01798621 1.        ]
 [0.01798621 1.         0.00214401 0.         0.13504512]
 [0.13504512 1.         0.00214401 0.01798621 0.        ]]"
10,"[[0.00214401 1.         0.         0.13504512 0.01798621]
 [1.         0.00214401 0.13504512 0.         0.01798621]
 [1.         0.         0.13504512 0.01798621 0.00214401]
 [0.         0.13504512 1.         0.01798621 0.00214401]
 [0.00214401 0.01798621 1.         0.13504512 0.        ]]"
