,id,val_index,size,valuation,algo,distortion
0,1,1,5,unit_range_arrow_0.5,serial_dictatorship,1.0
1,2,1,5,unit_range_arrow_0.5,partial_max_matching_1.0,1.0633980037346977
2,3,1,5,unit_range_arrow_0.5,modified_max_matching,1.0633980037346977
3,4,1,5,unit_range_arrow_0.5,hybrid_max_matching,1.0633980037346977
4,5,2,5,unit_range_arrow_0.5,serial_dictatorship,1.1827646446575013
5,6,2,5,unit_range_arrow_0.5,partial_max_matching_1.0,1.0
6,7,2,5,unit_range_arrow_0.5,modified_max_matching,1.0
7,8,2,5,unit_range_arrow_0.5,hybrid_max_matching,1.0
8,9,3,5,unit_range_arrow_0.5,serial_dictatorship,1.0216246790718815
9,10,3,5,unit_range_arrow_0.5,partial_max_matching_1.0,1.0
10,11,3,5,unit_range_arrow_0.5,modified_max_matching,1.0
11,12,3,5,unit_range_arrow_0.5,hybrid_max_matching,1.0
12,13,4,5,unit_range_arrow_0.5,serial_dictatorship,1.0
13,14,4,5,unit_range_arrow_0.5,partial_max_matching_1.0,1.0785280145790623
14,15,4,5,unit_range_arrow_0.5,modified_max_matching,1.0785280145790623
15,16,4,5,unit_range_arrow_0.5,hybrid_max_matching,1.0785280145790623
16,17,5,5,unit_range_arrow_0.5,serial_dictatorship,1.101850836764368
17,18,5,5,unit_range_arrow_0.5,partial_max_matching_1.0,1.0
18,19,5,5,unit_range_arrow_0.5,modified_max_matching,1.0
19,20,5,5,unit_range_arrow_0.5,hybrid_max_matching,1.0
20,21,6,5,unit_range_arrow_0.5,serial_dictatorship,1.2475432337644394
21,22,6,5,unit_range_arrow_0.5,partial_max_matching_1.0,1.0816683957652233
22,23,6,5,unit_range_arrow_0.5,modified_max_matching,1.0816683957652233
23,24,6,5,unit_range_arrow_0.5,hybrid_max_matching,1.0816683957652233
24,25,7,5,unit_range_arrow_0.5,serial_dictatorship,1.0
25,26,7,5,unit_range_arrow_0.5,partial_max_matching_1.0,1.1216589800553614
26,27,7,5,unit_range_arrow_0.5,modified_max_matching,1.1216589800553614
27,28,7,5,unit_range_arrow_0.5,hybrid_max_matching,1.1216589800553614
28,29,8,5,unit_range_arrow_0.5,serial_dictatorship,1.0
29,30,8,5,unit_range_arrow_0.5,partial_max_matching_1.0,1.0
30,31,8,5,unit_range_arrow_0.5,modified_max_matching,1.0
31,32,8,5,unit_range_arrow_0.5,hybrid_max_matching,1.0
