,0
1,"[[0.45505423 0.         1.         0.73105858 0.89846368]
 [0.         1.         0.73105858 0.89846368 0.45505423]
 [0.         0.73105858 0.89846368 0.45505423 1.        ]
 [0.45505423 0.         0.73105858 0.89846368 1.        ]
 [0.73105858 1.         0.89846368 0.         0.45505423]]"
2,"[[0.         0.89846368 1.         0.45505423 0.73105858]
 [1.         0.73105858 0.45505423 0.         0.89846368]
 [0.45505423 0.         0.73105858 1.         0.89846368]
 [0.         1.         0.45505423 0.89846368 0.73105858]
 [0.45505423 0.89846368 1.         0.73105858 0.        ]]"
3,"[[0.45505423 0.         0.89846368 0.73105858 1.        ]
 [0.89846368 0.73105858 0.         1.         0.45505423]
 [0.89846368 0.73105858 0.45505423 0.         1.        ]
 [1.         0.89846368 0.         0.45505423 0.73105858]
 [1.         0.         0.89846368 0.45505423 0.73105858]]"
4,"[[1.         0.         0.73105858 0.89846368 0.45505423]
 [0.73105858 0.         1.         0.45505423 0.89846368]
 [0.73105858 0.         1.         0.45505423 0.89846368]
 [0.         0.89846368 1.         0.45505423 0.73105858]
 [0.         0.45505423 0.73105858 0.89846368 1.        ]]"
5,"[[1.         0.89846368 0.73105858 0.         0.45505423]
 [0.         0.89846368 0.73105858 0.45505423 1.        ]
 [1.         0.73105858 0.89846368 0.         0.45505423]
 [0.         0.89846368 0.73105858 1.         0.45505423]
 [1.         0.45505423 0.89846368 0.73105858 0.        ]]"
6,"[[0.73105858 0.         1.         0.89846368 0.45505423]
 [0.45505423 0.73105858 0.         1.         0.89846368]
 [0.45505423 0.89846368 1.         0.         0.73105858]
 [0.73105858 1.         0.45505423 0.89846368 0.        ]
 [0.73105858 1.         0.89846368 0.45505423 0.        ]]"
7,"[[0.45505423 0.         0.89846368 0.73105858 1.        ]
 [0.45505423 0.73105858 0.89846368 0.         1.        ]
 [0.89846368 0.         1.         0.45505423 0.73105858]
 [0.73105858 0.89846368 0.         0.45505423 1.        ]
 [0.73105858 0.         0.45505423 1.         0.89846368]]"
8,"[[1.         0.45505423 0.89846368 0.73105858 0.        ]
 [0.89846368 0.73105858 0.         0.45505423 1.        ]
 [0.         0.45505423 0.89846368 1.         0.73105858]
 [0.89846368 0.73105858 1.         0.         0.45505423]
 [0.73105858 1.         0.         0.45505423 0.89846368]]"
9,"[[0.89846368 1.         0.         0.45505423 0.73105858]
 [0.45505423 0.73105858 1.         0.89846368 0.        ]
 [0.89846368 0.45505423 0.         1.         0.73105858]
 [0.89846368 1.         0.45505423 0.73105858 0.        ]
 [1.         0.89846368 0.73105858 0.45505423 0.        ]]"
10,"[[1.         0.         0.45505423 0.89846368 0.73105858]
 [0.89846368 0.73105858 1.         0.         0.45505423]
 [0.73105858 0.45505423 1.         0.         0.89846368]
 [0.73105858 0.         0.45505423 1.         0.89846368]
 [0.73105858 0.45505423 0.89846368 0.         1.        ]]"
