,0
1,"[[0.73105858 0.         0.89846368 1.         0.45505423]
 [0.89846368 0.73105858 1.         0.         0.45505423]
 [0.         1.         0.45505423 0.73105858 0.89846368]
 [0.         0.73105858 0.89846368 0.45505423 1.        ]
 [1.         0.45505423 0.         0.73105858 0.89846368]]"
2,"[[0.         0.45505423 1.         0.89846368 0.73105858]
 [0.73105858 1.         0.45505423 0.89846368 0.        ]
 [0.73105858 0.45505423 0.89846368 1.         0.        ]
 [1.         0.73105858 0.         0.89846368 0.45505423]
 [0.45505423 1.         0.         0.89846368 0.73105858]]"
3,"[[0.89846368 0.         1.         0.73105858 0.45505423]
 [0.73105858 0.89846368 1.         0.         0.45505423]
 [0.45505423 0.         1.         0.89846368 0.73105858]
 [0.73105858 0.45505423 0.         0.89846368 1.        ]
 [0.89846368 0.73105858 0.45505423 0.         1.        ]]"
4,"[[0.45505423 0.89846368 0.         0.73105858 1.        ]
 [0.         0.45505423 0.73105858 1.         0.89846368]
 [0.73105858 0.45505423 0.         0.89846368 1.        ]
 [1.         0.73105858 0.         0.45505423 0.89846368]
 [1.         0.         0.89846368 0.73105858 0.45505423]]"
5,"[[0.45505423 0.         0.73105858 1.         0.89846368]
 [0.         1.         0.89846368 0.45505423 0.73105858]
 [0.89846368 1.         0.73105858 0.45505423 0.        ]
 [0.89846368 0.45505423 1.         0.         0.73105858]
 [0.89846368 0.73105858 1.         0.         0.45505423]]"
6,"[[1.         0.         0.73105858 0.89846368 0.45505423]
 [0.45505423 0.         0.73105858 1.         0.89846368]
 [0.89846368 0.         0.73105858 1.         0.45505423]
 [0.45505423 0.         0.73105858 0.89846368 1.        ]
 [0.73105858 1.         0.         0.89846368 0.45505423]]"
7,"[[0.45505423 0.89846368 1.         0.         0.73105858]
 [0.89846368 0.45505423 0.         1.         0.73105858]
 [0.         1.         0.45505423 0.73105858 0.89846368]
 [0.         0.73105858 0.45505423 0.89846368 1.        ]
 [0.73105858 1.         0.         0.45505423 0.89846368]]"
8,"[[0.45505423 0.73105858 0.         0.89846368 1.        ]
 [0.89846368 0.45505423 0.         1.         0.73105858]
 [1.         0.45505423 0.         0.89846368 0.73105858]
 [0.89846368 0.45505423 1.         0.73105858 0.        ]
 [0.45505423 0.89846368 0.73105858 0.         1.        ]]"
9,"[[0.89846368 0.73105858 0.45505423 1.         0.        ]
 [0.         0.73105858 1.         0.89846368 0.45505423]
 [0.73105858 0.45505423 0.         1.         0.89846368]
 [0.         0.45505423 0.73105858 0.89846368 1.        ]
 [0.45505423 1.         0.         0.89846368 0.73105858]]"
10,"[[0.89846368 0.45505423 0.73105858 1.         0.        ]
 [0.         0.89846368 0.73105858 0.45505423 1.        ]
 [1.         0.45505423 0.73105858 0.         0.89846368]
 [0.73105858 0.         0.45505423 1.         0.89846368]
 [0.45505423 0.73105858 0.89846368 1.         0.        ]]"
11,"[[0.         1.         0.89846368 0.73105858 0.45505423]
 [0.73105858 0.89846368 0.45505423 1.         0.        ]
 [1.         0.89846368 0.         0.73105858 0.45505423]
 [0.73105858 0.         0.45505423 1.         0.89846368]
 [0.45505423 0.89846368 0.73105858 1.         0.        ]]"
12,"[[1.         0.         0.89846368 0.73105858 0.45505423]
 [0.         0.45505423 1.         0.73105858 0.89846368]
 [1.         0.45505423 0.         0.89846368 0.73105858]
 [0.73105858 0.89846368 1.         0.45505423 0.        ]
 [0.73105858 0.         0.45505423 1.         0.89846368]]"
13,"[[1.         0.73105858 0.45505423 0.89846368 0.        ]
 [1.         0.89846368 0.73105858 0.45505423 0.        ]
 [1.         0.73105858 0.89846368 0.         0.45505423]
 [1.         0.73105858 0.89846368 0.45505423 0.        ]
 [0.89846368 0.73105858 0.         0.45505423 1.        ]]"
14,"[[0.         1.         0.73105858 0.89846368 0.45505423]
 [0.         0.89846368 0.73105858 0.45505423 1.        ]
 [1.         0.45505423 0.73105858 0.89846368 0.        ]
 [0.73105858 1.         0.45505423 0.89846368 0.        ]
 [1.         0.45505423 0.89846368 0.         0.73105858]]"
15,"[[0.         0.45505423 0.73105858 0.89846368 1.        ]
 [0.45505423 0.         0.89846368 1.         0.73105858]
 [0.45505423 1.         0.         0.89846368 0.73105858]
 [0.89846368 1.         0.45505423 0.         0.73105858]
 [0.45505423 1.         0.         0.89846368 0.73105858]]"
16,"[[1.         0.         0.89846368 0.45505423 0.73105858]
 [0.         0.45505423 1.         0.89846368 0.73105858]
 [0.45505423 0.73105858 1.         0.         0.89846368]
 [1.         0.         0.73105858 0.45505423 0.89846368]
 [0.45505423 0.73105858 0.89846368 0.         1.        ]]"
17,"[[0.         0.89846368 0.45505423 0.73105858 1.        ]
 [1.         0.         0.73105858 0.45505423 0.89846368]
 [0.89846368 0.45505423 1.         0.         0.73105858]
 [0.         0.73105858 0.45505423 0.89846368 1.        ]
 [0.45505423 0.89846368 0.73105858 1.         0.        ]]"
18,"[[0.89846368 1.         0.         0.45505423 0.73105858]
 [0.73105858 0.45505423 0.89846368 1.         0.        ]
 [1.         0.89846368 0.45505423 0.         0.73105858]
 [0.89846368 0.         0.73105858 0.45505423 1.        ]
 [0.         0.45505423 0.89846368 0.73105858 1.        ]]"
19,"[[0.         0.73105858 0.45505423 0.89846368 1.        ]
 [0.         0.45505423 1.         0.73105858 0.89846368]
 [0.         0.89846368 0.45505423 1.         0.73105858]
 [0.73105858 0.45505423 0.         0.89846368 1.        ]
 [0.89846368 1.         0.         0.73105858 0.45505423]]"
20,"[[0.         0.45505423 0.73105858 0.89846368 1.        ]
 [0.         0.45505423 0.73105858 1.         0.89846368]
 [0.89846368 0.45505423 1.         0.         0.73105858]
 [0.89846368 0.45505423 0.         0.73105858 1.        ]
 [0.73105858 0.         1.         0.89846368 0.45505423]]"
