,0
1,"[[1.30508077e-02 1.86316998e+00 1.74039310e-01 0.00000000e+00
  2.16360536e-01]
 [7.95499227e-03 6.33654283e-01 8.56029325e-02 0.00000000e+00
  5.40328411e-02]
 [1.15406497e-02 1.38034049e+00 1.44894624e-01 0.00000000e+00
  1.43593881e-01]
 [2.32829355e-02 1.51530393e+01 4.52147301e-01 0.00000000e+00
  3.71633547e+01]
 [5.07362400e-02 1.85072630e+01 2.70100687e+00 0.00000000e+00
  2.54321189e-01]]"
2,"[[1.00000000e+00 9.44681441e-03 1.72103241e-03 6.94284555e-02
  0.00000000e+00]
 [7.10511222e-01 9.85644584e-03 1.77467807e-03 7.79714745e-02
  0.00000000e+00]
 [1.06192977e-01 1.56528700e-02 2.45133275e-03 4.48362578e-01
  0.00000000e+00]
 [1.23513279e+00 6.33343453e-03 1.27863933e-03 2.75138575e-02
  0.00000000e+00]
 [3.25759269e-02 2.93583034e-03 6.96466713e-04 7.28102622e-03
  0.00000000e+00]]"
3,"[[4.38576146e-01 1.71956235e-02 0.00000000e+00 4.89406797e-04
  3.84211041e-01]
 [3.48434284e-01 1.00000000e+00 0.00000000e+00 1.26611921e-03
  1.77497350e-02]
 [3.86506457e-01 7.40111181e-01 0.00000000e+00 1.23038435e-03
  1.87183842e-02]
 [3.83282284e+00 3.33565016e-02 0.00000000e+00 6.38336687e-04
  9.45440592e-02]
 [2.60273624e+00 1.02983924e-01 0.00000000e+00 8.92779123e-04
  3.60314177e-02]]"
4,"[[0.03929515 0.01133624 0.         0.03363853 0.01081858]
 [0.52344432 0.47470686 0.         0.11560729 1.0887481 ]
 [0.08371336 0.04319151 0.         0.22118062 0.03826875]
 [0.11656459 0.09244083 0.         1.         0.07636257]
 [0.53297445 0.44679323 0.         0.11195284 1.        ]]"
5,"[[0.26975261 0.37780218 0.07450897 0.00800195 0.        ]
 [2.64688787 0.17057584 0.02341022 0.10548969 0.        ]
 [0.07174811 0.01666414 0.00888208 0.0562862  0.        ]
 [6.01123006 1.88588554 0.03588366 0.02970241 0.        ]
 [0.04400148 0.0110084  0.00696458 0.02349782 0.        ]]"
6,"[[6.80879642e-04 8.29778874e+01 1.24557025e+02 0.00000000e+00
  2.26689683e+00]
 [1.42220875e-04 1.27252492e-01 0.00000000e+00 5.94452892e-02
  6.57166863e-04]
 [3.36906738e-03 5.64505823e+01 3.28412791e-01 0.00000000e+00
  3.15118839e-01]
 [2.27193479e-04 5.64283303e+00 1.73255284e-01 0.00000000e+00
  7.01243497e-02]
 [1.43793876e-02 1.73767731e+01 1.51736526e-01 0.00000000e+00
  1.21790394e-01]]"
7,"[[0.         0.40773022 1.50522456 1.15516092 0.5680655 ]
 [0.         0.22679023 0.82537162 0.50752068 0.19817688]
 [0.         0.09832526 0.35277572 0.17862301 0.05934586]
 [0.         0.25009341 0.91208638 0.578288   0.23236976]
 [0.         0.52613062 1.95736615 1.71611902 1.        ]]"
8,"[[5.34165512e-01 3.99886931e-01 9.25834830e-03 1.05129035e-01
  0.00000000e+00]
 [2.31203428e+00 9.14041156e-02 4.14473560e-02 2.00292704e-02
  0.00000000e+00]
 [4.35815967e+01 2.57331370e-02 1.00000000e+00 0.00000000e+00
  9.02631725e-02]
 [2.50038144e-01 1.85201609e+00 4.29316226e-03 3.17870314e-01
  0.00000000e+00]
 [1.24350494e+00 1.60159833e-01 2.19034035e-02 4.26915291e-02
  0.00000000e+00]]"
9,"[[0.         0.9915     0.41825162 0.00488996 0.05380092]
 [0.         1.         0.42098504 0.00489631 0.05387987]
 [0.         0.71354493 1.         0.01040015 0.12884896]
 [0.         0.39182091 0.19846482 0.00411163 0.04426411]
 [0.         0.14745132 0.08483534 0.00314882 0.03288729]]"
10,"[[0.00000000e+00 1.70175263e+00 1.55052691e-01 1.22637591e-02
  1.55908822e-02]
 [0.00000000e+00 1.00000000e+00 1.20534596e-01 1.01216081e-02
  1.21557260e-02]
 [0.00000000e+00 1.48784626e+00 1.46006828e-01 1.17207455e-02
  1.46921360e-02]
 [0.00000000e+00 2.13852979e-01 3.84598738e+00 6.72267271e-01
  4.68425856e-01]
 [0.00000000e+00 1.42494480e+01 3.01828280e-01 1.97645142e-02
  3.00495234e-02]]"
11,"[[6.30845310e-01 1.15293103e-02 0.00000000e+00 1.59836673e+00
  8.60313938e-05]
 [5.58750304e+00 8.86501238e-02 0.00000000e+00 3.53444709e+00
  9.37444707e-04]
 [4.42714365e+00 2.43136981e-02 0.00000000e+00 2.80984153e+01
  1.97109963e-04]
 [4.25427066e-01 9.35158360e-03 0.00000000e+00 1.00000000e+00
  6.85405969e-05]
 [1.16275806e+03 4.66742102e-02 0.00000000e+00 2.30685023e+01
  4.21347145e-04]]"
12,"[[8.75697629e-01 0.00000000e+00 5.62015305e-01 1.37741057e-04
  8.78200587e-02]
 [3.42739575e+00 0.00000000e+00 1.52368543e+00 4.32291708e-04
  9.47480458e+00]
 [3.30691303e-01 0.00000000e+00 1.62802068e-01 1.08617401e-03
  5.51758712e-01]
 [6.95418175e-01 0.00000000e+00 3.41592006e-01 7.51141110e-04
  1.98547723e+00]
 [2.57708039e+00 0.00000000e+00 1.81238643e+00 1.80341063e-04
  1.60132301e-01]]"
13,"[[1.36841414e-01 2.79125702e-01 1.78646583e-03 0.00000000e+00
  3.91566436e+01]
 [2.78282121e-02 1.05720227e-01 8.17424069e-04 0.00000000e+00
  2.46406430e+00]
 [1.45178023e-01 1.35836846e+01 1.63541912e-02 0.00000000e+00
  8.80457122e-01]
 [2.50866598e-02 9.82343233e-02 7.68628502e-04 0.00000000e+00
  2.14516506e+00]
 [1.37275591e-02 6.27743037e-02 5.24838290e-04 0.00000000e+00
  1.00000000e+00]]"
14,"[[1.00000000e+00 2.47165363e-04 6.35554326e-01 0.00000000e+00
  2.35814989e-02]
 [6.33691327e-01 1.44787481e-04 9.90173862e+01 0.00000000e+00
  5.74233223e-02]
 [1.83102415e-02 5.11109239e-05 1.18460771e-01 0.00000000e+00
  1.10941208e+00]
 [6.97908895e-03 2.98486052e-05 3.82134487e-02 0.00000000e+00
  1.17429827e+00]
 [6.75586441e-03 2.92544411e-05 3.68407429e-02 0.00000000e+00
  1.00000000e+00]]"
15,"[[0.10293297 0.01291996 0.         0.46680795 0.01574697]
 [0.85821767 1.         0.         1.88696321 0.06444411]
 [0.10274352 0.01288818 0.         0.46497173 0.01572483]
 [0.14152613 0.0200352  0.         1.         0.02000042]
 [0.05160171 0.00537066 0.         0.13265558 0.00913313]]"
16,"[[0.00000000e+00 3.65843952e-04 7.56334440e-04 1.03311770e+00
  1.68861385e+00]
 [0.00000000e+00 1.00000000e+00 1.63781477e-03 3.61034071e-01
  5.99477215e+02]
 [0.00000000e+00 1.32190706e-02 1.43244453e-03 4.14762297e-01
  1.52616169e+02]
 [0.00000000e+00 1.79583861e-05 1.55702431e-04 1.00000000e+00
  7.44745200e-02]
 [0.00000000e+00 1.87227069e-04 5.88811570e-04 1.84254263e+00
  8.29805752e-01]]"
17,"[[7.52875149e-01 9.71307434e-06 0.00000000e+00 7.89029222e-02
  5.49707803e-04]
 [1.68384951e+02 1.00000000e+00 0.00000000e+00 1.93508577e+00
  1.00156260e-02]
 [1.65549693e+02 6.88291468e-01 0.00000000e+00 1.92604923e+00
  9.97637506e-03]
 [2.00486571e+00 2.80060630e-05 0.00000000e+00 1.76068705e-01
  1.17302872e-03]
 [4.42916206e+01 1.80497772e-03 0.00000000e+00 1.21058226e+00
  6.71462371e-03]]"
18,"[[1.53796917e-01 1.11547399e-01 0.00000000e+00 2.24616749e-02
  7.95452668e-02]
 [4.03341488e-02 2.46674074e-02 0.00000000e+00 8.08895658e-03
  1.88910447e-01]
 [2.02330170e-02 1.17744041e-02 0.00000000e+00 4.54626031e-03
  2.20654717e-02]
 [3.82335728e-01 3.48490893e-01 0.00000000e+00 4.08555242e-02
  2.15448424e-02]
 [5.96005776e-01 1.29972630e-01 4.49430456e+00 1.51898187e+01
  0.00000000e+00]]"
