,id,val_index,size,valuation,algo,distortion
0,1,1,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.0
1,2,1,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0
2,3,1,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.0007649556317908
3,4,1,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0
4,5,2,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,24.948405842038532
5,6,2,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0000256130728584
6,7,2,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,25.92796543203633
7,8,2,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,24.948405842038532
8,9,3,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.0095926572936311
9,10,3,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.3542987631932277
10,11,3,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.0
11,12,3,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,4.967507253691179
12,13,4,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,57.388818964363296
13,14,4,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.00002642747357
14,15,4,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,396.0147539914188
15,16,4,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,48.29853972514828
16,17,5,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,3.9890871628802205
17,18,5,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0212426071910297
18,19,5,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,3.4904978167150733
19,20,5,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0212426071910297
20,21,6,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.0011619298517693
21,22,6,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0011619298517693
22,23,6,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.000020380913895
23,24,6,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0011619298517693
24,25,7,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.7673885176491708
25,26,7,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0
26,27,7,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.7673885176491708
27,28,7,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.7673885176491708
28,29,8,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,689.4150551550797
29,30,8,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0
30,31,8,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,999.6861763521837
31,32,8,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,572.1815466330661
32,33,9,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,2.217613859537488
33,34,9,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.000798008058974
34,35,9,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,2.1354219596612984
35,36,9,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.000798008058974
36,37,10,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.005370475998265
37,38,10,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0017511978260039
38,39,10,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.018085146020899
39,40,10,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0
40,41,11,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.0638659588978048
41,42,11,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0638659588978048
42,43,11,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.0613086069093225
43,44,11,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0638659588978048
44,45,12,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,7.152840365344557
45,46,12,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0004264107134961
46,47,12,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,9.443445359013909
47,48,12,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0004264107134961
48,49,13,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,600.7360809900481
49,50,13,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0000541575644124
50,51,13,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1658.5877354608972
51,52,13,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1436.006614683246
52,53,14,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,2.2491797496900374
53,54,14,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.9478865918718762
54,55,14,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,5.463162717832939
55,56,14,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,5.463162717832939
56,57,15,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,6.087977751385681
57,58,15,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0009954721105367
58,59,15,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,2.2120097323741073
59,60,15,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,2.4325286549569287
60,61,16,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.072507902551916
61,62,16,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0725079025519162
62,63,16,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.0984350138519745
63,64,16,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0725079025519162
64,65,17,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.0
65,66,17,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0
66,67,17,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.685329721011528
67,68,17,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.685329721011528
68,69,18,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,126.60613843336714
69,70,18,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0
70,71,18,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,126.81911599510876
71,72,18,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,126.60613843336714
72,73,19,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.0000235123042593
73,74,19,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0000235123042593
74,75,19,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,4.9907181584917595
75,76,19,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0000000000000002
76,77,20,5,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.9655212257511723
77,78,20,5,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0044120069828464
78,79,20,5,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.0
79,80,20,5,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.212951702831486
80,81,21,10,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.1846168763031404
81,82,21,10,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.0009505246889163
82,83,21,10,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.117001318542716
83,84,21,10,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0499337901462749
84,85,22,10,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,34.95365240127772
85,86,22,10,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.0000088278707602
86,87,22,10,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,132.66441760662042
87,88,22,10,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,4.061441767841348
88,89,23,10,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.905489296513449
89,90,23,10,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.002411884277987
90,91,23,10,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.8006430715669857
91,92,23,10,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.449561490877725
92,93,24,10,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.4048748100107358
93,94,24,10,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.1381466110010734
94,95,24,10,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,30.831929434766273
95,96,24,10,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.3769085044540272
96,97,25,10,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,3.3746592523647347
97,98,25,10,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.8993523124376397
98,99,25,10,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,2.616682428516756
99,100,25,10,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.8993523124376397
100,101,26,10,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.1846250482031817
101,102,26,10,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.0012770054611786
102,103,26,10,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,1.1452447623397872
103,104,26,10,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,1.1933695870845233
104,105,27,10,unit_range_benabbou_middle_mean_middle_var,serial_dictatorship,1.5800070944211553
105,106,27,10,unit_range_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.0076697917231219
106,107,27,10,unit_range_benabbou_middle_mean_middle_var,modified_max_matching,4.038166726201451
107,108,27,10,unit_range_benabbou_middle_mean_middle_var,hybrid_max_matching,4.789283887364441
