,0
1,"[[3.62417627e-04 1.36468132e-01 1.00000000e+00 0.00000000e+00
  1.42638539e-03]
 [0.00000000e+00 6.68979647e-01 1.00000000e+00 6.73576503e-02
  3.79908534e-01]
 [3.43892903e-02 1.00000000e+00 5.04259175e-01 0.00000000e+00
  1.22109361e-02]
 [1.00000000e+00 2.51591596e-01 1.99684712e-01 0.00000000e+00
  1.81830154e-02]
 [5.50403658e-01 1.00000000e+00 7.22179180e-01 0.00000000e+00
  4.43058291e-02]]"
2,"[[0.05393346 0.24361604 0.         0.59174929 1.        ]
 [0.05915949 0.25029525 0.         0.66907526 1.        ]
 [0.33241965 0.         0.01833585 1.         0.02830407]
 [0.23378465 0.         0.0112597  1.         0.02444866]
 [0.04091576 0.05634211 0.         1.         0.1728953 ]]"
3,"[[1.06252931e-04 0.00000000e+00 8.62251445e-04 9.33812740e-05
  1.00000000e+00]
 [0.00000000e+00 5.16857171e-04 7.16134263e-03 1.85391885e-03
  1.00000000e+00]
 [0.00000000e+00 7.06841174e-01 6.48342520e-02 1.00000000e+00
  7.36388854e-01]
 [0.00000000e+00 4.55509898e-01 7.40685663e-02 6.27131308e-01
  1.00000000e+00]
 [0.00000000e+00 7.13945836e-02 4.20254308e-02 9.96710878e-02
  1.00000000e+00]]"
4,"[[0.00000000e+00 9.24014146e-02 2.52776365e-01 5.95872284e-02
  1.00000000e+00]
 [2.99127429e-04 2.65168230e-02 1.43318623e-03 1.00000000e+00
  0.00000000e+00]
 [1.48894025e-02 1.22675250e-01 1.37754354e-02 1.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 3.64975645e-02 1.00000000e+00 1.36341333e-02
  1.83243623e-02]
 [3.18276935e-01 3.39036262e-01 6.06504165e-02 1.00000000e+00
  0.00000000e+00]]"
5,"[[0.         0.54933761 0.00384351 1.         0.0039784 ]
 [0.         0.78585339 0.94900116 0.88713012 1.        ]
 [0.         1.         0.0024886  0.5456224  0.00256834]
 [0.         0.87368565 0.38844611 1.         0.40655487]
 [0.         1.         0.03792515 0.87267171 0.03900643]]"
6,"[[4.37013844e-01 1.75225476e-01 1.00000000e+00 2.42627261e-02
  0.00000000e+00]
 [8.84630483e-03 5.65732438e-03 4.21272450e-02 1.00000000e+00
  0.00000000e+00]
 [2.60471850e-04 1.61824961e-04 1.58087160e-03 1.00000000e+00
  0.00000000e+00]
 [1.98442934e-02 3.33372434e-02 4.00706537e-03 0.00000000e+00
  1.00000000e+00]
 [1.00000000e+00 9.08882099e-02 1.47289380e-02 0.00000000e+00
  5.36400200e-03]]"
7,"[[1.28275196e-01 1.00000000e+00 6.33677602e-01 2.30651271e-02
  0.00000000e+00]
 [4.53093086e-02 1.00000000e+00 4.19827600e-01 2.40763988e-04
  0.00000000e+00]
 [1.00000000e+00 4.83525274e-03 7.18022458e-03 0.00000000e+00
  9.55391508e-04]
 [1.58226895e-03 8.12442257e-02 1.00000000e+00 0.00000000e+00
  6.99765818e-05]
 [1.00000000e+00 2.45951649e-01 4.33780907e-01 0.00000000e+00
  1.65685482e-02]]"
8,"[[0.01637917 0.00138544 1.         0.00347479 0.        ]
 [0.09801649 0.10137672 0.         1.         0.02502728]
 [0.48830198 0.17925458 0.         1.         0.04488048]
 [0.07937563 0.09169546 0.         1.         0.02240923]
 [0.33162908 0.16111114 0.         1.         0.04079301]]"
9,"[[1.00000000e+00 0.00000000e+00 2.22941188e-01 8.56785867e-03
  5.25708344e-02]
 [1.00000000e+00 1.75636909e-01 5.57779743e-02 3.29017692e-01
  0.00000000e+00]
 [1.00000000e+00 0.00000000e+00 5.73719496e-01 1.27373487e-02
  1.26543130e-01]
 [2.47749087e-02 2.14902415e-01 3.07585079e-03 1.00000000e+00
  0.00000000e+00]
 [1.46890547e-03 0.00000000e+00 1.00000000e+00 5.34946674e-05
  8.60897562e-03]]"
10,"[[1.40435701e-01 2.81518092e-01 2.29938182e-02 1.00000000e+00
  0.00000000e+00]
 [4.33330937e-01 3.56158172e-01 9.04355805e-02 1.00000000e+00
  0.00000000e+00]
 [4.39350704e-04 2.23585043e-02 0.00000000e+00 1.00000000e+00
  4.38376647e-04]
 [1.00000000e+00 2.94787465e-03 2.18575084e-02 5.48102695e-03
  0.00000000e+00]
 [3.20245203e-03 1.00000000e+00 0.00000000e+00 1.08241787e-01
  2.28474956e-02]]"
