,0
1,"[[0.88590386 0.89195031 0.93276849 1.         0.        ]
 [0.78672508 0.26824841 1.         0.         0.74186736]
 [0.48675912 0.77245345 0.20275525 1.         0.        ]
 [0.21981054 0.16779585 0.         0.79549269 1.        ]
 [0.13700887 0.         0.57471364 0.056193   1.        ]]"
2,"[[0.         0.82566871 0.72854665 0.09562944 1.        ]
 [0.94970978 0.33734042 1.         0.92944003 0.        ]
 [0.66769493 0.24407577 1.         0.77447041 0.        ]
 [0.45288194 1.         0.28743834 0.16869396 0.        ]
 [0.17261124 1.         0.71836489 0.         0.19949771]]"
3,"[[1.         0.         0.1852343  0.76131267 0.98942924]
 [0.04107928 0.93257236 0.18956134 1.         0.        ]
 [0.77125285 0.56091357 1.         0.         0.0405634 ]
 [0.76940363 0.41959711 0.2017864  1.         0.        ]
 [0.36839964 0.03890915 0.         0.41131611 1.        ]]"
4,"[[0.43187233 1.         0.         0.226868   0.90579716]
 [0.04824229 0.         0.56704726 1.         0.12532164]
 [0.         0.10996771 1.         0.0318115  0.69541676]
 [0.71941564 0.32607686 1.         0.71877753 0.        ]
 [0.         1.         0.07195505 0.31966144 0.2652214 ]]"
5,"[[0.38866917 0.11039159 1.         0.         0.01086608]
 [0.         0.52687951 0.31045156 0.13807741 1.        ]
 [0.13674185 0.40899059 0.6351149  1.         0.        ]
 [0.         0.36958652 0.16389781 1.         0.35228295]
 [0.32174372 0.99458187 1.         0.         0.80798908]]"
6,"[[0.02293127 0.13595926 1.         0.         0.48806663]
 [1.         0.70591483 0.81078025 0.15543684 0.        ]
 [0.71639244 0.         0.51511935 1.         0.24871455]
 [0.         0.00192364 0.13531242 1.         0.83331764]
 [0.44980861 0.05691068 0.7296489  0.         1.        ]]"
7,"[[0.92368752 0.17683391 0.         0.25956107 1.        ]
 [0.19182842 0.         0.71767377 1.         0.94223107]
 [0.9361833  0.         0.90248409 0.26126107 1.        ]
 [0.09372536 1.         0.50300583 0.55516396 0.        ]
 [0.95461845 0.57819827 0.98602023 0.         1.        ]]"
8,"[[0.39732435 1.         0.63236409 0.39875341 0.        ]
 [1.         0.23192162 0.06395537 0.2876464  0.        ]
 [0.         0.32294327 0.78285596 0.26009375 1.        ]
 [0.38164134 0.17306523 1.         0.         0.210729  ]
 [0.13404145 0.         0.75277519 0.81033741 1.        ]]"
9,"[[0.         0.99717095 1.         0.02888719 0.70134136]
 [0.         1.         0.3897447  0.83150137 0.26879833]
 [0.         0.16264407 0.09556735 1.         0.19143063]
 [0.58666841 1.         0.61525261 0.         0.06456659]
 [0.80088495 0.         0.89768738 0.91632114 1.        ]]"
10,"[[0.49904601 1.         0.         0.47701934 0.23619128]
 [0.         0.27003359 1.         0.35180924 0.79388624]
 [0.0250737  0.         0.62420085 0.57140786 1.        ]
 [0.10976669 0.37384489 1.         0.         0.40361402]
 [0.39319133 0.16236011 0.56197563 0.         1.        ]]"
11,"[[0.38864663 0.         1.         0.94962673 0.10122825]
 [0.22981932 0.         1.         0.35521775 0.98330453]
 [0.         0.84700894 0.77064547 1.         0.33247823]
 [0.37949632 0.11063593 0.72271285 1.         0.        ]
 [0.00839845 0.         0.28590184 0.89188831 1.        ]]"
12,"[[0.18938345 0.55742436 1.         0.         0.03497058]
 [0.         1.         0.1276718  0.06594525 0.88446146]
 [1.         0.99976751 0.         0.65506891 0.19274981]
 [1.         0.45425105 0.         0.30998021 0.80043739]
 [0.51416069 0.8343166  0.93355411 1.         0.        ]]"
13,"[[0.         0.75744734 0.30697382 1.         0.58899374]
 [0.04219166 1.         0.2549884  0.8080444  0.        ]
 [0.0388903  0.33810701 1.         0.         0.50911031]
 [0.         1.         0.29874179 0.80565468 0.19012993]
 [0.0662269  0.06629561 0.07102665 1.         0.        ]]"
14,"[[0.5491915  1.         0.95689455 0.         0.11259889]
 [0.13213846 1.         0.08772821 0.         0.96631838]
 [0.02129996 1.         0.         0.82954994 0.44110738]
 [0.81543421 1.         0.94800463 0.9862921  0.        ]
 [0.52710546 0.         0.76236761 0.45039185 1.        ]]"
15,"[[1.         0.1642155  0.         0.04161259 0.24534707]
 [1.         0.         0.47659401 0.47787675 0.66191655]
 [1.         0.79163458 0.7304359  0.96001715 0.        ]
 [0.         0.84067236 1.         0.0040871  0.66744863]
 [0.47084341 1.         0.         0.18803854 0.90148436]]"
16,"[[0.         0.25209848 0.34698511 1.         0.04830211]
 [1.         0.50907418 0.98747155 0.         0.83715412]
 [0.51782934 0.37559795 0.         0.63538237 1.        ]
 [0.0133931  1.         0.10342352 0.11592843 0.        ]
 [0.37894052 0.09594221 0.7005636  1.         0.        ]]"
17,"[[0.30781008 0.         1.         0.90365719 0.02318409]
 [0.17976685 0.76774584 0.62404121 0.         1.        ]
 [0.23958471 0.         0.99231871 1.         0.24130483]
 [0.         0.00491257 0.84275823 0.59414429 1.        ]
 [0.553227   1.         0.         0.79341518 0.32057072]]"
18,"[[0.         0.29978716 0.46285667 0.28481714 1.        ]
 [0.17198159 1.         0.04444784 0.         0.5990715 ]
 [0.         1.         0.01816772 0.24143806 0.15735735]
 [0.         1.         0.9458271  0.05424257 0.3257524 ]
 [0.5947637  1.         0.         0.20302114 0.92536758]]"
19,"[[1.         0.55770205 0.         0.63827444 0.43380767]
 [0.88402037 0.         0.49243369 1.         0.81531338]
 [0.         0.65457353 0.28843472 1.         0.88946391]
 [0.         0.47634928 0.75500551 1.         0.77236363]
 [0.         0.75184381 1.         0.86567639 0.92255958]]"
20,"[[0.46909472 1.         0.01151518 0.70139162 0.        ]
 [0.         0.75144347 1.         0.9032083  0.16919449]
 [0.         0.35632798 1.         0.18675098 0.01544793]
 [0.80580708 0.         1.         0.78491967 0.4039471 ]
 [0.         0.74431275 0.67539885 1.         0.99188314]]"
21,"[[0.2093901  0.01760256 0.60770136 0.93979849 1.         0.1585256
  0.         0.40303712 0.41530103 0.48176672]
 [0.9981354  0.         1.         0.76805364 0.97510226 0.77256295
  0.86520187 0.79898515 0.12229557 0.0432546 ]
 [0.11658971 1.         0.34163694 0.78941207 0.21843546 0.
  0.06786134 0.70165376 0.9142767  0.39559859]
 [0.07531612 1.         0.         0.67923011 0.15634951 0.67313241
  0.26162611 0.46147131 0.20077991 0.21083119]
 [0.         0.2200925  0.90683171 0.66309204 1.         0.3952329
  0.38104155 0.11360732 0.02539471 0.48339735]
 [0.         0.72485452 0.16890453 0.49171335 0.8411081  0.01703666
  1.         0.00452136 0.52285923 0.31060229]
 [0.26404645 0.68666831 0.94438504 1.         0.10579754 0.78318505
  0.08716471 0.21710039 0.         0.47436113]
 [0.62471478 0.28108674 0.48605439 0.         0.86705226 0.68611973
  1.         0.93455743 0.90929556 0.71092629]
 [0.30780277 0.59809077 0.18446709 0.69279625 0.89064803 0.
  1.         0.52887604 0.13949703 0.50096008]
 [0.0872856  0.25491805 0.18701796 0.98888326 0.17196027 1.
  0.26425756 0.97110883 0.41966287 0.        ]]"
22,"[[0.12087602 0.64045675 1.         0.43744006 0.         0.81364887
  0.57436494 0.33518171 0.17006874 0.22409766]
 [0.82851187 0.1187714  0.         1.         0.04174087 0.2835548
  0.27196122 0.64385374 0.79851193 0.59006966]
 [0.61772669 0.22762654 0.55221768 0.11123062 0.42409795 0.5091617
  0.78983919 1.         0.         0.49179639]
 [0.64697602 0.76086279 1.         0.         0.12067867 0.78719063
  0.7964667  0.46321527 0.54408603 0.25021487]
 [0.89397127 0.60950658 0.52116459 0.72171797 0.69527092 0.55425252
  0.26256981 0.87484391 1.         0.        ]
 [0.88003896 1.         0.20517822 0.         0.52151231 0.61089331
  0.43737128 0.32680285 0.59294149 0.58654437]
 [0.85155253 0.17038219 0.64256713 0.00887785 0.11753064 1.
  0.         0.63476984 0.45000374 0.02746499]
 [0.95873474 0.59052494 0.85602433 1.         0.49663489 0.61032186
  0.34273401 0.74445408 0.10193095 0.        ]
 [0.03470417 0.         0.53358569 0.62370398 0.86352366 0.23423817
  0.89077634 1.         0.36092636 0.5413739 ]
 [0.87757211 0.94546752 0.         0.0342221  0.3204418  0.53617011
  1.         0.75166757 0.30637511 0.98721478]]"
