,id,val_index,size,valuation,algo,distortion
0,1,1,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1186175115980463
1,2,1,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.0729247540982336
2,3,1,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.2979017644106932
3,4,1,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.0729247540982336
4,5,2,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0000000000000002
5,6,2,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.2076473949954987
6,7,2,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.335812104118716
7,8,2,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2076473949954987
8,9,3,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0000000000000002
9,10,3,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.0130620638186576
10,11,3,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.070877973292898
11,12,3,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2369892089483938
12,13,4,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0
13,14,4,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.0351476221204985
14,15,4,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.2141339211107534
15,16,4,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3979836410273088
16,17,5,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0000000000000002
17,18,5,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.2971630300899637
18,19,5,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.5188685074401893
19,20,5,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2971630300899637
20,21,6,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.2263410943127384
21,22,6,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.2322408783032825
22,23,6,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.3888424611772239
23,24,6,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.5776428186296647
24,25,7,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1762500016533746
25,26,7,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.0144077026617704
26,27,7,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.8133677085542286
27,28,7,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.0144077026617704
28,29,8,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0
29,30,8,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.1292409047181307
30,31,8,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.221076727517182
31,32,8,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.294511925587036
32,33,9,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1121317172986889
33,34,9,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.0861614329827292
34,35,9,5,unit_sum_abdulkadiroglu_0,modified_max_matching,2.2601091311660717
35,36,9,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1488603687383097
36,37,10,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1644329520433168
37,38,10,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.2213709004472255
38,39,10,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.4264090301833618
39,40,10,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2477621036957458
40,41,11,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0550173018155826
41,42,11,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.2864334581859012
42,43,11,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.2864334581859012
43,44,11,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.168504843456156
44,45,12,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0133300286687008
45,46,12,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.0133300286687008
46,47,12,5,unit_sum_abdulkadiroglu_0,modified_max_matching,2.882166579138782
47,48,12,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3405057183434226
48,49,13,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.3983990441039351
49,50,13,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.113745598563126
50,51,13,5,unit_sum_abdulkadiroglu_0,modified_max_matching,2.467442316611931
51,52,13,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.113745598563126
52,53,14,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.2253652194990143
53,54,14,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.0537278490974455
54,55,14,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.3039265513185807
55,56,14,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.0537278490974453
56,57,15,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0
57,58,15,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.1720526196715435
58,59,15,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.262305742965664
59,60,15,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1968073317668702
60,61,16,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0
61,62,16,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.1006917892475676
62,63,16,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.909367136221881
63,64,16,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1006917892475676
64,65,17,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1850333271563274
65,66,17,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.028626083610475
66,67,17,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.3885216620656293
67,68,17,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.0955057848646523
68,69,18,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1489720653964455
69,70,18,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.1489720653964457
70,71,18,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.6811757152822226
71,72,18,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.076433109429935
72,73,19,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.2734327189315429
73,74,19,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.1057589910315213
74,75,19,5,unit_sum_abdulkadiroglu_0,modified_max_matching,1.0658259635875809
75,76,19,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1222914854743746
76,77,20,5,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.00101044397666
77,78,20,5,unit_sum_abdulkadiroglu_0,partial_max_matching_1.0,1.135004856280473
78,79,20,5,unit_sum_abdulkadiroglu_0,modified_max_matching,4.694250511207706
79,80,20,5,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.0579770248974745
80,81,21,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.040264373480369
81,82,21,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1642550383186143
82,83,21,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7542936481764702
83,84,21,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3030316035066485
84,85,22,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0670990804701042
85,86,22,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2584665682108565
86,87,22,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.4528822504600118
87,88,22,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3247107053919933
88,89,23,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0719525295183783
89,90,23,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1490408943217902
90,91,23,10,unit_sum_abdulkadiroglu_0,modified_max_matching,2.266324103742538
91,92,23,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3628339962170573
92,93,24,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0457622408796678
93,94,24,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1467846433967626
94,95,24,10,unit_sum_abdulkadiroglu_0,modified_max_matching,2.003257845790984
95,96,24,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.21899791151587
96,97,25,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1061951509167443
97,98,25,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.241440775183094
98,99,25,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.5896326815220383
99,100,25,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3327112181049856
100,101,26,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0858416016081802
101,102,26,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1684546209868103
102,103,26,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.4689580997179588
103,104,26,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2878966049301117
104,105,27,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.018483564490088
105,106,27,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.347960367417227
106,107,27,10,unit_sum_abdulkadiroglu_0,modified_max_matching,2.354361591667248
107,108,27,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.368942391874899
108,109,28,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0203749922988363
109,110,28,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.0813109183763774
110,111,28,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.4217754428351685
111,112,28,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2395179449898615
112,113,29,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1113618272501604
113,114,29,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.3382168127304355
114,115,29,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.629645712493347
115,116,29,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.426784527593334
116,117,30,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0452179813067488
117,118,30,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1183236938572994
118,119,30,10,unit_sum_abdulkadiroglu_0,modified_max_matching,2.538845121732595
119,120,30,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2727143223358242
120,121,31,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1040134787005362
121,122,31,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.294161939717662
122,123,31,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7502485293549581
123,124,31,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3603576857428492
124,125,32,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0971989467765748
125,126,32,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2005805831827965
126,127,32,10,unit_sum_abdulkadiroglu_0,modified_max_matching,2.145716903610034
127,128,32,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3259296226125084
128,129,33,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0076552785332167
129,130,33,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1928945509538633
130,131,33,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.8171291628474355
131,132,33,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.427025881073159
132,133,34,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0544946027171993
133,134,34,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1779931959450385
134,135,34,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.3303161355158855
135,136,34,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2329426978109599
136,137,35,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.229714851159511
137,138,35,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.0817320327040019
138,139,35,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.9811908623998589
139,140,35,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1894658925502095
140,141,36,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0287994288036826
141,142,36,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2024127994967049
142,143,36,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7494837948326478
143,144,36,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2681317344784544
144,145,37,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1317445844739198
145,146,37,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2316955006174575
146,147,37,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.8984873376374152
147,148,37,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.344294137794735
148,149,38,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0109874562980565
149,150,38,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.0913478056801171
150,151,38,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.4018314900119087
151,152,38,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1767734736209101
152,153,39,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1598035251287213
153,154,39,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2087025616250906
154,155,39,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.6539513304426725
155,156,39,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1950114964770768
156,157,40,10,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0592632217061095
157,158,40,10,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1867084467806146
158,159,40,10,unit_sum_abdulkadiroglu_0,modified_max_matching,1.616790861717048
159,160,40,10,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2097481805752495
160,161,41,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0516134837633975
161,162,41,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2628127753607743
162,163,41,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.441887001011139
163,164,41,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2388084403845163
164,165,42,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1273112004284234
165,166,42,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.3845600623509846
166,167,42,15,unit_sum_abdulkadiroglu_0,modified_max_matching,2.0405680136351787
167,168,42,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3646482470952768
168,169,43,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.039410137589302
169,170,43,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1712997618175156
170,171,43,15,unit_sum_abdulkadiroglu_0,modified_max_matching,2.5413498886560943
171,172,43,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.284275763437884
172,173,44,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0796293571133868
173,174,44,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.251512217827992
174,175,44,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.5645673642740774
175,176,44,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.36184685756573
176,177,45,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.037547533818641
177,178,45,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2439051465857878
178,179,45,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.4381741068231952
179,180,45,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2766433926106557
180,181,46,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0738779095512083
181,182,46,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2538338474991917
182,183,46,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.4908813083370076
183,184,46,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3410097291712293
184,185,47,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0755308031886763
185,186,47,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.140454392125302
186,187,47,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.700446373302577
187,188,47,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1804499783588296
188,189,48,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.077326706194444
189,190,48,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.183985049216538
190,191,48,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7342440378140571
191,192,48,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3732713590695294
192,193,49,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1827023732117323
193,194,49,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.3058966541364267
194,195,49,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.782481169589399
195,196,49,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3399849026331818
196,197,50,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0237505280593702
197,198,50,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1607302265631423
198,199,50,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.8025985834558604
199,200,50,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2149439107328508
200,201,51,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0303005324372951
201,202,51,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2859104046499659
202,203,51,15,unit_sum_abdulkadiroglu_0,modified_max_matching,2.491351613653417
203,204,51,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1829461526357872
204,205,52,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0783606795760585
205,206,52,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2755779511685004
206,207,52,15,unit_sum_abdulkadiroglu_0,modified_max_matching,2.0404304902889194
207,208,52,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.271125191145247
208,209,53,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1013460824754422
209,210,53,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.199295337393848
210,211,53,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.8766748107158746
211,212,53,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.3320212755388334
212,213,54,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1576113058268427
213,214,54,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1674208439453901
214,215,54,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7789641496153605
215,216,54,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2125541672668994
216,217,55,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1085204923201277
217,218,55,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2893439903866173
218,219,55,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7441098972564348
219,220,55,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2893439903866173
220,221,56,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0462601038082695
221,222,56,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2171625535267843
222,223,56,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.5515568655243472
223,224,56,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2013595029426136
224,225,57,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0365099592601588
225,226,57,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1185395095096005
226,227,57,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.8142917238995795
227,228,57,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2175597648272662
228,229,58,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0991514543637264
229,230,58,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2310930865168785
230,231,58,15,unit_sum_abdulkadiroglu_0,modified_max_matching,3.2517257235341397
231,232,58,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2770930299066674
232,233,59,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.123967370619194
233,234,59,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.197169186868171
234,235,59,15,unit_sum_abdulkadiroglu_0,modified_max_matching,1.625618913411824
235,236,59,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.197169186868171
236,237,60,15,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0443907419951703
237,238,60,15,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1337726188105606
238,239,60,15,unit_sum_abdulkadiroglu_0,modified_max_matching,2.7662719340487127
239,240,60,15,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.2012302513362374
240,241,61,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0687500375405008
241,242,61,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.3050967698789488
242,243,61,20,unit_sum_abdulkadiroglu_0,modified_max_matching,2.1154050947401464
243,244,61,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1046828523952334
244,245,62,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0349308249850617
245,246,62,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1995218077503509
246,247,62,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.3040612471835649
247,248,62,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1607501361365673
248,249,63,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.039775717474399
249,250,63,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2386453425367303
250,251,63,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.8324369517303243
251,252,63,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1857280557335879
252,253,64,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.071964965033741
253,254,64,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2388186804317767
254,255,64,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.9484679429333283
255,256,64,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.112771133543389
256,257,65,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0555973349628844
257,258,65,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1601956305039052
258,259,65,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7038893546354024
259,260,65,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1194236376144713
260,261,66,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1657259361786336
261,262,66,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.342016878675907
262,263,66,20,unit_sum_abdulkadiroglu_0,modified_max_matching,2.3226651444135493
263,264,66,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.10704083748809
264,265,67,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0356167513108714
265,266,67,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2990112275493644
266,267,67,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7477946982700252
267,268,67,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1737231325706867
268,269,68,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1169311986442378
269,270,68,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.3236111486311337
270,271,68,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.6055813963491492
271,272,68,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1938281261087544
272,273,69,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0999780909483419
273,274,69,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2477463436770946
274,275,69,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.905681933702916
275,276,69,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1188383619383904
276,277,70,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1075937506733835
277,278,70,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2063474266001324
278,279,70,20,unit_sum_abdulkadiroglu_0,modified_max_matching,2.3623405629579524
279,280,70,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1528961288416375
280,281,71,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.028484879133526
281,282,71,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2913776252700548
282,283,71,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.7977716130960968
283,284,71,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1135894775866366
284,285,72,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.1081076725311185
285,286,72,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.296094240504037
286,287,72,20,unit_sum_abdulkadiroglu_0,modified_max_matching,2.0479234619254285
287,288,72,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.1847806071532805
288,289,73,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0226650273675575
289,290,73,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.1632369928898472
290,291,73,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.5325343623764114
291,292,73,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.0898958422264227
292,293,74,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0957458401835756
293,294,74,20,unit_sum_abdulkadiroglu_0,partial_max_matching_2.0,1.2209190067780498
294,295,74,20,unit_sum_abdulkadiroglu_0,modified_max_matching,1.70921068678443
295,296,74,20,unit_sum_abdulkadiroglu_0,hybrid_max_matching,1.135866035861699
296,297,75,20,unit_sum_abdulkadiroglu_0,serial_dictatorship,1.0318505230334905
