,0
1,"[[0.33023271 0.24231446 0.0316136  0.17249202 0.22334721]
 [0.33023271 0.24231446 0.0316136  0.17249202 0.22334721]
 [0.33023271 0.24231446 0.0316136  0.17249202 0.22334721]
 [0.33023271 0.24231446 0.0316136  0.17249202 0.22334721]
 [0.33023271 0.24231446 0.0316136  0.17249202 0.22334721]]"
2,"[[0.01550087 0.009309   0.43389826 0.14900122 0.39229064]
 [0.01550087 0.009309   0.43389826 0.14900122 0.39229064]
 [0.01550087 0.009309   0.43389826 0.14900122 0.39229064]
 [0.01550087 0.009309   0.43389826 0.14900122 0.39229064]
 [0.01550087 0.009309   0.43389826 0.14900122 0.39229064]]"
3,"[[0.01856568 0.32260877 0.23221451 0.23975653 0.18685451]
 [0.01856568 0.32260877 0.23221451 0.23975653 0.18685451]
 [0.01856568 0.32260877 0.23221451 0.23975653 0.18685451]
 [0.01856568 0.32260877 0.23221451 0.23975653 0.18685451]
 [0.01856568 0.32260877 0.23221451 0.23975653 0.18685451]]"
4,"[[0.10872416 0.33703499 0.17642222 0.29066985 0.08714878]
 [0.10872416 0.33703499 0.17642222 0.29066985 0.08714878]
 [0.10872416 0.33703499 0.17642222 0.29066985 0.08714878]
 [0.10872416 0.33703499 0.17642222 0.29066985 0.08714878]
 [0.10872416 0.33703499 0.17642222 0.29066985 0.08714878]]"
5,"[[0.12100778 0.25327433 0.03745711 0.3971988  0.19106198]
 [0.12100778 0.25327433 0.03745711 0.3971988  0.19106198]
 [0.12100778 0.25327433 0.03745711 0.3971988  0.19106198]
 [0.12100778 0.25327433 0.03745711 0.3971988  0.19106198]
 [0.12100778 0.25327433 0.03745711 0.3971988  0.19106198]]"
6,"[[0.08212976 0.24449305 0.23332288 0.32748582 0.11256849]
 [0.08212976 0.24449305 0.23332288 0.32748582 0.11256849]
 [0.08212976 0.24449305 0.23332288 0.32748582 0.11256849]
 [0.08212976 0.24449305 0.23332288 0.32748582 0.11256849]
 [0.08212976 0.24449305 0.23332288 0.32748582 0.11256849]]"
7,"[[0.31167505 0.2750543  0.0145288  0.32870477 0.07003708]
 [0.31167505 0.2750543  0.0145288  0.32870477 0.07003708]
 [0.31167505 0.2750543  0.0145288  0.32870477 0.07003708]
 [0.31167505 0.2750543  0.0145288  0.32870477 0.07003708]
 [0.31167505 0.2750543  0.0145288  0.32870477 0.07003708]]"
8,"[[0.07934747 0.02695795 0.61004932 0.02691585 0.25672941]
 [0.07934747 0.02695795 0.61004932 0.02691585 0.25672941]
 [0.07934747 0.02695795 0.61004932 0.02691585 0.25672941]
 [0.07934747 0.02695795 0.61004932 0.02691585 0.25672941]
 [0.07934747 0.02695795 0.61004932 0.02691585 0.25672941]]"
9,"[[0.26623032 0.26191753 0.14122606 0.01506575 0.31556034]
 [0.26623032 0.26191753 0.14122606 0.01506575 0.31556034]
 [0.26623032 0.26191753 0.14122606 0.01506575 0.31556034]
 [0.26623032 0.26191753 0.14122606 0.01506575 0.31556034]
 [0.26623032 0.26191753 0.14122606 0.01506575 0.31556034]]"
10,"[[0.28151713 0.1260115  0.14201795 0.17961157 0.27084185]
 [0.28151713 0.1260115  0.14201795 0.17961157 0.27084185]
 [0.28151713 0.1260115  0.14201795 0.17961157 0.27084185]
 [0.28151713 0.1260115  0.14201795 0.17961157 0.27084185]
 [0.28151713 0.1260115  0.14201795 0.17961157 0.27084185]]"
11,"[[0.31004035 0.28139566 0.04217174 0.25385423 0.11253801]
 [0.31004035 0.28139566 0.04217174 0.25385423 0.11253801]
 [0.31004035 0.28139566 0.04217174 0.25385423 0.11253801]
 [0.31004035 0.28139566 0.04217174 0.25385423 0.11253801]
 [0.31004035 0.28139566 0.04217174 0.25385423 0.11253801]]"
