,0
1,"[[ 0.11690444  0.86566945 -0.          0.001856    0.01557011]
 [-0.          0.86566945  0.001856    0.11690444  0.01557011]
 [ 0.11690444  0.01557011 -0.          0.86566945  0.001856  ]
 [ 0.01557011  0.11690444 -0.          0.001856    0.86566945]
 [ 0.001856   -0.          0.86566945  0.11690444  0.01557011]]"
2,"[[-0.          0.86566945  0.01557011  0.11690444  0.001856  ]
 [-0.          0.86566945  0.01557011  0.11690444  0.001856  ]
 [ 0.001856    0.86566945  0.01557011 -0.          0.11690444]
 [ 0.001856   -0.          0.01557011  0.86566945  0.11690444]
 [ 0.01557011 -0.          0.001856    0.86566945  0.11690444]]"
3,"[[-0.          0.001856    0.86566945  0.01557011  0.11690444]
 [ 0.01557011 -0.          0.86566945  0.11690444  0.001856  ]
 [ 0.11690444  0.01557011 -0.          0.001856    0.86566945]
 [-0.          0.001856    0.86566945  0.01557011  0.11690444]
 [ 0.01557011  0.86566945  0.11690444  0.001856   -0.        ]]"
4,"[[-0.          0.86566945  0.001856    0.01557011  0.11690444]
 [ 0.01557011  0.86566945  0.11690444 -0.          0.001856  ]
 [ 0.86566945  0.01557011  0.001856   -0.          0.11690444]
 [ 0.11690444 -0.          0.01557011  0.86566945  0.001856  ]
 [ 0.86566945  0.11690444  0.01557011  0.001856   -0.        ]]"
5,"[[ 0.01557011  0.86566945 -0.          0.11690444  0.001856  ]
 [ 0.01557011  0.86566945  0.11690444  0.001856   -0.        ]
 [ 0.11690444  0.01557011  0.001856   -0.          0.86566945]
 [ 0.11690444  0.01557011  0.86566945  0.001856   -0.        ]
 [ 0.86566945  0.11690444 -0.          0.01557011  0.001856  ]]"
6,"[[ 0.01557011  0.11690444 -0.          0.86566945  0.001856  ]
 [ 0.11690444 -0.          0.01557011  0.001856    0.86566945]
 [ 0.01557011  0.86566945  0.11690444  0.001856   -0.        ]
 [ 0.001856   -0.          0.01557011  0.86566945  0.11690444]
 [ 0.01557011  0.86566945 -0.          0.11690444  0.001856  ]]"
7,"[[-0.          0.01557011  0.86566945  0.001856    0.11690444]
 [ 0.86566945  0.01557011  0.11690444  0.001856   -0.        ]
 [ 0.11690444  0.01557011  0.001856   -0.          0.86566945]
 [ 0.11690444  0.01557011  0.86566945  0.001856   -0.        ]
 [-0.          0.001856    0.86566945  0.11690444  0.01557011]]"
8,"[[ 0.86566945 -0.          0.01557011  0.001856    0.11690444]
 [ 0.001856   -0.          0.86566945  0.11690444  0.01557011]
 [ 0.001856    0.01557011  0.11690444 -0.          0.86566945]
 [-0.          0.001856    0.01557011  0.11690444  0.86566945]
 [ 0.001856    0.01557011  0.86566945 -0.          0.11690444]]"
9,"[[-0.          0.01557011  0.11690444  0.86566945  0.001856  ]
 [ 0.86566945  0.001856   -0.          0.11690444  0.01557011]
 [-0.          0.86566945  0.11690444  0.001856    0.01557011]
 [-0.          0.11690444  0.01557011  0.001856    0.86566945]
 [ 0.11690444 -0.          0.001856    0.01557011  0.86566945]]"
10,"[[ 0.01557011  0.11690444  0.86566945 -0.          0.001856  ]
 [ 0.11690444 -0.          0.001856    0.01557011  0.86566945]
 [ 0.001856    0.86566945  0.11690444 -0.          0.01557011]
 [ 0.86566945  0.11690444  0.01557011 -0.          0.001856  ]
 [ 0.11690444 -0.          0.86566945  0.01557011  0.001856  ]]"
