,0
1,"[[0.28631532 0.18436252 0.27713645 0.2521857  0.        ]
 [0.18436252 0.27713645 0.         0.2521857  0.28631532]
 [0.18436252 0.         0.28631532 0.27713645 0.2521857 ]
 [0.28631532 0.2521857  0.27713645 0.         0.18436252]
 [0.18436252 0.28631532 0.27713645 0.         0.2521857 ]]"
2,"[[0.         0.18436252 0.2521857  0.27713645 0.28631532]
 [0.2521857  0.27713645 0.         0.28631532 0.18436252]
 [0.2521857  0.18436252 0.27713645 0.28631532 0.        ]
 [0.2521857  0.28631532 0.         0.18436252 0.27713645]
 [0.28631532 0.         0.27713645 0.18436252 0.2521857 ]]"
3,"[[0.2521857  0.27713645 0.         0.28631532 0.18436252]
 [0.18436252 0.         0.2521857  0.28631532 0.27713645]
 [0.28631532 0.27713645 0.18436252 0.2521857  0.        ]
 [0.27713645 0.28631532 0.2521857  0.         0.18436252]
 [0.         0.28631532 0.27713645 0.18436252 0.2521857 ]]"
4,"[[0.2521857  0.         0.18436252 0.28631532 0.27713645]
 [0.28631532 0.         0.27713645 0.18436252 0.2521857 ]
 [0.28631532 0.27713645 0.         0.18436252 0.2521857 ]
 [0.         0.28631532 0.2521857  0.27713645 0.18436252]
 [0.2521857  0.28631532 0.27713645 0.         0.18436252]]"
5,"[[0.28631532 0.         0.27713645 0.18436252 0.2521857 ]
 [0.28631532 0.2521857  0.         0.18436252 0.27713645]
 [0.         0.2521857  0.18436252 0.28631532 0.27713645]
 [0.         0.27713645 0.28631532 0.2521857  0.18436252]
 [0.2521857  0.         0.27713645 0.18436252 0.28631532]]"
6,"[[0.18436252 0.28631532 0.2521857  0.27713645 0.        ]
 [0.27713645 0.2521857  0.18436252 0.         0.28631532]
 [0.         0.28631532 0.18436252 0.27713645 0.2521857 ]
 [0.28631532 0.         0.27713645 0.18436252 0.2521857 ]
 [0.2521857  0.18436252 0.28631532 0.27713645 0.        ]]"
7,"[[0.         0.28631532 0.2521857  0.18436252 0.27713645]
 [0.27713645 0.2521857  0.         0.28631532 0.18436252]
 [0.28631532 0.2521857  0.         0.18436252 0.27713645]
 [0.27713645 0.         0.28631532 0.18436252 0.2521857 ]
 [0.18436252 0.         0.27713645 0.28631532 0.2521857 ]]"
8,"[[0.28631532 0.18436252 0.27713645 0.2521857  0.        ]
 [0.27713645 0.2521857  0.         0.28631532 0.18436252]
 [0.         0.28631532 0.18436252 0.27713645 0.2521857 ]
 [0.18436252 0.27713645 0.         0.2521857  0.28631532]
 [0.2521857  0.         0.28631532 0.18436252 0.27713645]]"
9,"[[0.28631532 0.18436252 0.27713645 0.         0.2521857 ]
 [0.27713645 0.2521857  0.         0.28631532 0.18436252]
 [0.27713645 0.28631532 0.         0.18436252 0.2521857 ]
 [0.         0.2521857  0.27713645 0.28631532 0.18436252]
 [0.27713645 0.2521857  0.28631532 0.18436252 0.        ]]"
10,"[[0.2521857  0.18436252 0.27713645 0.28631532 0.        ]
 [0.28631532 0.2521857  0.27713645 0.         0.18436252]
 [0.2521857  0.18436252 0.27713645 0.         0.28631532]
 [0.28631532 0.18436252 0.2521857  0.27713645 0.        ]
 [0.2521857  0.18436252 0.28631532 0.         0.27713645]]"
