,0
1,"[[0.1948199  0.03947445 0.6728884  0.03321268 0.05960457]
 [0.09498535 0.01240806 0.86224082 0.01016659 0.02019918]
 [0.12193311 0.01772087 0.8173799  0.01460539 0.02836074]
 [0.48122706 0.01208652 0.4737146  0.0093322  0.02363963]
 [0.83148251 0.00807745 0.137575   0.00613038 0.01673466]]"
2,"[[0.18450321 0.73790729 0.07119105 0.00412258 0.00227587]
 [0.24639667 0.44294118 0.20240487 0.0638731  0.04438418]
 [0.23185627 0.51004176 0.18079325 0.04638631 0.03092242]
 [0.24386578 0.45770345 0.19799829 0.05950543 0.04092706]
 [0.10706534 0.01587144 0.87098744 0.00418384 0.00189194]]"
3,"[[0.12747565 0.32296558 0.07600389 0.3480114  0.12554349]
 [0.09089815 0.19930616 0.05746384 0.56263871 0.08969314]
 [0.05420939 0.10873898 0.03563912 0.74785436 0.05355816]
 [0.00867837 0.015577   0.00601371 0.96114261 0.00858831]
 [0.04498498 0.08843123 0.02984943 0.79227673 0.04445763]]"
4,"[[0.03391216 0.78461541 0.10167641 0.04144965 0.03834636]
 [0.04077334 0.74717103 0.11664384 0.04949615 0.04591564]
 [0.05732993 0.66276938 0.14747006 0.06848956 0.06394107]
 [0.01989079 0.86636389 0.06636815 0.02468129 0.02269588]
 [0.04026646 0.74988503 0.11558487 0.04890521 0.04535843]]"
5,"[[0.00171835 0.16954579 0.8155199  0.00208894 0.01112702]
 [0.05091198 0.41807973 0.35006629 0.057014   0.123928  ]
 [0.00557467 0.25777042 0.68851838 0.00683594 0.0413006 ]
 [0.03498427 0.46497523 0.36308247 0.03970587 0.09725216]
 [0.0022371  0.7664616  0.21887935 0.00264283 0.00977912]]"
6,"[[0.46215711 0.04348611 0.04752476 0.38590234 0.06092968]
 [0.47708173 0.03787847 0.04153208 0.38972564 0.05378208]
 [0.31058818 0.06238021 0.07545012 0.41500467 0.13657682]
 [0.33258128 0.01122866 0.01309963 0.62230615 0.02078428]
 [0.71921083 0.00277166 0.00312854 0.2704484  0.00444057]]"
7,"[[2.36522244e-01 1.38379235e-02 7.08489572e-01 8.74065347e-03
  3.24096077e-02]
 [2.91128273e-01 8.71156129e-02 4.94309387e-01 4.98695150e-02
  7.75772126e-02]
 [1.70187752e-01 2.79743816e-02 1.35528131e-01 2.21568882e-02
  6.44152846e-01]
 [2.62827891e-01 2.16560583e-02 6.59507462e-01 1.34769849e-02
  4.25316033e-02]
 [1.63454208e-03 1.07719190e-04 1.06631485e-03 8.08088971e-05
  9.97110615e-01]]"
8,"[[9.92505436e-01 1.07719369e-03 6.08507364e-03 1.13671749e-04
  2.18624562e-04]
 [1.12749465e-02 9.47020464e-01 2.72918185e-02 3.45854105e-03
  1.09542294e-02]
 [7.48873443e-01 5.48770624e-02 1.73035200e-01 8.32545941e-03
  1.48888345e-02]
 [8.52689443e-01 2.82286668e-02 1.08533036e-01 3.71073798e-03
  6.83811624e-03]
 [7.65929932e-01 5.01282610e-02 1.63184241e-01 7.41910393e-03
  1.33384622e-02]]"
9,"[[0.00608589 0.0046323  0.21781919 0.01626076 0.75520186]
 [0.02778345 0.02196256 0.33160959 0.06211743 0.55652697]
 [0.04433989 0.03584176 0.34101228 0.08998915 0.48881692]
 [0.0300742  0.02030388 0.53830741 0.16754086 0.24377365]
 [0.0223752  0.0175462  0.32169923 0.05186918 0.58651019]]"
10,"[[2.25452650e-02 2.76238689e-02 8.64802620e-01 2.24078964e-02
  6.26203498e-02]
 [8.87270798e-05 1.13054701e-04 9.99391267e-01 8.80889725e-05
  3.18862588e-04]
 [4.33920218e-02 5.96285708e-02 5.70894884e-01 4.29907574e-02
  2.83093766e-01]
 [1.07344616e-02 1.41060036e-02 9.16201308e-01 1.06481468e-02
  4.83100801e-02]
 [4.48663721e-02 6.18258039e-02 5.48688814e-01 4.44481598e-02
  3.00170850e-01]]"
11,"[[0.05627536 0.0047448  0.009475   0.92531045 0.00419439]
 [0.14088857 0.07923972 0.49951828 0.20454892 0.07580451]
 [0.94665737 0.00588248 0.00397368 0.03846691 0.00501956]
 [0.10888844 0.05471812 0.61017928 0.17424301 0.05197115]
 [0.13151112 0.07135275 0.53229428 0.19674203 0.06809981]]"
12,"[[7.02184357e-02 8.86802146e-01 5.22516582e-03 1.71370670e-02
  2.06171850e-02]
 [4.60444829e-02 9.22702843e-01 3.85807379e-03 1.17703376e-02
  1.56242626e-02]
 [8.15365611e-01 2.98523145e-02 3.03574634e-03 1.44185759e-01
  7.56056925e-03]
 [3.13423279e-03 9.93825469e-01 3.87030827e-04 9.21554077e-04
  1.73171335e-03]
 [7.30534916e-02 2.03751026e-02 4.03777013e-03 8.94330269e-01
  8.20336694e-03]]"
13,"[[9.86867860e-01 2.12019938e-03 7.70083859e-03 1.33965931e-04
  3.17713597e-03]
 [9.85572415e-01 2.57276617e-03 7.94727355e-03 2.08276424e-04
  3.69926929e-03]
 [8.12796565e-02 4.45992690e-01 1.72102234e-01 8.17304723e-03
  2.92452372e-01]
 [3.41536638e-01 1.29626142e-01 1.90173199e-01 1.89693693e-01
  1.48970327e-01]
 [7.20143315e-01 3.61754304e-02 1.83540472e-01 1.55449287e-03
  5.85862897e-02]]"
14,"[[9.96846995e-01 1.16690226e-03 1.67414012e-03 2.72712542e-04
  3.92497311e-05]
 [2.01931619e-01 3.48650455e-01 3.16156218e-01 9.34424609e-02
  3.98192478e-02]
 [2.19350823e-01 2.82518124e-01 2.70731195e-01 1.44096456e-01
  8.33034014e-02]
 [2.15025123e-01 3.11247972e-01 2.92001346e-01 1.21177870e-01
  6.05476899e-02]
 [9.63655826e-02 5.21157431e-01 3.54995283e-01 2.14171787e-02
  6.06452470e-03]]"
15,"[[0.03399745 0.04374278 0.15177012 0.72208542 0.04840423]
 [0.05990127 0.12112207 0.58463423 0.06466227 0.16968016]
 [0.09186779 0.10924596 0.23082427 0.45116892 0.11689307]
 [0.05712767 0.07121566 0.19900843 0.59491664 0.0777316 ]
 [0.13051257 0.14673108 0.2339172  0.3353786  0.15346054]]"
16,"[[0.02415154 0.9128405  0.01917912 0.04125747 0.00257138]
 [0.93273409 0.03421058 0.01230761 0.01699181 0.00375591]
 [0.80748152 0.11980351 0.02608327 0.04060209 0.0060296 ]
 [0.76202742 0.10995173 0.04810816 0.0629759  0.01693678]
 [0.90494572 0.04750132 0.01774332 0.02425449 0.00555515]]"
17,"[[3.05238827e-01 2.48843583e-01 3.20740513e-01 5.10468657e-02
  7.41302116e-02]
 [1.17167370e-01 8.13787671e-01 6.78772674e-02 3.80814434e-04
  7.86877261e-04]
 [4.00742366e-02 9.29803805e-01 2.87671788e-02 4.30308090e-04
  9.24471102e-04]
 [3.50204189e-01 2.09224514e-01 4.02163885e-01 1.43020337e-02
  2.41053789e-02]
 [3.20078723e-01 2.44362868e-01 3.42207046e-01 3.69803015e-02
  5.63710616e-02]]"
18,"[[2.73135273e-06 6.09432030e-07 9.99994050e-01 1.53189919e-06
  1.07750032e-06]
 [6.29745355e-02 1.91442110e-02 8.46464988e-01 4.06779538e-02
  3.07383114e-02]
 [4.64629570e-02 1.33857746e-02 8.88969944e-01 2.93098464e-02
  2.18714782e-02]
 [9.74634615e-01 1.68663433e-03 2.53940721e-03 1.55565503e-02
  5.58279317e-03]
 [1.75944578e-02 4.54572391e-03 9.59604884e-01 1.05669857e-02
  7.68794891e-03]]"
19,"[[0.4116737  0.09447887 0.0688138  0.33802032 0.08701331]
 [0.56159083 0.03692628 0.023818   0.34479897 0.03286592]
 [0.48693877 0.06153185 0.04185558 0.35407289 0.0556009 ]
 [0.51128528 0.05252672 0.03506044 0.35391719 0.04721037]
 [0.53506601 0.04463884 0.02929334 0.35107467 0.03992713]]"
20,"[[0.04500507 0.72191178 0.10014284 0.03673873 0.09620158]
 [0.08006411 0.55444915 0.1512223  0.06760538 0.14665906]
 [0.08910445 0.51674859 0.16135693 0.0759375  0.15685252]
 [0.06627165 0.61616617 0.13342542 0.05520496 0.1289318 ]
 [0.00791731 0.94318049 0.02192367 0.00620814 0.0207704 ]]"
21,"[[6.54082427e-01 2.94586783e-03 2.07242391e-01 1.87037593e-03
  4.98722350e-03 2.16853406e-03 9.13414316e-03 1.65738736e-02
  1.26027372e-02 8.83924274e-02]
 [2.26020951e-01 6.11698053e-03 1.24810924e-01 3.74362025e-03
  1.09494189e-02 4.38836718e-03 2.19033505e-02 4.49732682e-02
  3.21297917e-02 5.24963327e-01]
 [3.15042652e-01 6.30919088e-03 1.62136935e-01 3.89466685e-03
  1.11442536e-02 4.55373550e-03 2.18160305e-02 4.34030554e-02
  3.15111604e-02 4.00188321e-01]
 [2.97180722e-01 6.92028517e-03 5.59501952e-01 4.78583984e-03
  1.03876969e-02 5.40572782e-03 1.60387072e-02 2.36721702e-02
  1.98920641e-02 5.62148347e-02]
 [3.03300264e-02 5.20565378e-03 2.22812785e-02 2.90797953e-03
  1.08313166e-02 3.50101689e-03 2.85080094e-02 9.55478394e-02
  5.23209566e-02 7.48565923e-01]
 [1.89735426e-01 1.47603789e-03 7.73923672e-01 9.95145969e-04
  2.29342571e-03 1.13290296e-03 3.70960019e-03 5.77002936e-03
  4.72948923e-03 1.62342710e-02]
 [3.76752053e-02 7.85521096e-03 2.82030949e-02 4.32247126e-03
  1.67858374e-02 5.22651488e-03 4.66881837e-02 1.77327120e-01
  9.03013654e-02 5.85614997e-01]
 [1.57283036e-03 1.35960280e-03 1.29664159e-03 6.36845582e-04
  4.02128064e-03 8.05313265e-04 2.84523373e-02 6.43066764e-01
  3.12844115e-01 5.94426920e-03]
 [2.80347677e-02 4.61850641e-03 2.05092310e-02 2.58774865e-03
  9.55932484e-03 3.11278709e-03 2.48945721e-02 8.15571692e-02
  4.52453277e-02 7.79880565e-01]
 [3.02218713e-01 8.32488646e-03 5.30769626e-01 5.78793167e-03
  1.24077515e-02 6.52682792e-03 1.89798985e-02 2.77285575e-02
  2.34129101e-02 6.38428973e-02]]"
