,id,val_index,size,valuation,algo,distortion
0,1,1,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.0761546520016427
1,2,1,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0
2,3,1,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.1260336771183008
3,4,1,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0
4,5,2,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.8811346590857472
5,6,2,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.6993296706128995
6,7,2,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.0
7,8,2,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0
8,9,3,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.316562661941815
9,10,3,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.020453080171496
10,11,3,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.020453080171496
11,12,3,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.020453080171496
12,13,4,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.024124108660785
13,14,4,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.007913442479659
14,15,4,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.007913442479659
15,16,4,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.007913442479659
16,17,5,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.1448372885053124
17,18,5,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.1448372885053124
18,19,5,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.1448372885053124
19,20,5,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.1448372885053124
20,21,6,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.7056890629684074
21,22,6,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.275071056877662
22,23,6,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.3150860620225762
23,24,6,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.2925168445881063
24,25,7,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.200276103764085
25,26,7,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.1822733651384059
26,27,7,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.0326785588981504
27,28,7,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0326785588981504
28,29,8,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.0676894218768231
29,30,8,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0676894218768234
30,31,8,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.065951923636493
31,32,8,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0676894218768234
32,33,9,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.057304145856299
33,34,9,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0075897855250826
34,35,9,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.1997618100282597
35,36,9,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0075897855250826
36,37,10,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.2483991330741038
37,38,10,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0952727857195623
38,39,10,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.2594199818319651
39,40,10,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0
40,41,11,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.0713331187002573
41,42,11,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.071333118700257
42,43,11,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.0624930609997143
43,44,11,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.071333118700257
44,45,12,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.0678407667582783
45,46,12,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0678407667582783
46,47,12,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.2390831321574514
47,48,12,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0009150662139041
48,49,13,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.1096852648497981
49,50,13,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.1096852648497981
50,51,13,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.1358146325506697
51,52,13,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.1096852648497981
52,53,14,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.282923673955997
53,54,14,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.2657718174468295
54,55,14,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.0801962364860056
55,56,14,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0792997158558493
56,57,15,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.0165634676531399
57,58,15,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,2.1689662271945367
58,59,15,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.0
59,60,15,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0445041437782334
60,61,16,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.7393488872995395
61,62,16,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.1838980883076649
62,63,16,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.049501757001755
63,64,16,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.049501757001755
64,65,17,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.0658911028340456
65,66,17,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.0658911028340456
66,67,17,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.083079977252303
67,68,17,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0658911028340456
68,69,18,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.3529711404591704
69,70,18,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.3529711404591704
70,71,18,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.417289252268482
71,72,18,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.3529711404591704
72,73,19,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,2.1440476973586318
73,74,19,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,2.1440476973586318
74,75,19,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,2.1440476973586318
75,76,19,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.4502211638468805
76,77,20,5,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.1255699042147191
77,78,20,5,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_1.0,1.03617809149061
78,79,20,5,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.1604514720794543
79,80,20,5,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.1352153565252388
80,81,21,10,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.9163193677885517
81,82,21,10,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.0533067198822283
82,83,21,10,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.3872665393124235
83,84,21,10,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0533067198822283
84,85,22,10,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.390180848624442
85,86,22,10,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.1208818323707512
86,87,22,10,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.15540146407662
87,88,22,10,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.1208818323707512
88,89,23,10,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.3112539491869952
89,90,23,10,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.0034623009989594
90,91,23,10,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.0036302704425488
91,92,23,10,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.0034623009989594
92,93,24,10,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.4385231564955008
93,94,24,10,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.1715635996882185
94,95,24,10,unit_sum_benabbou_middle_mean_middle_var,modified_max_matching,1.1812871096007573
95,96,24,10,unit_sum_benabbou_middle_mean_middle_var,hybrid_max_matching,1.1715635996882185
96,97,25,10,unit_sum_benabbou_middle_mean_middle_var,serial_dictatorship,1.573823217744264
97,98,25,10,unit_sum_benabbou_middle_mean_middle_var,partial_max_matching_2.0,1.0000000000000002
