,0
1,"[[7.38537802e-05 9.99340691e-01 9.10950328e-05 1.76852904e-04
  3.17507374e-04]
 [1.41477473e-01 6.36754254e-01 4.50384181e-02 7.20232650e-02
  1.04706590e-01]
 [2.49234813e-01 5.09129963e-01 5.13768224e-02 7.91802107e-02
  1.11078191e-01]
 [2.46163503e-01 5.12271571e-01 5.13092298e-02 7.91423359e-02
  1.11113360e-01]
 [2.02233621e-04 9.97972981e-01 2.75105629e-04 5.45361889e-04
  1.00431799e-03]]"
2,"[[0.2059693  0.11977018 0.38521562 0.11131655 0.17772835]
 [0.1730635  0.15173534 0.29999902 0.14003137 0.23517077]
 [0.19375717 0.13257808 0.35084832 0.12289632 0.19992011]
 [0.00599897 0.13248602 0.00813055 0.10551572 0.74786873]
 [0.23341508 0.04216925 0.62702033 0.03973789 0.05765746]]"
3,"[[3.03179148e-03 4.87394397e-04 9.96230480e-01 1.81756363e-04
  6.85772751e-05]
 [7.31806024e-01 2.54465042e-02 2.36539291e-01 3.81731352e-03
  2.39086719e-03]
 [4.56248317e-02 9.15166161e-03 9.39330704e-01 4.46921266e-03
  1.42359027e-03]
 [2.00450452e-01 7.67231351e-02 5.38318799e-01 1.66436039e-01
  1.80715746e-02]
 [7.96972629e-02 5.56167985e-02 1.04004786e-01 7.34511417e-01
  2.61697356e-02]]"
4,"[[2.27302492e-02 1.58591479e-01 2.04311414e-02 6.96277127e-01
  1.01970003e-01]
 [2.86865577e-01 1.71062042e-01 1.98465409e-01 2.54033574e-02
  3.18203615e-01]
 [3.29578134e-01 1.51965355e-01 2.22189608e-01 2.40998699e-02
  2.72167033e-01]
 [3.52544006e-04 9.86175664e-01 2.98664203e-04 4.72199381e-04
  1.27009285e-02]
 [3.52279789e-02 3.73162157e-01 3.12906588e-02 3.52320650e-01
  2.07998556e-01]]"
5,"[[0.0066036  0.23531287 0.03235549 0.71504991 0.01067813]
 [0.08598075 0.04621721 0.27734975 0.03502644 0.55542584]
 [0.05293244 0.05776194 0.63388602 0.04180808 0.21361152]
 [0.88446641 0.0088327  0.01840927 0.00761177 0.08067985]
 [0.03456452 0.00752881 0.03021257 0.00593989 0.9217542 ]]"
6,"[[1.34715040e-02 2.43565915e-02 7.07066512e-01 4.65700731e-02
  2.08535320e-01]
 [1.34636342e-02 2.43487320e-02 7.07303948e-01 4.65384060e-02
  2.08345279e-01]
 [1.57402691e-02 2.62629691e-02 6.31214122e-01 5.60842481e-02
  2.70698392e-01]
 [2.42805169e-02 7.23833502e-03 3.37656465e-02 3.89969219e-01
  5.44746282e-01]
 [1.22302640e-07 4.30918576e-07 9.99998069e-01 3.46913782e-07
  1.03112599e-06]]"
7,"[[3.54945928e-01 1.95770701e-01 7.48722052e-02 5.55390307e-02
  3.18872135e-01]
 [8.96201299e-02 7.09470148e-01 6.32752246e-02 2.63983525e-02
  1.11236145e-01]
 [1.13285498e-07 2.27549868e-07 9.99998262e-01 1.27284177e-06
  1.24675993e-07]
 [4.20737623e-01 1.58830967e-01 4.28836459e-02 2.96423054e-02
  3.47905459e-01]
 [2.17558298e-01 6.60928879e-02 2.96761944e-03 1.67090482e-03
  7.11710290e-01]]"
8,"[[0.05293312 0.11954844 0.09268713 0.64149838 0.09333292]
 [0.12137013 0.01174396 0.83279899 0.02381049 0.01027644]
 [0.00216606 0.21326102 0.00287431 0.02329027 0.75840834]
 [0.02582515 0.0917122  0.04294436 0.77039359 0.06912469]
 [0.03714033 0.10687672 0.0631585  0.7108668  0.08195765]]"
9,"[[0.00406802 0.01011465 0.00985428 0.00712181 0.96884125]
 [0.06184998 0.3223743  0.30434514 0.15842795 0.15300263]
 [0.0046633  0.01165462 0.01135254 0.00818753 0.964142  ]
 [0.05987271 0.22211198 0.21303931 0.12985945 0.37511656]
 [0.00775359 0.01983438 0.01930423 0.01379132 0.93931648]]"
10,"[[2.41760633e-02 1.87016289e-01 2.65604764e-01 2.40753119e-02
  4.99127571e-01]
 [9.41940448e-03 7.06410907e-01 2.01476228e-01 9.35119370e-03
  7.33422669e-02]
 [3.36497225e-03 8.23374169e-01 1.31409897e-01 3.34172492e-03
  3.85092369e-02]
 [4.86315428e-04 8.68582688e-01 1.16824737e-01 4.83230940e-04
  1.36230286e-02]
 [3.41422502e-04 9.65623717e-01 2.78003029e-02 3.39163288e-04
  5.89539439e-03]]"
