,id,val_index,size,valuation,algo,distortion
0,1,1,5,theta0.2unitrange,serial_dictatorship,2.128849043945146
1,2,1,5,theta0.2unitrange,ttc_matching,1.0
2,3,1,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
3,4,1,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
4,5,1,5,theta0.2unitrange,modified_max_matching,2.128849043945146
5,6,2,5,theta0.2unitrange,serial_dictatorship,2.284586587262243
6,7,2,5,theta0.2unitrange,ttc_matching,1.0379161468780052
7,8,2,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
8,9,2,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
9,10,2,5,theta0.2unitrange,modified_max_matching,2.284586587262243
10,11,3,5,theta0.2unitrange,serial_dictatorship,5.688080040358689
11,12,3,5,theta0.2unitrange,ttc_matching,1.233546808814225
12,13,3,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
13,14,3,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
14,15,3,5,theta0.2unitrange,modified_max_matching,5.688080040358689
15,16,4,5,theta0.2unitrange,serial_dictatorship,1.3929355087548931
16,17,4,5,theta0.2unitrange,ttc_matching,1.0961530937030057
17,18,4,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
18,19,4,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
19,20,4,5,theta0.2unitrange,modified_max_matching,1.3929355087548931
20,21,5,5,theta0.2unitrange,serial_dictatorship,1.6874019961213687
21,22,5,5,theta0.2unitrange,ttc_matching,1.090693970246553
22,23,5,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
23,24,5,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
24,25,5,5,theta0.2unitrange,modified_max_matching,1.6874019961213687
25,26,6,5,theta0.2unitrange,serial_dictatorship,4.501867813252506
26,27,6,5,theta0.2unitrange,ttc_matching,1.2103646042902851
27,28,6,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
28,29,6,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
29,30,6,5,theta0.2unitrange,modified_max_matching,4.501867813252506
30,31,7,5,theta0.2unitrange,serial_dictatorship,1.566727334428643
31,32,7,5,theta0.2unitrange,ttc_matching,1.566727334428643
32,33,7,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
33,34,7,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
34,35,7,5,theta0.2unitrange,modified_max_matching,1.566727334428643
35,36,8,5,theta0.2unitrange,serial_dictatorship,1.2122388935768968
36,37,8,5,theta0.2unitrange,ttc_matching,1.2122388935768968
37,38,8,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
38,39,8,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
39,40,8,5,theta0.2unitrange,modified_max_matching,1.2122388935768968
40,41,9,5,theta0.2unitrange,serial_dictatorship,1.4489298176691305
41,42,9,5,theta0.2unitrange,ttc_matching,1.2167587411207632
42,43,9,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
43,44,9,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
44,45,9,5,theta0.2unitrange,modified_max_matching,1.4489298176691305
45,46,10,5,theta0.2unitrange,serial_dictatorship,1.976411369864818
46,47,10,5,theta0.2unitrange,ttc_matching,1.1998675688752096
47,48,10,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
48,49,10,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
49,50,10,5,theta0.2unitrange,modified_max_matching,1.976411369864818
50,51,11,5,theta0.2unitrange,serial_dictatorship,1.240899195524342
51,52,11,5,theta0.2unitrange,ttc_matching,1.240899195524342
52,53,11,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
53,54,11,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
54,55,11,5,theta0.2unitrange,modified_max_matching,1.240899195524342
55,56,12,5,theta0.2unitrange,serial_dictatorship,3.2283821550489664
56,57,12,5,theta0.2unitrange,ttc_matching,1.2852602993665048
57,58,12,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
58,59,12,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
59,60,12,5,theta0.2unitrange,modified_max_matching,3.2283821550489664
60,61,13,5,theta0.2unitrange,serial_dictatorship,1.9015534207848384
61,62,13,5,theta0.2unitrange,ttc_matching,1.1092587553324351
62,63,13,5,theta0.2unitrange,epsilon_max_matching fair1,1.0
63,64,13,5,theta0.2unitrange,epsilon_max_matching fair0.1,1.0
64,65,13,5,theta0.2unitrange,modified_max_matching,1.9015534207848384
