,0
1,"[[3.98129590e-01 1.00000000e+00 9.25786421e-01 9.62468887e-04
  0.00000000e+00]
 [9.67957427e-01 0.00000000e+00 3.21442766e-01 1.00000000e+00
  9.40545011e-01]
 [4.91919978e-03 0.00000000e+00 9.50597413e-01 9.87841582e-01
  1.00000000e+00]
 [1.00000000e+00 8.44238941e-01 6.84247532e-01 0.00000000e+00
  2.74233687e-01]
 [1.00000000e+00 8.64848823e-01 0.00000000e+00 9.51715295e-01
  9.56160817e-01]]"
2,"[[0.91087695 0.         0.51451631 0.51996905 1.        ]
 [1.         0.5444578  0.59164528 0.         0.65409767]
 [0.68203658 0.93723115 0.60926905 1.         0.        ]
 [0.89400516 0.84120114 1.         0.         0.86213385]
 [1.         0.42255338 0.75151652 0.77953498 0.        ]]"
3,"[[0.22645966 1.         0.         0.0138618  0.54634471]
 [0.93037524 0.36409642 0.24525912 1.         0.        ]
 [1.         0.39466214 0.26422015 0.13699188 0.        ]
 [0.13072572 0.58699148 1.         0.         0.95416743]
 [0.4444744  0.         1.         0.28889907 0.01619735]]"
4,"[[1.         0.3545344  0.02800908 0.         0.53870235]
 [0.         1.         0.35802998 0.61894295 0.56297274]
 [1.         0.85901581 0.         0.85038006 0.32290149]
 [0.40642583 1.         0.         0.75395528 0.04002371]
 [1.         0.38706817 0.4227293  0.00115098 0.        ]]"
5,"[[1.         0.26251752 0.68277255 0.05165889 0.        ]
 [0.10495352 0.55688017 0.         0.18541348 1.        ]
 [0.60339488 0.69999656 1.         0.21432713 0.        ]
 [1.         0.26509221 0.46808177 0.         0.46712859]
 [0.7002297  0.45059552 1.         0.9317156  0.        ]]"
6,"[[0.         0.7206707  0.23184202 0.98118796 1.        ]
 [1.         0.98446255 0.53487409 0.         0.60609875]
 [0.73560394 1.         0.04363361 0.02843549 0.        ]
 [0.53607896 0.         1.         0.0647441  0.07916   ]
 [0.76492568 0.11265843 1.         0.91982238 0.        ]]"
7,"[[0.42794474 0.17141275 1.         0.41374641 0.        ]
 [0.         1.         0.69860492 0.72864383 0.39020943]
 [0.         1.         0.99714927 0.53193753 0.23455844]
 [1.         0.42094374 0.64327539 0.         0.8115299 ]
 [1.         0.10979252 0.67871722 0.         0.47277701]]"
8,"[[1.         0.77343492 0.         0.3663695  0.68299977]
 [1.         0.96961427 0.         0.64917898 0.56294005]
 [0.78303942 0.16768167 0.19013838 1.         0.        ]
 [0.72166267 0.         0.37022197 1.         0.97956756]
 [1.         0.61658357 0.         0.43067907 0.15876487]]"
9,"[[1.         0.6871167  0.11544982 0.8496339  0.        ]
 [1.         0.90579535 0.69206802 0.         0.39955008]
 [0.81046715 1.         0.         0.10202549 0.9692872 ]
 [0.         1.         0.87581985 0.35554532 0.98573198]
 [0.         0.9639878  0.59182311 0.14366314 1.        ]]"
10,"[[1.         0.12018245 0.9655456  0.774755   0.        ]
 [1.         0.         0.90757428 0.21644192 0.39130239]
 [0.33106014 1.         0.40659065 0.23643623 0.        ]
 [1.         0.         0.60066325 0.74921037 0.6182016 ]
 [0.23089832 0.64651874 0.         1.         0.16342628]]"
