1,"[[0.34416815 1.         0.49476668 0.13925467 0.        ]
 [0.92608674 0.         0.0447277  1.         0.78668004]
 [0.03061358 0.         0.08436045 0.34661777 1.        ]
 [1.         0.95390575 0.75653808 0.         0.25914623]
 [1.         0.34177333 0.         0.42437696 0.9708165 ]]"
2,"[[0.45975473 0.         0.29102081 0.32525929 1.        ]
 [1.         0.58142215 0.72214808 0.         0.87995146]
 [0.17745621 0.40193574 0.13660968 1.         0.        ]
 [0.76515991 0.29821841 1.         0.         0.31960841]
 [1.         0.35935501 0.74440288 0.85998133 0.        ]]"
3,"[[0.35828898 1.         0.         0.1643251  0.50126678]
 [0.479486   0.42031937 0.22075412 1.         0.        ]
 [1.         0.88407848 0.10679617 0.09528729 0.        ]
 [0.25397206 0.67694255 1.         0.         0.89244339]
 [0.84805412 0.         1.         0.32209195 0.15618952]]"
4,"[[1.         0.62144629 0.47603585 0.         0.68788637]
 [0.         1.         0.43014612 0.80240214 0.70439432]
 [1.         0.83720633 0.         0.45487432 0.37180995]
 [0.29064563 1.         0.         0.44161675 0.22252861]
 [1.         0.40002633 0.66734489 0.2165836  0.        ]]"
5,"[[1.         0.72582981 0.99847314 0.19296159 0.        ]
 [0.14932145 0.94408062 0.         0.58952402 1.        ]
 [0.74282524 0.8707634  1.         0.21568434 0.        ]
 [1.         0.00296863 0.37420189 0.         0.23986872]
 [0.21733366 0.10819094 1.         0.72682342 0.        ]]"
6,"[[0.         0.67751085 0.39922426 0.77238835 1.        ]
 [1.         0.72240084 0.30768349 0.         0.48043298]
 [0.8653744  1.         0.6027872  0.28832979 0.        ]
 [0.99799903 0.         1.         0.0578252  0.28714927]
 [0.17840466 0.16102445 1.         0.82211341 0.        ]]"
7,"[[0.78057751 0.69655845 1.         0.70402674 0.        ]
 [0.         1.         0.50916092 0.60774868 0.43150088]
 [0.         1.         0.80667266 0.64896575 0.40217512]
 [1.         0.22914553 0.73410392 0.         0.7351712 ]
 [1.         0.6887988  0.95972775 0.         0.92718258]]"
8,"[[1.         0.99618928 0.         0.07668079 0.08847718]
 [1.         0.8795393  0.         0.43658131 0.03398014]
 [0.99889646 0.1828437  0.51483689 1.         0.        ]
 [0.1149216  0.         0.01876375 1.         0.22797909]
 [1.         0.66333231 0.         0.21173963 0.18070163]]"
9,"[[1.         0.6961053  0.36727639 0.96530955 0.        ]
 [1.         0.9988648  0.4173582  0.         0.09439935]
 [0.61491593 1.         0.         0.22103742 0.7217754 ]
 [0.         1.         0.67940047 0.07114752 0.84822172]
 [0.         0.93252461 0.51886148 0.23308843 1.        ]]"
10,"[[1.         0.13650605 0.26520911 0.20061995 0.        ]
 [1.         0.         0.36238833 0.01345771 0.23788236]
 [0.43350461 1.         0.78961578 0.3878789  0.        ]
 [1.         0.         0.15198676 0.7393821  0.56729613]
 [0.60031432 0.91184895 0.         1.         0.25234324]]"
11,"[[1.         0.84359674 0.29482672 0.         0.17222106]
 [1.         0.92258704 0.         0.58247261 0.51045237]
 [1.         0.91053091 0.         0.42013707 0.00593248]
 [1.         0.49093939 0.25709912 0.97333413 0.        ]
 [0.86809898 0.10742355 0.         0.71840404 1.        ]]"
12,"[[0.58192341 1.         0.55617554 0.         0.70011344]
 [0.54742341 0.59845195 0.         1.         0.00589823]
 [0.53775607 1.         0.         0.3610806  0.35672781]
 [0.00345031 1.         0.74691059 0.74066344 0.        ]
 [0.87677895 0.1545166  0.15023273 1.         0.        ]]"
13,"[[1.         0.94028707 0.53478618 0.58604829 0.        ]
 [0.96813354 0.61685504 1.         0.69656636 0.        ]
 [0.         0.60236907 0.82154808 0.36695697 1.        ]
 [1.         0.81090871 0.96812886 0.         0.09045421]
 [0.44312066 0.63170944 1.         0.18169356 0.        ]]"
14,"[[0.13982386 1.         0.         0.66131671 0.03453078]
 [0.96667723 0.91293554 0.90668132 0.         1.        ]
 [0.93222896 0.41300615 0.11327948 0.         1.        ]
 [1.         0.31573439 0.08623005 0.15744978 0.        ]
 [0.36072296 0.23032456 0.         1.         0.07533252]]"
15,"[[1.         0.86839651 0.50210995 0.         0.27836271]
 [1.         0.27017751 0.72152425 0.87394066 0.        ]
 [0.27889238 1.         0.72262032 0.         0.0767949 ]
 [0.         0.0133512  0.25578331 0.36473268 1.        ]
 [0.88125264 1.         0.         0.6746723  0.02256532]]"
16,"[[1.         0.96582621 0.07615932 0.92117292 0.        ]
 [0.9796921  0.22381543 1.         0.         0.30919631]
 [0.90630969 0.63121668 0.26137428 1.         0.        ]
 [0.07544805 0.63526403 0.         0.23058154 1.        ]
 [0.70822657 1.         0.86600427 0.         0.42429637]]"
17,"[[0.62325066 1.         0.92898213 0.         0.79641946]
 [0.64396185 1.         0.         0.86456324 0.19610256]
 [0.         0.56081997 0.14668659 1.         0.33813149]
 [0.         1.         0.6001614  0.28253132 0.04224212]
 [1.         0.51491997 0.         0.76204452 0.66274538]]"
18,"[[0.09181069 0.         0.98919292 0.67755941 1.        ]
 [0.36430159 1.         0.67295535 0.         0.19328146]
 [1.         0.         0.59928838 0.19467225 0.8679358 ]
 [1.         0.89407382 0.41957594 0.06098711 0.        ]
 [0.27436813 0.14581829 1.         0.         0.81368297]]"
19,"[[0.79472821 0.         0.76614755 0.41627513 1.        ]
 [0.19952715 0.86515357 0.         0.16000771 1.        ]
 [0.94437976 0.50495462 1.         0.08718255 0.        ]
 [1.         0.         0.97922318 0.75245247 0.89300284]
 [0.83877872 0.         0.10138014 1.         0.60618055]]"
20,"[[0.82467103 0.31454104 1.         0.19224598 0.        ]
 [0.16237111 0.         1.         0.45137137 0.16704099]
 [1.         0.03465134 0.29697087 0.07084857 0.        ]
 [0.99828811 1.         0.05942909 0.71129197 0.        ]
 [0.09268819 0.85121013 0.         1.         0.92896667]]"
21,"[[0.41679354 1.         0.         0.40218969 0.15086147]
 [0.81681892 0.         1.         0.82799044 0.06036236]
 [1.         0.22293936 0.         0.56099909 0.20600214]
 [1.         0.         0.48804641 0.6607941  0.36941566]
 [0.61735361 0.         0.72418499 1.         0.63634178]]"
22,"[[1.         0.76386458 0.38446988 0.10839481 0.        ]
 [1.         0.75745158 0.1411472  0.         0.53722761]
 [0.         0.89279736 0.05063553 1.         0.86901582]
 [0.9995967  1.         0.         0.01493015 0.23326801]
 [0.42638401 0.53431856 1.         0.77687859 0.        ]]"
23,"[[0.         0.18404267 1.         0.9357921  0.25998017]
 [0.44913789 1.         0.         0.43000849 0.87707414]
 [0.42997594 1.         0.61964749 0.         0.41560919]
 [1.         0.01074495 0.25603646 0.         0.98782676]
 [0.59110218 0.88726487 1.         0.16088673 0.        ]]"
24,"[[0.53774722 0.         1.         0.2693364  0.00147217]
 [0.91199724 0.68944847 0.57111431 0.         1.        ]
 [1.         0.         0.54243964 0.92236702 0.74070053]
 [1.         0.36970299 0.         0.33117876 0.12260165]
 [0.57633647 0.89751256 0.19055812 1.         0.        ]]"
