,0
1,"[[9.22150025e-01 1.00000000e+00 9.24761464e-01 2.77134109e-01
  0.00000000e+00]
 [6.94275277e-01 0.00000000e+00 2.56843517e-01 1.00000000e+00
  5.65724539e-01]
 [3.71123818e-01 0.00000000e+00 4.26924269e-01 6.14690667e-01
  1.00000000e+00]
 [1.00000000e+00 9.02769330e-01 4.34430687e-01 0.00000000e+00
  4.80628647e-05]
 [1.00000000e+00 3.55391979e-01 0.00000000e+00 9.76877425e-01
  9.83716093e-01]]"
2,"[[0.89495456 0.         0.27591944 0.44957051 1.        ]
 [1.         0.41218254 0.4374873  0.         0.596842  ]
 [0.41167766 0.8877904  0.2888838  1.         0.        ]
 [0.69868228 0.19125621 1.         0.         0.20478657]
 [1.         0.03900869 0.60960321 0.77620626 0.        ]]"
3,"[[0.4417044  1.         0.         0.30967018 0.95156697]
 [0.94597292 0.73145876 0.15292681 1.         0.        ]
 [1.         0.6502303  0.33679676 0.11782898 0.        ]
 [0.17370972 0.36388077 1.         0.         0.39732767]
 [0.94770846 0.         1.         0.93613224 0.63832189]]"
4,"[[1.         0.73944086 0.35725503 0.         0.83287621]
 [0.         1.         0.32903911 0.97862901 0.73606723]
 [1.         0.81448199 0.         0.18424459 0.07336901]
 [0.20284555 1.         0.         0.76605906 0.14004223]
 [1.         0.49242293 0.57299926 0.45053528 0.        ]]"
5,"[[1.         0.72779353 0.8839498  0.34289186 0.        ]
 [0.21367233 0.95348313 0.         0.22746857 1.        ]
 [0.51123752 0.52283051 1.         0.2809094  0.        ]
 [1.         0.15368568 0.73555706 0.         0.27461447]
 [0.47732986 0.09315527 1.         0.77335311 0.        ]]"
6,"[[0.         0.13724202 0.13067241 0.99835896 1.        ]
 [1.         0.7915708  0.03467086 0.         0.26842841]
 [0.47823785 1.         0.3815423  0.34127733 0.        ]
 [0.13656424 0.         1.         0.01428712 0.0516563 ]
 [0.84868    0.24932669 1.         0.85104519 0.        ]]"
7,"[[0.85681769 0.26196974 1.         0.69970871 0.        ]
 [0.         1.         0.3727433  0.88065905 0.14170221]
 [0.         1.         0.68102481 0.57300769 0.5263128 ]
 [1.         0.00574339 0.14543589 0.         0.2134898 ]
 [1.         0.34969385 0.9830448  0.         0.78217818]]"
8,"[[1.         0.94378249 0.         0.77062886 0.91953823]
 [1.         0.88229622 0.         0.783103   0.55498962]
 [0.77955256 0.12193259 0.7765454  1.         0.        ]
 [0.50325472 0.         0.27091124 1.         0.73292892]
 [1.         0.91810533 0.         0.42991845 0.08769728]]"
9,"[[1.         0.37299782 0.21682386 0.80650792 0.        ]
 [1.         0.80555352 0.78896948 0.         0.02373555]
 [0.3295484  1.         0.         0.29550362 0.83413435]
 [0.         1.         0.9306052  0.690335   0.94263424]
 [0.         0.60502329 0.27427224 0.25726592 1.        ]]"
10,"[[1.         0.4310499  0.78839335 0.49242803 0.        ]
 [1.         0.         0.8586428  0.33268135 0.83778734]
 [0.5023659  1.         0.69522962 0.48155409 0.        ]
 [1.         0.         0.06571515 0.98287834 0.94590379]
 [0.56227294 0.8640629  0.         1.         0.12439151]]"
11,"[[1.         0.96919323 0.78527684 0.         0.78438469]
 [1.         0.50058107 0.         0.24917634 0.15950699]
 [1.         0.9840097  0.         0.94191429 0.71646568]
 [1.         0.71234092 0.46227218 0.7914863  0.        ]
 [0.79909185 0.1974473  0.         0.22806482 1.        ]]"
12,"[[0.4818814  1.         0.18685218 0.         0.78681302]
 [0.80412442 0.9592343  0.         1.         0.36123147]
 [0.91921283 1.         0.         0.26627897 0.21657524]
 [0.24185046 1.         0.89033514 0.89000889 0.        ]
 [0.60463326 0.51814731 0.44636829 1.         0.        ]]"
13,"[[1.         0.84391233 0.01233756 0.37581428 0.        ]
 [0.48592644 0.03911869 1.         0.38561942 0.        ]
 [0.         0.75721298 0.92141771 0.2121253  1.        ]
 [1.         0.85500225 0.89891379 0.         0.8230718 ]
 [0.70919898 0.83681316 1.         0.42760852 0.        ]]"
14,"[[0.49105021 1.         0.         0.91875446 0.17091754]
 [0.80125267 0.78247734 0.20519346 0.         1.        ]
 [0.85564902 0.51324461 0.5041085  0.         1.        ]
 [1.         0.83496739 0.28056872 0.42793392 0.        ]
 [0.59031197 0.54066029 0.         1.         0.06408499]]"
15,"[[1.         0.97293421 0.60892978 0.         0.15942145]
 [1.         0.73140995 0.80673761 0.94091395 0.        ]
 [0.17433494 1.         0.43168923 0.         0.16887556]
 [0.         0.48304458 0.49955621 0.78968115 1.        ]
 [0.83223797 1.         0.         0.7442123  0.06990847]]"
16,"[[1.         0.71607003 0.59147021 0.61312506 0.        ]
 [0.29666505 0.0420316  1.         0.         0.08874428]
 [0.95825184 0.63721003 0.09563664 1.         0.        ]
 [0.66415628 0.96896291 0.         0.91668557 1.        ]
 [0.22051069 1.         0.52822261 0.         0.08751202]]"
17,"[[0.20432424 1.         0.37938847 0.         0.29024894]
 [0.48602488 1.         0.         0.56242249 0.30837346]
 [0.         0.49041666 0.126709   1.         0.25324547]
 [0.         1.         0.9797668  0.69355603 0.60332794]
 [1.         0.71457031 0.         0.97131813 0.92422389]]"
18,"[[0.03292302 0.         0.45566103 0.28041173 1.        ]
 [0.56723409 1.         0.97930572 0.         0.5050192 ]
 [1.         0.         0.2471924  0.04451669 0.2980015 ]
 [1.         0.91875928 0.07573334 0.06567992 0.        ]
 [0.59265687 0.44367831 1.         0.         0.86036569]]"
19,"[[0.95892952 0.         0.43838627 0.00319881 1.        ]
 [0.27067537 0.71340383 0.         0.04960432 1.        ]
 [0.9422487  0.89161012 1.         0.73374994 0.        ]
 [1.         0.         0.72332852 0.56095448 0.70116202]
 [0.73398718 0.         0.05286607 1.         0.63386688]]"
20,"[[0.98331733 0.71862138 1.         0.48219116 0.        ]
 [0.01759203 0.         1.         0.54956857 0.37410008]
 [1.         0.23795827 0.93318411 0.35339889 0.        ]
 [0.69021152 1.         0.47801803 0.60752429 0.        ]
 [0.06535791 0.16516293 0.         1.         0.83935521]]"
21,"[[0.71366481 1.         0.         0.41959058 0.29240362]
 [0.33392671 0.         1.         0.77897006 0.20516955]
 [1.         0.33681869 0.         0.92839723 0.10353224]
 [1.         0.         0.81245367 0.96299548 0.58318547]
 [0.09774247 0.         0.98699268 1.         0.32623858]]"
22,"[[1.         0.85236109 0.65699983 0.10063348 0.        ]
 [1.         0.70746984 0.02691175 0.         0.68832553]
 [0.         0.87085329 0.06633174 1.         0.74492556]
 [0.85830904 1.         0.         0.31520153 0.39163585]
 [0.35479605 0.8991135  1.         0.91563822 0.        ]]"
23,"[[0.         0.17605509 1.         0.78896263 0.62119407]
 [0.74063081 1.         0.         0.44864429 0.93485591]
 [0.7421329  1.         0.94242845 0.         0.72917141]
 [1.         0.15061521 0.65474766 0.         0.79166241]
 [0.49526831 0.98358312 1.         0.35092632 0.        ]]"
24,"[[0.41100057 0.         1.         0.35327092 0.01647191]
 [0.56739932 0.28632051 0.25905942 0.         1.        ]
 [1.         0.         0.17264574 0.89975605 0.53257585]
 [1.         0.90441531 0.         0.79463033 0.79213683]
 [0.67784396 0.9992881  0.46494832 1.         0.        ]]"
25,"[[0.         0.74027243 0.50891367 1.         0.27849906]
 [0.60236456 0.30820473 0.11398751 0.         1.        ]
 [1.         0.         0.87209846 0.71940677 0.39182046]
 [0.3849236  0.7589352  0.45716706 1.         0.        ]
 [1.         0.         0.90032251 0.42531559 0.7166956 ]]"
26,"[[0.49903743 1.         0.89736457 0.5372251  0.        ]
 [1.         0.53529431 0.         0.96022203 0.00105047]
 [0.0936592  1.         0.96727624 0.         0.44610947]
 [0.         0.21332455 0.73038755 1.         0.35212001]
 [0.         1.         0.91128542 0.67815583 0.36223297]]"
27,"[[0.75884349 0.90643404 0.2241099  1.         0.        ]
 [0.         1.         0.84411678 0.6343241  0.69149623]
 [0.82494578 1.         0.73812387 0.55551472 0.        ]
 [0.1012505  0.44348225 0.         0.44997877 1.        ]
 [0.71693462 0.03013142 0.         0.68427267 1.        ]]"
28,"[[0.52285149 1.         0.47491854 0.27916328 0.        ]
 [1.         0.98891472 0.         0.46221291 0.2775207 ]
 [1.         0.35554374 0.00969626 0.         0.87693911]
 [0.         0.72435739 1.         0.02387389 0.44923031]
 [0.86572672 1.         0.22233175 0.21395981 0.        ]]"
29,"[[0.48538501 1.         0.257665   0.         0.04315116]
 [1.         0.3320152  0.64682202 0.         0.78613197]
 [0.13043313 0.28411799 0.         1.         0.98430146]
 [0.30870331 0.6446492  1.         0.14998086 0.        ]
 [0.         0.27158164 1.         0.81151709 0.41131642]]"
30,"[[0.31304775 0.07780986 0.96102615 0.         1.        ]
 [1.         0.54641408 0.         0.53025581 0.70560804]
 [1.         0.57091425 0.75579238 0.         0.96823066]
 [1.         0.87202759 0.13634915 0.81769312 0.        ]
 [0.47398491 1.         0.         0.07302257 0.00127739]]"
31,"[[0.         1.         0.86918237 0.24044249 0.4114695 ]
 [0.91299575 0.21375697 0.93983069 1.         0.        ]
 [1.         0.80344231 0.9379278  0.         0.53279643]
 [0.65723998 1.         0.21931469 0.42400194 0.        ]
 [0.53223452 0.34772438 0.53321808 1.         0.        ]]"
32,"[[1.         0.32554372 0.         0.94948838 0.15512837]
 [0.18069313 0.         0.81096084 1.         0.37447607]
 [1.         0.84173473 0.         0.83694465 0.13987155]
 [0.00720987 1.         0.26538589 0.         0.63281367]
 [0.96614727 1.         0.58651647 0.99954825 0.        ]]"
33,"[[1.         0.98803233 0.62610932 0.1478473  0.        ]
 [0.50518642 0.9508663  0.         0.58657801 1.        ]
 [0.23691714 0.09217641 1.         0.         0.98300193]
 [1.         0.20748248 0.         0.56260714 0.58422566]
 [0.51871056 0.05641878 0.77993083 0.         1.        ]]"
34,"[[1.         0.82238337 0.50559556 0.92495297 0.        ]
 [1.         0.24526011 0.         0.74515851 0.41619911]
 [0.64126252 0.         0.70938488 1.         0.85099013]
 [1.         0.78699332 0.10294009 0.66480347 0.        ]
 [1.         0.73719035 0.09512679 0.16842268 0.        ]]"
