,id,val_index,size,valuation,algo,distortion
0,1,1,5,theta0.2unitrange,serial_dictatorship,2.45920879282533
1,2,1,5,theta0.2unitrange,ttc_matching,1.281058602979981
2,3,1,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0000000000000002
3,4,1,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0000000000000002
4,5,1,5,theta0.2unitrange,modified_max_matching,2.45920879282533
5,6,2,5,theta0.2unitrange,serial_dictatorship,2.191283524083313
6,7,2,5,theta0.2unitrange,ttc_matching,1.1689812791352567
7,8,2,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0000000000000002
8,9,2,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0000000000000002
9,10,2,5,theta0.2unitrange,modified_max_matching,2.191283524083313
10,11,3,5,theta0.2unitrange,serial_dictatorship,2.446062399146246
11,12,3,5,theta0.2unitrange,ttc_matching,1.0022693152470652
12,13,3,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
13,14,3,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
14,15,3,5,theta0.2unitrange,modified_max_matching,2.446062399146246
15,16,4,5,theta0.2unitrange,serial_dictatorship,1.3990354831822058
16,17,4,5,theta0.2unitrange,ttc_matching,1.2859595247836366
17,18,4,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
18,19,4,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
19,20,4,5,theta0.2unitrange,modified_max_matching,1.3990354831822058
20,21,5,5,theta0.2unitrange,serial_dictatorship,1.3752868359929886
21,22,5,5,theta0.2unitrange,ttc_matching,1.0379119115558901
22,23,5,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0000000000000002
23,24,5,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0000000000000002
24,25,5,5,theta0.2unitrange,modified_max_matching,1.3752868359929886
25,26,6,5,theta0.2unitrange,serial_dictatorship,2.027769940877619
26,27,6,5,theta0.2unitrange,ttc_matching,1.0927862917564242
27,28,6,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
28,29,6,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
29,30,6,5,theta0.2unitrange,modified_max_matching,2.027769940877619
30,31,7,5,theta0.2unitrange,serial_dictatorship,1.3149182377527093
31,32,7,5,theta0.2unitrange,ttc_matching,1.3149182377527093
32,33,7,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
33,34,7,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
34,35,7,5,theta0.2unitrange,modified_max_matching,1.3149182377527093
35,36,8,5,theta0.2unitrange,serial_dictatorship,1.282525530221609
36,37,8,5,theta0.2unitrange,ttc_matching,1.282525530221609
37,38,8,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0120018623437346
38,39,8,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,0.9999999999999998
39,40,8,5,theta0.2unitrange,modified_max_matching,1.282525530221609
40,41,9,5,theta0.2unitrange,serial_dictatorship,1.42380282098131
41,42,9,5,theta0.2unitrange,ttc_matching,1.2094414975084011
42,43,9,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
43,44,9,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
44,45,9,5,theta0.2unitrange,modified_max_matching,1.42380282098131
45,46,10,5,theta0.2unitrange,serial_dictatorship,1.7932647870678309
46,47,10,5,theta0.2unitrange,ttc_matching,1.3952534818816642
47,48,10,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
48,49,10,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
49,50,10,5,theta0.2unitrange,modified_max_matching,1.7932647870678309
50,51,11,5,theta0.2unitrange,serial_dictatorship,1.0230643322328572
51,52,11,5,theta0.2unitrange,ttc_matching,1.0230643322328572
52,53,11,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
53,54,11,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
54,55,11,5,theta0.2unitrange,modified_max_matching,1.0230643322328572
55,56,12,5,theta0.2unitrange,serial_dictatorship,2.049137798465735
56,57,12,5,theta0.2unitrange,ttc_matching,1.2982980494534815
57,58,12,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
58,59,12,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
59,60,12,5,theta0.2unitrange,modified_max_matching,2.049137798465735
60,61,13,5,theta0.2unitrange,serial_dictatorship,1.6649093224890001
61,62,13,5,theta0.2unitrange,ttc_matching,1.0405856056317035
62,63,13,5,theta0.2unitrange,epsilon_max_matching rank_maximal1,1.0
63,64,13,5,theta0.2unitrange,epsilon_max_matching rank_maximal0.1,1.0
64,65,13,5,theta0.2unitrange,modified_max_matching,1.6649093224890001
65,66,14,5,theta0.2unitrange,serial_dictatorship,2.4293992953870243
