,0
1,"[[0.66450989 1.         0.72213114 0.01286317 0.        ]
 [0.77984083 0.         0.01630564 1.         0.46499092]
 [0.26649456 0.         0.52290332 0.8032956  1.        ]
 [1.         0.82702903 0.72679639 0.         0.06385442]
 [1.         0.38951515 0.         0.65551002 0.71791843]]"
2,"[[0.84771047 0.         0.72593206 0.7430819  1.        ]
 [1.         0.05578221 0.59487295 0.         0.75889347]
 [0.93394801 0.9875737  0.55814935 1.         0.        ]
 [0.62248477 0.3065126  1.         0.         0.49317567]
 [1.         0.16150063 0.48831936 0.68795244 0.        ]]"
3,"[[0.79649846 1.         0.         0.62958539 0.98145083]
 [0.50222176 0.487067   0.46857863 1.         0.        ]
 [1.         0.63090587 0.58581088 0.28492273 0.        ]
 [0.43143032 0.62699868 1.         0.         0.72000578]
 [0.5154829  0.         1.         0.45124804 0.1669843 ]]"
4,"[[1.         0.90213714 0.47201364 0.         0.95916202]
 [0.         1.         0.1551513  0.53456812 0.33511247]
 [1.         0.74808746 0.         0.69781216 0.07453192]
 [0.31374131 1.         0.         0.79741863 0.05813147]
 [1.         0.1625445  0.76304867 0.10883723 0.        ]]"
5,"[[1.         0.85670207 0.90255651 0.65287123 0.        ]
 [0.14241506 0.9216526  0.         0.56531977 1.        ]
 [0.39258648 0.76413228 1.         0.28691419 0.        ]
 [1.         0.57277308 0.83090296 0.         0.59515453]
 [0.60880745 0.04075743 1.         0.6474142  0.        ]]"
6,"[[0.         0.43934187 0.40645247 0.66330262 1.        ]
 [1.         0.52432882 0.06973654 0.         0.43036463]
 [0.73341365 1.         0.1901144  0.04562409 0.        ]
 [0.95469493 0.         1.         0.20342506 0.70746102]
 [0.75657105 0.57123056 1.         0.81394119 0.        ]]"
7,"[[0.59115716 0.10559686 1.         0.34019136 0.        ]
 [0.         1.         0.36753655 0.86978409 0.1386479 ]
 [0.         1.         0.68691084 0.0668422  0.05504116]
 [1.         0.32478356 0.35246279 0.         0.49054385]
 [1.         0.34626826 0.70581319 0.         0.45418655]]"
8,"[[1.         0.9481821  0.         0.26489583 0.66951102]
 [1.         0.84682886 0.         0.5362329  0.13849995]
 [0.81059619 0.0973862  0.75905422 1.         0.        ]
 [0.88035799 0.         0.4567881  1.         0.90961989]
 [1.         0.72404936 0.         0.20321714 0.01954376]]"
9,"[[1.         0.66479376 0.64035901 0.90304352 0.        ]
 [1.         0.37247491 0.23017367 0.         0.04566642]
 [0.59440366 1.         0.         0.36647758 0.89646374]
 [0.         1.         0.39041118 0.27374607 0.94136938]
 [0.         0.98792284 0.43476215 0.15203858 1.        ]]"
10,"[[1.         0.07369148 0.69179084 0.45545865 0.        ]
 [1.         0.         0.74381763 0.55734038 0.73988342]
 [0.40165917 1.         0.95471235 0.27012586 0.        ]
 [1.         0.         0.30806354 0.54787185 0.47187053]
 [0.06641773 0.10448202 0.         1.         0.04114532]]"
11,"[[1.         0.32993711 0.29137868 0.         0.206723  ]
 [1.         0.91605001 0.         0.37315192 0.02345583]
 [1.         0.60118948 0.         0.33587016 0.25074285]
 [1.         0.53321918 0.33731085 0.60628452 0.        ]
 [0.8930636  0.01580128 0.         0.27230212 1.        ]]"
12,"[[0.40315897 1.         0.05450851 0.         0.65939297]
 [0.88986876 0.90864879 0.         1.         0.85513025]
 [0.65183883 1.         0.         0.53243977 0.30407882]
 [0.48225203 1.         0.95628162 0.89711481 0.        ]
 [0.5949624  0.42275415 0.20377791 1.         0.        ]]"
13,"[[1.         0.68519149 0.11795854 0.30361686 0.        ]
 [0.40533844 0.15672851 1.         0.27902433 0.        ]
 [0.         0.3452963  0.69479956 0.1870795  1.        ]
 [1.         0.28662526 0.62236862 0.         0.16947234]
 [0.65003115 0.89344221 1.         0.07801689 0.        ]]"
14,"[[0.56200771 1.         0.         0.7385676  0.48660696]
 [0.74919687 0.62955424 0.04875209 0.         1.        ]
 [0.60602258 0.20175513 0.02897993 0.         1.        ]
 [1.         0.40157092 0.25250219 0.32245334 0.        ]
 [0.98568355 0.80270244 0.         1.         0.59120702]]"
15,"[[1.         0.79039011 0.78542269 0.         0.46798331]
 [1.         0.03619357 0.04524933 0.77108755 0.        ]
 [0.54115876 1.         0.5603951  0.         0.482877  ]
 [0.         0.03599354 0.1648395  0.50137461 1.        ]
 [0.67422905 1.         0.         0.56680946 0.16602133]]"
16,"[[1.         0.89726275 0.00304393 0.80858985 0.        ]
 [0.84178051 0.13661254 1.         0.         0.74329588]
 [0.69072876 0.08247516 0.05578453 1.         0.        ]
 [0.42332579 0.95027245 0.         0.6996087  1.        ]
 [0.61948187 1.         0.82305768 0.         0.56035925]]"
17,"[[0.41055962 1.         0.67476626 0.         0.58409556]
 [0.47522792 1.         0.         0.51527308 0.23411488]
 [0.         0.9487952  0.36716407 1.         0.41780379]
 [0.         1.         0.86583975 0.72577368 0.24961943]
 [1.         0.03207519 0.         0.9073569  0.21793704]]"
18,"[[0.26019906 0.         0.92007278 0.62859055 1.        ]
 [0.66366249 1.         0.94606777 0.         0.04546098]
 [1.         0.         0.67333627 0.30858521 0.94490898]
 [1.         0.96758326 0.45076386 0.21869841 0.        ]
 [0.31597762 0.24481203 1.         0.         0.90355463]]"
19,"[[0.95635127 0.         0.45500022 0.37365276 1.        ]
 [0.7485921  0.86959035 0.         0.12965715 1.        ]
 [0.48461986 0.11469475 1.         0.04652915 0.        ]
 [1.         0.         0.25230317 0.02500283 0.17176781]
 [0.8578437  0.         0.24399419 1.         0.24491878]]"
20,"[[0.66667049 0.4677488  1.         0.32466792 0.        ]
 [0.30026247 0.         1.         0.82617094 0.31046538]
 [1.         0.14823986 0.41238505 0.21795388 0.        ]
 [0.73989744 1.         0.36577134 0.60003383 0.        ]
 [0.08092652 0.2314134  0.         1.         0.84630038]]"
21,"[[0.34654387 1.         0.         0.24468532 0.04738409]
 [0.52285849 0.         1.         0.55282553 0.3602988 ]
 [1.         0.7800272  0.         0.82537772 0.1145371 ]
 [1.         0.         0.63442717 0.79087695 0.27562904]
 [0.1209962  0.         0.95568062 1.         0.18524728]]"
22,"[[1.         0.65520716 0.60154301 0.2461767  0.        ]
 [1.         0.81807961 0.34121668 0.         0.66080993]
 [0.         0.87209541 0.00656645 1.         0.59813582]
 [0.75360229 1.         0.         0.26773418 0.71935446]
 [0.61074849 0.61120612 1.         0.94107605 0.        ]]"
23,"[[0.         0.0829278  1.         0.69365339 0.32963089]
 [0.3541083  1.         0.         0.3097686  0.38849336]
 [0.77583985 1.         0.79509873 0.         0.08139039]
 [1.         0.3646412  0.43784069 0.         0.8114285 ]
 [0.15256965 0.17013378 1.         0.11054153 0.        ]]"
