,id,val_index,size,valuation,algo,distortion
0,1,1,5,theta0.2unitsum,serial_dictatorship,2.0174943763965687
1,2,1,5,theta0.2unitsum,ttc_matching,1.3298603639981041
2,3,1,5,theta0.2unitsum,epsilon_max_matching1,2.0174943763965687
3,4,1,5,theta0.2unitsum,epsilon_max_matching0.1,2.0174943763965687
4,5,1,5,theta0.2unitsum,updated_hybrid_max_matching,2.0174943763965687
5,6,2,5,theta0.2unitsum,serial_dictatorship,2.116173913328513
6,7,2,5,theta0.2unitsum,ttc_matching,1.1881033501676397
7,8,2,5,theta0.2unitsum,epsilon_max_matching1,2.116173913328513
8,9,2,5,theta0.2unitsum,epsilon_max_matching0.1,2.116173913328513
9,10,2,5,theta0.2unitsum,updated_hybrid_max_matching,2.116173913328513
10,11,3,5,theta0.2unitsum,serial_dictatorship,1.8903629226307472
11,12,3,5,theta0.2unitsum,ttc_matching,1.0000000000000002
12,13,3,5,theta0.2unitsum,epsilon_max_matching1,1.8903629226307472
13,14,3,5,theta0.2unitsum,epsilon_max_matching0.1,1.8903629226307472
14,15,3,5,theta0.2unitsum,updated_hybrid_max_matching,1.8903629226307472
15,16,4,5,theta0.2unitsum,serial_dictatorship,1.5788146168431487
16,17,4,5,theta0.2unitsum,ttc_matching,1.2350266767222187
17,18,4,5,theta0.2unitsum,epsilon_max_matching1,1.5788146168431487
18,19,4,5,theta0.2unitsum,epsilon_max_matching0.1,1.5788146168431487
19,20,4,5,theta0.2unitsum,updated_hybrid_max_matching,1.5788146168431487
20,21,5,5,theta0.2unitsum,serial_dictatorship,1.6608504740234706
21,22,5,5,theta0.2unitsum,ttc_matching,1.2800707006612266
22,23,5,5,theta0.2unitsum,epsilon_max_matching1,1.6608504740234706
23,24,5,5,theta0.2unitsum,epsilon_max_matching0.1,1.6608504740234706
24,25,5,5,theta0.2unitsum,updated_hybrid_max_matching,1.6608504740234706
25,26,6,5,theta0.2unitsum,serial_dictatorship,1.8831120777641475
26,27,6,5,theta0.2unitsum,ttc_matching,1.0999017725195441
27,28,6,5,theta0.2unitsum,epsilon_max_matching1,1.8831120777641475
28,29,6,5,theta0.2unitsum,epsilon_max_matching0.1,1.8831120777641475
29,30,6,5,theta0.2unitsum,updated_hybrid_max_matching,1.8831120777641475
30,31,7,5,theta0.2unitsum,serial_dictatorship,1.3396393111297271
31,32,7,5,theta0.2unitsum,ttc_matching,1.3396393111297271
32,33,7,5,theta0.2unitsum,epsilon_max_matching1,1.3396393111297271
33,34,7,5,theta0.2unitsum,epsilon_max_matching0.1,1.3396393111297271
34,35,7,5,theta0.2unitsum,updated_hybrid_max_matching,1.3396393111297271
35,36,8,5,theta0.2unitsum,serial_dictatorship,1.2646993183898336
36,37,8,5,theta0.2unitsum,ttc_matching,1.2646993183898336
37,38,8,5,theta0.2unitsum,epsilon_max_matching1,1.2646993183898338
38,39,8,5,theta0.2unitsum,epsilon_max_matching0.1,1.2646993183898338
39,40,8,5,theta0.2unitsum,updated_hybrid_max_matching,1.2646993183898338
40,41,9,5,theta0.2unitsum,serial_dictatorship,1.324960060128508
41,42,9,5,theta0.2unitsum,ttc_matching,1.2378590337565918
42,43,9,5,theta0.2unitsum,epsilon_max_matching1,1.324960060128508
43,44,9,5,theta0.2unitsum,epsilon_max_matching0.1,1.324960060128508
44,45,9,5,theta0.2unitsum,updated_hybrid_max_matching,1.324960060128508
45,46,10,5,theta0.2unitsum,serial_dictatorship,1.307700418475275
46,47,10,5,theta0.2unitsum,ttc_matching,1.1692723256138007
47,48,10,5,theta0.2unitsum,epsilon_max_matching1,1.307700418475275
48,49,10,5,theta0.2unitsum,epsilon_max_matching0.1,1.307700418475275
49,50,10,5,theta0.2unitsum,updated_hybrid_max_matching,1.307700418475275
50,51,11,5,theta0.2unitsum,serial_dictatorship,1.3219988444828576
51,52,11,5,theta0.2unitsum,ttc_matching,1.3219988444828576
52,53,11,5,theta0.2unitsum,epsilon_max_matching1,1.3219988444828576
53,54,11,5,theta0.2unitsum,epsilon_max_matching0.1,1.3219988444828576
54,55,11,5,theta0.2unitsum,updated_hybrid_max_matching,1.3219988444828576
55,56,12,5,theta0.2unitsum,serial_dictatorship,1.8587719430302925
56,57,12,5,theta0.2unitsum,ttc_matching,1.0026653800692602
