,id,val_index,size,valuation,algo,distortion
0,1,1,5.0,theta0.2unitsum,serial_dictatorship,2.4468989484029833
1,2,1,5.0,theta0.2unitsum,ttc_matching,1.2174167956025257
2,3,1,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
3,4,1,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
4,5,1,,theta0.2unitsum,twothirds_max_matching fair,1.0
5,6,2,5.0,theta0.2unitsum,serial_dictatorship,2.7094300397011613
6,7,2,5.0,theta0.2unitsum,ttc_matching,1.108299433889737
7,8,2,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
8,9,2,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
9,10,2,,theta0.2unitsum,twothirds_max_matching fair,1.0
10,11,3,5.0,theta0.2unitsum,serial_dictatorship,1.7151911527955097
11,12,3,5.0,theta0.2unitsum,ttc_matching,1.0000000000000002
12,13,3,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
13,14,3,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
14,15,3,,theta0.2unitsum,twothirds_max_matching fair,1.0
15,16,4,5.0,theta0.2unitsum,serial_dictatorship,1.270901820124159
16,17,4,5.0,theta0.2unitsum,ttc_matching,1.0401015649262961
17,18,4,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.002314925820624
18,19,4,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.002314925820624
19,20,4,,theta0.2unitsum,twothirds_max_matching fair,1.002314925820624
20,21,5,5.0,theta0.2unitsum,serial_dictatorship,1.5923639080575536
21,22,5,5.0,theta0.2unitsum,ttc_matching,1.1265801985282107
22,23,5,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0000000000000002
23,24,5,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0000000000000002
24,25,5,,theta0.2unitsum,twothirds_max_matching fair,1.0
25,26,6,5.0,theta0.2unitsum,serial_dictatorship,2.864002969367154
26,27,6,5.0,theta0.2unitsum,ttc_matching,1.1795144549812155
27,28,6,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
28,29,6,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
29,30,6,,theta0.2unitsum,twothirds_max_matching fair,1.0
30,31,7,5.0,theta0.2unitsum,serial_dictatorship,1.6667634709745809
31,32,7,5.0,theta0.2unitsum,ttc_matching,1.6667634709745809
32,33,7,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
33,34,7,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
34,35,7,,theta0.2unitsum,twothirds_max_matching fair,1.0
35,36,8,5.0,theta0.2unitsum,serial_dictatorship,1.1455761447405437
36,37,8,5.0,theta0.2unitsum,ttc_matching,1.1455761447405437
37,38,8,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.049260993751968
38,39,8,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
39,40,8,,theta0.2unitsum,twothirds_max_matching fair,1.0
40,41,9,5.0,theta0.2unitsum,serial_dictatorship,1.9573469978638047
41,42,9,5.0,theta0.2unitsum,ttc_matching,1.3006461066965278
42,43,9,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
43,44,9,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
44,45,9,,theta0.2unitsum,twothirds_max_matching fair,1.0
45,46,10,5.0,theta0.2unitsum,serial_dictatorship,1.6012608479879458
46,47,10,5.0,theta0.2unitsum,ttc_matching,1.1935777027338828
47,48,10,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
48,49,10,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
49,50,10,,theta0.2unitsum,twothirds_max_matching fair,1.0
50,51,11,5.0,theta0.2unitsum,serial_dictatorship,1.2256989228069266
51,52,11,5.0,theta0.2unitsum,ttc_matching,1.2256989228069266
52,53,11,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0422281393828736
53,54,11,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,0.9999999999999999
54,55,11,,theta0.2unitsum,twothirds_max_matching fair,1.0
55,56,12,5.0,theta0.2unitsum,serial_dictatorship,2.0923036591266766
56,57,12,5.0,theta0.2unitsum,ttc_matching,1.0327984477620111
57,58,12,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
58,59,12,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
59,60,12,,theta0.2unitsum,twothirds_max_matching fair,1.0
60,61,13,5.0,theta0.2unitsum,serial_dictatorship,1.573654166950887
61,62,13,5.0,theta0.2unitsum,ttc_matching,1.024951713588121
62,63,13,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
63,64,13,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
64,65,13,,theta0.2unitsum,twothirds_max_matching fair,1.0
65,66,14,5.0,theta0.2unitsum,serial_dictatorship,1.8340768022712393
66,67,14,5.0,theta0.2unitsum,ttc_matching,0.9999999999999999
67,68,14,5.0,theta0.2unitsum,epsilon_max_matching fair1,0.9999999999999999
68,69,14,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,0.9999999999999999
69,70,14,,theta0.2unitsum,twothirds_max_matching fair,1.0368874155810344
70,71,15,5.0,theta0.2unitsum,serial_dictatorship,1.5335982011506566
71,72,15,5.0,theta0.2unitsum,ttc_matching,1.0
72,73,15,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
73,74,15,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
74,75,15,,theta0.2unitsum,twothirds_max_matching fair,1.0
75,76,16,5.0,theta0.2unitsum,serial_dictatorship,1.729801995833218
76,77,16,5.0,theta0.2unitsum,ttc_matching,1.0
77,78,16,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
78,79,16,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
79,80,16,,theta0.2unitsum,twothirds_max_matching fair,1.0
80,81,17,5.0,theta0.2unitsum,serial_dictatorship,1.8682951834706947
81,82,17,5.0,theta0.2unitsum,ttc_matching,1.2530107291564543
82,83,17,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
83,84,17,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
84,85,17,,theta0.2unitsum,twothirds_max_matching fair,1.0
85,86,18,5.0,theta0.2unitsum,serial_dictatorship,1.5623328777499255
86,87,18,5.0,theta0.2unitsum,ttc_matching,1.1384942493814618
87,88,18,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
88,89,18,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
89,90,18,,theta0.2unitsum,twothirds_max_matching fair,1.0
90,91,19,5.0,theta0.2unitsum,serial_dictatorship,1.7118858020267915
91,92,19,5.0,theta0.2unitsum,ttc_matching,1.0
92,93,19,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
93,94,19,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
94,95,19,,theta0.2unitsum,twothirds_max_matching fair,1.0
95,96,20,5.0,theta0.2unitsum,serial_dictatorship,1.6294586441400463
96,97,20,5.0,theta0.2unitsum,ttc_matching,1.0
97,98,20,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
98,99,20,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
99,100,20,,theta0.2unitsum,twothirds_max_matching fair,1.0
100,101,21,5.0,theta0.2unitsum,serial_dictatorship,1.7906918912201992
101,102,21,5.0,theta0.2unitsum,ttc_matching,1.2823310273207469
102,103,21,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
103,104,21,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
104,105,21,,theta0.2unitsum,twothirds_max_matching fair,1.1196034983642478
105,106,22,5.0,theta0.2unitsum,serial_dictatorship,1.6141517179650058
106,107,22,5.0,theta0.2unitsum,ttc_matching,1.0159713292237769
107,108,22,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
108,109,22,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
109,110,22,,theta0.2unitsum,twothirds_max_matching fair,1.0
110,111,23,5.0,theta0.2unitsum,serial_dictatorship,1.3602900427855733
111,112,23,5.0,theta0.2unitsum,ttc_matching,1.131481504950024
112,113,23,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
113,114,23,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
114,115,23,,theta0.2unitsum,twothirds_max_matching fair,1.0
115,116,24,5.0,theta0.2unitsum,serial_dictatorship,1.7383070034257913
116,117,24,5.0,theta0.2unitsum,ttc_matching,1.0
117,118,24,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
118,119,24,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
119,120,24,,theta0.2unitsum,twothirds_max_matching fair,1.0
120,121,25,5.0,theta0.2unitsum,serial_dictatorship,2.0865300615457274
121,122,25,5.0,theta0.2unitsum,ttc_matching,1.112231115371936
122,123,25,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0000000000000002
123,124,25,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0000000000000002
124,125,25,,theta0.2unitsum,twothirds_max_matching fair,1.1829106123343267
125,126,26,5.0,theta0.2unitsum,serial_dictatorship,1.4135346778973108
126,127,26,5.0,theta0.2unitsum,ttc_matching,1.0587093662190534
127,128,26,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
128,129,26,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
129,130,26,,theta0.2unitsum,twothirds_max_matching fair,1.0099367177562595
130,131,27,5.0,theta0.2unitsum,serial_dictatorship,1.227696167211917
131,132,27,5.0,theta0.2unitsum,ttc_matching,1.227696167211917
132,133,27,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
133,134,27,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
134,135,27,,theta0.2unitsum,twothirds_max_matching fair,0.9999999999999999
135,136,28,5.0,theta0.2unitsum,serial_dictatorship,1.6409022571133587
136,137,28,5.0,theta0.2unitsum,ttc_matching,1.1351476618180683
137,138,28,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0093495162481174
138,139,28,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,0.9999999999999999
139,140,28,,theta0.2unitsum,twothirds_max_matching fair,1.0093495162481174
140,141,29,5.0,theta0.2unitsum,serial_dictatorship,2.685101214066119
141,142,29,5.0,theta0.2unitsum,ttc_matching,0.9999999999999999
142,143,29,5.0,theta0.2unitsum,epsilon_max_matching fair1,0.9999999999999998
143,144,29,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,0.9999999999999998
144,145,29,,theta0.2unitsum,twothirds_max_matching fair,1.0
145,146,30,5.0,theta0.2unitsum,serial_dictatorship,1.9323104275231844
146,147,30,5.0,theta0.2unitsum,ttc_matching,1.0266955425440978
147,148,30,5.0,theta0.2unitsum,epsilon_max_matching fair1,1.0
148,149,30,5.0,theta0.2unitsum,epsilon_max_matching fair0.1,1.0
