,0
1,"[[0.19329547 0.27713425 0.26114368 0.18657399 0.08185261]
 [0.34169074 0.02481434 0.12548509 0.35447129 0.15353854]
 [0.01585034 0.00886114 0.15572266 0.34608497 0.47348089]
 [0.31908789 0.29208764 0.27859769 0.05423931 0.05598747]
 [0.25986721 0.15325693 0.15162146 0.19163873 0.24361567]]"
2,"[[0.26583066 0.05065714 0.11981324 0.23532975 0.3283692 ]
 [0.38119745 0.11385751 0.14133215 0.03843565 0.32517724]
 [0.24369563 0.24563563 0.18638813 0.2562944  0.06798621]
 [0.21488448 0.10412457 0.42356799 0.05010022 0.20732274]
 [0.40502917 0.06345554 0.20928606 0.31373405 0.00849519]]"
3,"[[0.23183976 0.36219267 0.03067081 0.09934506 0.2759517 ]
 [0.20794008 0.19393016 0.12968535 0.34179571 0.12664869]
 [0.23456642 0.23264234 0.23002404 0.20104228 0.10172492]
 [0.05201326 0.259823   0.37438246 0.03083719 0.28294409]
 [0.24395695 0.10322932 0.25644414 0.20728225 0.18908733]]"
4,"[[0.46846869 0.20811774 0.08996966 0.01096044 0.22248348]
 [0.0144392  0.31259213 0.14204863 0.28079131 0.25012873]
 [0.2994854  0.28056821 0.04191242 0.21794822 0.16008575]
 [0.18033059 0.28721089 0.1327114  0.25230755 0.14743956]
 [0.37942461 0.14554174 0.2533488  0.11290725 0.1087776 ]]"
5,"[[0.28179979 0.17911511 0.25840828 0.14337468 0.13730215]
 [0.10153768 0.24407576 0.03740394 0.2410902  0.37589242]
 [0.21824446 0.25371376 0.26793427 0.13913066 0.12097684]
 [0.28241894 0.13735637 0.25527515 0.11405224 0.21089729]
 [0.20401063 0.14103235 0.33198037 0.30455205 0.0184246 ]]"
6,"[[0.08561354 0.23392982 0.19072605 0.24120392 0.24852667]
 [0.50297113 0.2187561  0.0953884  0.00706339 0.17582097]
 [0.24170342 0.29963189 0.19739616 0.17403896 0.08722957]
 [0.28923081 0.04189813 0.36714241 0.09681357 0.20491508]
 [0.27652697 0.11570275 0.30788353 0.29889664 0.0009901 ]]"
7,"[[0.18416853 0.12877091 0.41474398 0.14507491 0.12724168]
 [0.0494901  0.37927402 0.20031161 0.29390585 0.07701842]
 [0.02435052 0.33346791 0.25805657 0.24403102 0.14009399]
 [0.3806482  0.07289786 0.25902804 0.02363599 0.2637899 ]
 [0.39377434 0.07471592 0.28591717 0.07097773 0.17461484]]"
8,"[[0.28408716 0.25625808 0.08982935 0.18161665 0.18820877]
 [0.34526049 0.28598501 0.02160125 0.17473939 0.17241386]
 [0.3006293  0.16424335 0.20303489 0.31760018 0.01449227]
 [0.19000352 0.12728365 0.16009963 0.29326822 0.22934499]
 [0.35913519 0.23743578 0.09119165 0.21794595 0.09429142]]"
9,"[[0.23624758 0.1829232  0.17815798 0.23188181 0.17078944]
 [0.34159148 0.23963289 0.2368694  0.06369453 0.1182117 ]
 [0.22349729 0.28728094 0.01194272 0.21042557 0.26685348]
 [0.00167758 0.4239728  0.22172536 0.0271513  0.32547296]
 [0.05497656 0.26033366 0.25945427 0.16173084 0.26350467]]"
10,"[[0.33877248 0.11332207 0.26473471 0.2063904  0.07678033]
 [0.28177917 0.05253318 0.23118544 0.21636067 0.21814154]
 [0.21486251 0.42067804 0.26381455 0.08738121 0.01326369]
 [0.33636308 0.02446962 0.15561486 0.25058584 0.2329666 ]
 [0.25120571 0.32539719 0.01382134 0.33298925 0.07658651]]"
11,"[[0.32745124 0.31022453 0.15693259 0.05272156 0.15267008]
 [0.39903111 0.31214326 0.00304407 0.17428147 0.11150008]
 [0.30892769 0.28476301 0.0040311  0.24017393 0.16210427]
 [0.57409212 0.04223616 0.02501212 0.33480544 0.02385416]
 [0.23416706 0.18183282 0.01863503 0.19283328 0.37253182]]"
12,"[[0.18351213 0.28573795 0.15147767 0.15059478 0.22867746]
 [0.1723535  0.26690865 0.1085405  0.31184314 0.14035421]
 [0.23423111 0.32950597 0.05917475 0.19262131 0.18446686]
 [0.10271932 0.5781529  0.13836174 0.10845661 0.07230943]
 [0.28845002 0.18506292 0.12859908 0.29214911 0.10573887]]"
13,"[[0.50312607 0.25846252 0.09122815 0.10536392 0.04181935]
 [0.21694581 0.12214357 0.36028457 0.20408234 0.09654371]
 [0.08942249 0.21845725 0.27396072 0.12910773 0.2890518 ]
 [0.28106487 0.23794907 0.27106944 0.09717997 0.11273665]
 [0.21212656 0.27530557 0.31032735 0.19266396 0.00957656]]"
14,"[[0.21827118 0.30162585 0.0117357  0.29780194 0.17056533]
 [0.29864021 0.20566971 0.16879691 0.00951898 0.3173742 ]
 [0.25182453 0.22988086 0.16816294 0.08920697 0.2609247 ]
 [0.47182889 0.31239271 0.07519531 0.10474463 0.03583846]
 [0.27623456 0.18118846 0.07402685 0.30995583 0.15859429]]"
15,"[[0.44195296 0.18802329 0.14732849 0.08221048 0.14048478]
 [0.44789929 0.02838372 0.088709   0.4138384  0.02116959]
 [0.23037673 0.2610137  0.25792131 0.02227281 0.22841545]
 [0.16130153 0.16299691 0.1662795  0.24970139 0.25972067]
 [0.28429785 0.34159542 0.02736774 0.20639454 0.14034445]]"
16,"[[0.29324275 0.2527593  0.14369839 0.21505713 0.09524243]
 [0.20973359 0.16090037 0.38744951 0.07477188 0.16714465]
 [0.2627463  0.13346203 0.10891422 0.41571488 0.07916257]
 [0.12703781 0.25348284 0.11676005 0.23903915 0.26368015]
 [0.2543135  0.30645538 0.26932259 0.0085753  0.16133324]]"
17,"[[0.09464127 0.57981147 0.13433805 0.07998512 0.11122409]
 [0.23392957 0.32518817 0.000689   0.25292771 0.18726555]
 [0.10084493 0.25166871 0.11233348 0.29434738 0.24080549]
 [0.03556455 0.39235705 0.28052037 0.18311508 0.10844296]
 [0.34354406 0.10575126 0.09476894 0.26257301 0.19336273]]"
18,"[[0.10453343 0.0745031  0.27757435 0.26326248 0.28012665]
 [0.22751211 0.25553209 0.25466019 0.03861726 0.22367835]
 [0.28947703 0.03126935 0.25258244 0.1516666  0.27500458]
 [0.33979465 0.30778589 0.22954048 0.11974877 0.0031302 ]
 [0.24777198 0.0454878  0.41769381 0.02851287 0.26053354]]"
19,"[[0.19950795 0.00421878 0.13406743 0.12483424 0.53737161]
 [0.23874114 0.25129538 0.02554279 0.20196052 0.28246017]
 [0.20444782 0.20388987 0.22427779 0.19802028 0.16936424]
 [0.42041064 0.02543526 0.25097096 0.06830507 0.23487808]
 [0.26163168 0.02038161 0.18715749 0.27580654 0.25502267]]"
20,"[[0.24273964 0.14234631 0.39723131 0.12756137 0.09012137]
 [0.11995507 0.09025351 0.35572829 0.27235235 0.16171078]
 [0.33946225 0.1421448  0.2567574  0.20634044 0.05529511]
 [0.33937992 0.41194914 0.05492337 0.18167612 0.01207145]
 [0.10214957 0.25045831 0.066512   0.32035909 0.26052102]]"
21,"[[0.3218461  0.39342542 0.08661785 0.10805913 0.09005149]
 [0.19953709 0.09082024 0.27827802 0.24223658 0.18912807]
 [0.25378065 0.21370404 0.14155881 0.22795318 0.16300332]
 [0.433906   0.07545232 0.12919991 0.25166672 0.10977505]
 [0.11040112 0.03432613 0.31631142 0.40835929 0.13060203]]"
22,"[[0.35042281 0.31476011 0.17385114 0.08681294 0.07415301]
 [0.34449348 0.28349361 0.07155075 0.07066108 0.22980108]
 [0.12668308 0.23962241 0.14382727 0.3404557  0.14941154]
 [0.25572292 0.27244716 0.06795885 0.18977644 0.21409463]
 [0.13811054 0.19144168 0.39794898 0.24150505 0.03099375]]"
23,"[[0.14171084 0.17933698 0.26007559 0.22687431 0.19200228]
 [0.12757421 0.39231593 0.1105655  0.11229641 0.25724795]
 [0.19157482 0.33199478 0.29308954 0.00695434 0.17638651]
 [0.28016914 0.16315552 0.17931094 0.16055951 0.21680489]
 [0.23836231 0.2458946  0.27090979 0.21988526 0.02494804]]"
24,"[[0.26387598 0.14332105 0.28319016 0.1622025  0.14741031]
 [0.29909113 0.27065902 0.07488049 0.01567174 0.33969762]
 [0.32359023 0.07168008 0.08883672 0.27985673 0.23603624]
 [0.30800616 0.2492675  0.07625291 0.21315501 0.15331842]
 [0.19352717 0.28990461 0.14406996 0.33082889 0.04166937]]"
25,"[[0.06200563 0.21296118 0.16216961 0.42284727 0.14001631]
 [0.17184279 0.16979989 0.11019549 0.09664711 0.45151472]
 [0.27743664 0.09480805 0.2425823  0.20679361 0.17837939]
 [0.18392672 0.24541033 0.18512021 0.27412775 0.111415  ]
 [0.43306052 0.04775089 0.30175415 0.10547107 0.11196336]]"
26,"[[0.13027079 0.3513545  0.23833116 0.21128897 0.06875457]
 [0.34748078 0.21467212 0.06679642 0.26911997 0.10193071]
 [0.1187709  0.39393713 0.327152   0.03067681 0.12946317]
 [0.02529243 0.15135157 0.28798255 0.31896759 0.21640586]
 [0.03587877 0.39026001 0.29139156 0.21760643 0.06486323]]"
27,"[[0.18209463 0.32035985 0.16076394 0.33085571 0.00592586]
 [0.11061681 0.33237764 0.23874733 0.11561614 0.20264208]
 [0.21383333 0.31078708 0.2063722  0.13775704 0.13125034]
 [0.11568263 0.17664752 0.01368643 0.27990112 0.4140823 ]
 [0.25534335 0.13871857 0.13331429 0.21099208 0.26163171]]"
28,"[[0.21576428 0.32823636 0.20582756 0.16822355 0.08194823]
 [0.27563468 0.27510316 0.05479472 0.21085461 0.18361283]
 [0.34363862 0.14153938 0.11019425 0.0781981  0.32642965]
 [0.01634283 0.28739064 0.29892347 0.18462694 0.21271612]
 [0.24595762 0.37161628 0.15435889 0.13568548 0.09238172]]"
29,"[[0.23667677 0.35540431 0.21092447 0.01639648 0.18059797]
 [0.49749301 0.15055669 0.15820434 0.00422927 0.18951668]
 [0.12210834 0.22045601 0.06011108 0.34304535 0.25427922]
 [0.22614076 0.22978902 0.4996458  0.03308875 0.01133568]
 [0.01642009 0.17559197 0.31616066 0.25114353 0.24068375]]"
30,"[[0.19283116 0.18204014 0.22409841 0.1516395  0.24939079]
 [0.46587149 0.18275011 0.05028823 0.1007162  0.20037397]
 [0.30042869 0.15867838 0.22196433 0.02943643 0.28949217]
 [0.37687074 0.35138164 0.05327162 0.19103333 0.02744267]
 [0.40477292 0.45385689 0.02043682 0.06888531 0.05204806]]"
31,"[[0.02182158 0.47643629 0.40210512 0.02233558 0.07730142]
 [0.27227467 0.07839623 0.27459959 0.34789843 0.02683107]
 [0.31410539 0.22290909 0.25841418 0.00471628 0.19985506]
 [0.25409195 0.27321555 0.19307782 0.21798795 0.06162673]
 [0.16470029 0.08261613 0.30926942 0.37574554 0.06766862]]"
32,"[[0.39469605 0.23687501 0.03676445 0.28156466 0.05009983]
 [0.08895254 0.01164079 0.30399009 0.32458736 0.27082922]
 [0.43540856 0.31519698 0.00090658 0.21192547 0.03656241]
 [0.11042028 0.30980951 0.26498273 0.01186943 0.30291805]
 [0.18003263 0.30249565 0.13537947 0.27900398 0.10308828]]"
33,"[[0.3132631  0.24348154 0.23670857 0.19821118 0.00833561]
 [0.14360379 0.26292774 0.0991241  0.1616684  0.33267598]
 [0.23471721 0.20899359 0.28247347 0.02954763 0.24426809]
 [0.3183162  0.19130716 0.04510334 0.1992427  0.24603061]
 [0.18470476 0.13831988 0.21416738 0.07577323 0.38703474]]"
34,"[[0.47129677 0.18157982 0.09968467 0.2122859  0.03515284]
 [0.45233618 0.04080425 0.00847044 0.43794495 0.06044418]
 [0.12891138 0.06550353 0.22422423 0.35118038 0.23018047]
 [0.30740253 0.27183433 0.16060923 0.17937882 0.08077509]
 [0.33698246 0.27901397 0.14175976 0.15980384 0.08243997]]"
35,"[[0.25498713 0.22685507 0.29808793 0.14675041 0.07331946]
 [0.28280073 0.13124477 0.16812313 0.30412196 0.1137094 ]
 [0.10158891 0.37951577 0.21054825 0.05939769 0.24894938]
 [0.36921408 0.4225534  0.00651594 0.07780054 0.12391605]
 [0.32571795 0.36393146 0.06348393 0.1233273  0.12353937]]"
36,"[[0.05122082 0.44463552 0.2087169  0.20838425 0.08704251]
 [0.05705895 0.29556926 0.40750679 0.05942966 0.18043534]
 [0.28566224 0.34977626 0.14187044 0.1164096  0.10628147]
 [0.29510157 0.13862466 0.29697381 0.05040183 0.21889813]
 [0.1441377  0.24339574 0.30786272 0.08825488 0.21634897]]"
37,"[[0.29137332 0.10221218 0.05830729 0.26022563 0.28788158]
 [0.38146787 0.14823445 0.03765886 0.02143702 0.4112018 ]
 [0.38431896 0.04757754 0.16925202 0.31285647 0.08599501]
 [0.13251241 0.26487696 0.14479284 0.2462449  0.21157288]
 [0.2494144  0.26416985 0.0609427  0.19636191 0.22911114]]"
38,"[[0.13075272 0.11801847 0.39166931 0.2538671  0.10569239]
 [0.34465317 0.13672051 0.16824297 0.2123555  0.13802786]
 [0.13212342 0.21136806 0.09348867 0.55127595 0.01174389]
 [0.34844304 0.28367236 0.10613065 0.15508287 0.10667108]
 [0.0266664  0.2458834  0.28055012 0.12110781 0.32579227]]"
39,"[[0.14582342 0.2672925  0.13656896 0.31366483 0.13665028]
 [0.32343553 0.04314823 0.37689999 0.24903386 0.00748239]
 [0.02790764 0.43351919 0.11443031 0.23671716 0.1874257 ]
 [0.15586931 0.45413987 0.04979167 0.10072403 0.23947513]
 [0.18747232 0.29763511 0.21511924 0.2805758  0.01919753]]"
40,"[[0.2288898  0.02147552 0.38567124 0.34274848 0.02121495]
 [0.32338231 0.29928822 0.02483086 0.28433905 0.06815956]
 [0.14484591 0.31144684 0.1016118  0.19930502 0.24279043]
 [0.25014041 0.05813775 0.30917989 0.21629198 0.16624997]
 [0.21558401 0.29718138 0.23178254 0.13731976 0.11813231]]"
41,"[[0.4324833  0.19123924 0.19141173 0.07386067 0.11100506]
 [0.33800516 0.29131243 0.08711467 0.07765574 0.205912  ]
 [0.22942293 0.02585247 0.29229166 0.26273636 0.18969658]
 [0.10994857 0.39526337 0.01875889 0.00837956 0.4676496 ]
 [0.19631521 0.18898437 0.23344587 0.11436425 0.26689031]]"
42,"[[0.18099343 0.10023919 0.22804187 0.14771873 0.34300677]
 [0.18307573 0.4239244  0.03948782 0.00620818 0.34730387]
 [0.18323099 0.06916333 0.28863777 0.09832614 0.36064176]
 [0.13495887 0.47438027 0.16484351 0.20586686 0.01995048]
 [0.2340278  0.23925879 0.20915065 0.04505244 0.27251031]]"
43,"[[0.31080751 0.36026313 0.07054608 0.18632544 0.07205783]
 [0.38308261 0.20747179 0.01641023 0.21645985 0.17657553]
 [0.32967655 0.28554419 0.2060617  0.12192919 0.05678837]
 [0.36713343 0.23383493 0.29107058 0.08914657 0.01881449]
 [0.06696373 0.19228711 0.03166887 0.37291971 0.33616057]]"
