1,"[[0.22375443 0.32978669 0.23193312 0.10872985 0.10579592]
 [0.29275983 0.03906882 0.08953294 0.32775564 0.25088276]
 [0.04203605 0.03259986 0.06103175 0.42834628 0.43598606]
 [0.27018272 0.25700267 0.21314143 0.10913895 0.15053424]
 [0.37801215 0.10055759 0.00186816 0.25308064 0.26648145]]"
2,"[[0.30937311 0.0202261  0.05220985 0.28353861 0.33465233]
 [0.3128017  0.10948754 0.26719202 0.03497189 0.27554685]
 [0.15040311 0.28513997 0.12076342 0.33750989 0.10618362]
 [0.28639377 0.1296663  0.40421902 0.00541436 0.17430654]
 [0.30101416 0.16682405 0.16917814 0.24786116 0.1151225 ]]"
3,"[[0.24108264 0.28481622 0.03306606 0.16217819 0.27885689]
 [0.22886184 0.21323524 0.20507034 0.23387619 0.11895639]
 [0.24315019 0.23603308 0.23183674 0.20654671 0.08243329]
 [0.07859738 0.19432992 0.40430449 0.06533601 0.2574322 ]
 [0.25273794 0.12993609 0.25337787 0.23058629 0.13336181]]"
4,"[[0.35089643 0.20101726 0.10197046 0.02308147 0.32303438]
 [0.02413241 0.37500099 0.07871318 0.2892412  0.23291221]
 [0.3722822  0.28313386 0.04466063 0.24699196 0.05293135]
 [0.19678945 0.34111113 0.03165971 0.27466403 0.15577567]
 [0.34657844 0.22027906 0.31305066 0.11656415 0.00352769]]"
5,"[[0.32104917 0.18717518 0.29650233 0.12037004 0.07490328]
 [0.07199074 0.27815755 0.04906009 0.26050208 0.34028954]
 [0.24494447 0.26751818 0.2714126  0.18010557 0.03601918]
 [0.43335071 0.07850891 0.3501899  0.02425007 0.11370041]
 [0.25870411 0.11803238 0.30366931 0.29392593 0.02566828]]"
6,"[[0.0401724  0.16872715 0.12913664 0.30393281 0.358031  ]
 [0.37921135 0.33830589 0.01797756 0.00155442 0.26295078]
 [0.24151379 0.28635024 0.19247964 0.17312147 0.10653486]
 [0.26362922 0.0244804  0.38917596 0.10213622 0.2205782 ]
 [0.1452643  0.03778788 0.52086561 0.28903894 0.00704327]]"
7,"[[0.24727817 0.16732373 0.36053742 0.17646998 0.0483907 ]
 [0.10034765 0.28522229 0.21469924 0.22132414 0.17840669]
 [0.00318503 0.41341913 0.32002201 0.1390916  0.12428222]
 [0.27357171 0.15390877 0.20462841 0.10419596 0.26369515]
 [0.2619869  0.14966634 0.25643725 0.10371059 0.22819892]]"
8,"[[0.33091389 0.31050856 0.04993258 0.05413037 0.2545146 ]
 [0.27681166 0.23175118 0.07147014 0.21157508 0.20839195]
 [0.22152019 0.12936386 0.19674219 0.32588977 0.12648398]
 [0.18112848 0.01669563 0.02720905 0.44501733 0.32994951]
 [0.37626944 0.25100645 0.0417008  0.19024745 0.14077586]]"
9,"[[0.29785469 0.19205528 0.12041175 0.28446721 0.10521107]
 [0.39991874 0.30613602 0.19428128 0.01635141 0.08331255]
 [0.18041275 0.28809348 0.11769281 0.17950678 0.23429418]
 [0.10764265 0.30729318 0.21621556 0.10907786 0.25977075]
 [0.12730391 0.2202369  0.19203899 0.14175381 0.31866639]]"
10,"[[0.34663287 0.11908689 0.27306116 0.20631854 0.05490054]
 [0.34136726 0.09327298 0.24718818 0.13214768 0.1860239 ]
 [0.22226351 0.2711966  0.26625169 0.18893635 0.05135185]
 [0.26540312 0.11962804 0.17980093 0.23575854 0.19940937]
 [0.22104545 0.22436426 0.08299131 0.30249355 0.16910543]]"
11,"[[0.32359795 0.31428908 0.18993048 0.07359899 0.09858351]
 [0.32657062 0.26558598 0.07171543 0.24774897 0.08837899]
 [0.31522508 0.31285532 0.01850436 0.20462668 0.14878855]
 [0.34623508 0.14992268 0.14096005 0.23813266 0.12474953]
 [0.24054905 0.15481009 0.15127281 0.18555207 0.26781597]]"
12,"[[5.52150553e-02 4.35580126e-01 4.04702668e-02 3.91226448e-02
  4.29611907e-01]
 [1.67593719e-01 2.14164372e-01 7.43391309e-02 4.08820355e-01
  1.35082423e-01]
 [2.50288768e-01 2.89016448e-01 5.80423349e-02 2.42553413e-01
  1.60099036e-01]
 [1.41328926e-01 4.82882281e-01 2.02495783e-01 1.46904629e-01
  2.63883814e-02]
 [2.84017440e-01 2.19072698e-01 1.85112971e-01 3.11514079e-01
  2.82812534e-04]]"
13,"[[0.34343335 0.26498839 0.10212934 0.24535719 0.04409173]
 [0.18711523 0.1101752  0.45845354 0.13742988 0.10682616]
 [0.14839597 0.21565413 0.22092713 0.1687515  0.24627127]
 [0.28155915 0.23874254 0.26917849 0.02356072 0.1869591 ]
 [0.17409187 0.31645331 0.32850161 0.13877213 0.04218108]]"
14,"[[0.17961839 0.32466333 0.05682135 0.26030786 0.17858906]
 [0.25685468 0.2252366  0.21104958 0.01970044 0.2871587 ]
 [0.21875675 0.21140792 0.19216444 0.10310063 0.27457027]
 [0.30901812 0.25087081 0.17925804 0.21807282 0.04278021]
 [0.19926984 0.17830127 0.11908317 0.38324634 0.12009939]]"
15,"[[0.2526488  0.23616926 0.19949005 0.1173852  0.19430669]
 [0.23290285 0.18661217 0.19252251 0.20874088 0.17922159]
 [0.20510324 0.26494439 0.22471332 0.12832649 0.17691256]
 [0.05581005 0.07882686 0.2707647  0.28904487 0.30555353]
 [0.29956655 0.33561507 0.01874736 0.23831122 0.1077598 ]]"
16,"[[0.46477316 0.17863942 0.11254821 0.13902855 0.10501067]
 [0.27158657 0.07200101 0.31907028 0.06936703 0.26797512]
 [0.24942667 0.21895586 0.20826844 0.25044687 0.07290216]
 [0.05038267 0.31500195 0.03707193 0.0695559  0.52798755]
 [0.23162333 0.26664085 0.23595592 0.05124658 0.21453332]]"
17,"[[0.09603928 0.3926788  0.34794316 0.05657522 0.10676355]
 [0.22695166 0.2674655  0.05250171 0.26668698 0.18639416]
 [0.01759819 0.31450858 0.16117031 0.33654331 0.17017961]
 [0.04907088 0.3031337  0.27340994 0.20033948 0.174046  ]
 [0.27912144 0.19877744 0.0463307  0.27315375 0.20261666]]"
18,"[[0.07396291 0.04970049 0.1579797  0.11530651 0.60305039]
 [0.15108188 0.40939597 0.31639784 0.03776239 0.08536191]
 [0.44831949 0.11227821 0.13562867 0.12196631 0.18180732]
 [0.41587343 0.23159124 0.17438251 0.11290294 0.06524988]
 [0.18217073 0.17289789 0.294199   0.11028686 0.24044551]]"
19,"[[0.24386381 0.08808046 0.21173175 0.1275713  0.32875267]
 [0.14939609 0.28951486 0.12542663 0.13489978 0.30076263]
 [0.21760148 0.20460258 0.29930559 0.14445828 0.13403208]
 [0.28726743 0.12026371 0.20678237 0.18822316 0.19746332]
 [0.27039081 0.06854282 0.13842377 0.31871962 0.20392298]]"
20,"[[0.26415086 0.20410281 0.26829069 0.15136145 0.11209419]
 [0.04866759 0.03284482 0.61001088 0.16949899 0.13897771]
 [0.32073002 0.12045043 0.26266746 0.18173062 0.11442147]
 [0.31031333 0.35524608 0.14792457 0.16511008 0.02140594]
 [0.09222952 0.16656341 0.01364547 0.4621874  0.26537421]]"
