,id,val_index,size,valuation,algo,distortion
0,1,1,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
1,2,1,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
2,3,1,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
3,4,2,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
4,5,2,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
5,6,2,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
6,7,3,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
7,8,3,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
8,9,3,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
9,10,4,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
10,11,4,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
11,12,4,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
12,13,5,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
13,14,5,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
14,15,5,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
15,16,6,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
16,17,6,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
17,18,6,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
18,19,7,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
19,20,7,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
20,21,7,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
21,22,8,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
22,23,8,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
23,24,8,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
24,25,9,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
25,26,9,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
26,27,9,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
27,28,10,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999998
28,29,10,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999998
29,30,10,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
30,31,11,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.012535924635181
31,32,11,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
32,33,11,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.012535924635181
33,34,12,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
34,35,12,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
35,36,12,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
36,37,13,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0026834195082721
37,38,13,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
38,39,13,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
39,40,14,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
40,41,14,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
41,42,14,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.116249487357091
42,43,15,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
43,44,15,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
44,45,15,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
45,46,16,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
46,47,16,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
47,48,16,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
48,49,17,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
49,50,17,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
50,51,17,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
51,52,18,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
52,53,18,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
53,54,18,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
54,55,19,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
55,56,19,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
56,57,19,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
57,58,20,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
58,59,20,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
59,60,20,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
60,61,21,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
61,62,21,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
62,63,21,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.1670076782684409
63,64,22,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
64,65,22,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
65,66,22,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
66,67,23,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
67,68,23,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
68,69,23,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
69,70,24,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
70,71,24,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
71,72,24,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
72,73,25,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0123495852368856
73,74,25,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
74,75,25,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0123495852368856
75,76,26,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.017679359195062
76,77,26,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
77,78,26,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.017679359195062
