,0
1,"[[0.10649072 0.46855392 0.31152227 0.08242258 0.0310105 ]
 [0.21903432 0.06946772 0.15840801 0.38032122 0.17276872]
 [0.14822291 0.05896976 0.23455538 0.27625521 0.28199673]
 [0.37841102 0.30271726 0.16874497 0.01060499 0.13952176]
 [0.28089965 0.16064184 0.13292605 0.20573899 0.21979347]]"
2,"[[0.28302793 0.00909415 0.03674753 0.1540768  0.51705359]
 [0.34099586 0.13657095 0.14849863 0.09492989 0.27900466]
 [0.18129002 0.26443838 0.1764686  0.35183768 0.02596533]
 [0.2271194  0.15012128 0.3913374  0.07550617 0.15591576]
 [0.39756932 0.12172531 0.13821152 0.34063519 0.00185866]]"
3,"[[0.21534153 0.24483476 0.13888906 0.16711351 0.23382114]
 [0.28844646 0.24958438 0.07405011 0.37936395 0.0085551 ]
 [0.34998743 0.24374316 0.24146988 0.13558019 0.02921934]
 [0.10009674 0.20914197 0.3336573  0.0980305  0.25907348]
 [0.239911   0.13296255 0.24978143 0.23596831 0.14137671]]"
4,"[[0.33470386 0.17827471 0.10887192 0.05194528 0.32620423]
 [0.00095816 0.5470478  0.05046595 0.27984067 0.12168742]
 [0.2287893  0.22649624 0.14754607 0.21603347 0.18113493]
 [0.2272183  0.34260994 0.0648167  0.2465602  0.11879486]
 [0.24263191 0.18778505 0.23834956 0.17175563 0.15947784]]"
5,"[[3.19292241e-01 1.95723422e-01 2.49060843e-01 1.22585370e-01
  1.13338125e-01]
 [6.15064217e-02 3.09856466e-01 2.37231556e-04 2.49945982e-01
  3.78453898e-01]
 [2.27719288e-01 2.36429832e-01 2.61758154e-01 1.49456529e-01
  1.24636197e-01]
 [4.92272986e-01 2.11024604e-02 3.46093761e-01 1.76702960e-02
  1.22860497e-01]
 [1.99310506e-01 1.47577880e-01 3.56358694e-01 2.10865023e-01
  8.58878972e-02]]"
6,"[[0.11291709 0.19308797 0.14231366 0.22264808 0.32903321]
 [0.39241159 0.37659271 0.07788112 0.04533787 0.1077767 ]
 [0.24406236 0.25917719 0.21586065 0.15705239 0.12384742]
 [0.31100041 0.04705187 0.38313236 0.1093652  0.14945017]
 [0.20826018 0.19310298 0.34057972 0.23003594 0.02802117]]"
7,"[[0.25977438 0.20783278 0.30817624 0.21624855 0.00796805]
 [0.11529532 0.25303878 0.1983385  0.24901017 0.18431722]
 [0.10777274 0.33015486 0.26363479 0.1576223  0.14081531]
 [0.3436119  0.14612475 0.16613857 0.00625948 0.33786531]
 [0.30373267 0.06931374 0.29650051 0.04200293 0.28845016]]"
8,"[[0.32770244 0.20340476 0.13792081 0.15947325 0.17149874]
 [0.3163716  0.29667406 0.055087   0.22475262 0.10711472]
 [0.29347757 0.11208609 0.16477358 0.40658232 0.02308045]
 [0.2058913  0.08175821 0.16374916 0.29999981 0.24860152]
 [0.39513156 0.35273269 0.05900984 0.10556497 0.08756093]]"
9,"[[0.47755849 0.18057364 0.12337317 0.19261507 0.02587964]
 [0.30893479 0.21668185 0.20133774 0.08227599 0.19076964]
 [0.23541303 0.28706976 0.05906575 0.14786131 0.27059015]
 [0.01223663 0.41523154 0.19234146 0.16195233 0.21823805]
 [0.16546491 0.23698678 0.18308117 0.16716132 0.24730582]]"
10,"[[0.38948202 0.12666781 0.24695097 0.23629538 0.00060383]
 [0.30121167 0.14580438 0.23865052 0.14774902 0.16658441]
 [0.21516468 0.2732777  0.26052808 0.15968054 0.09134901]
 [0.35382129 0.11037557 0.12892492 0.27292139 0.13395682]
 [0.18574284 0.25729867 0.09927085 0.28295675 0.17473089]]"
