,id,val_index,size,valuation,algo,distortion
0,1,1,5.0,theta0.2unitsum,serial_dictatorship,1.9018353414570028
1,2,1,5.0,theta0.2unitsum,ttc_matching,1.0215647434391557
2,3,1,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,1.0
3,4,1,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal0.1,1.0
4,5,1,,theta0.2unitsum,twothirds_max_matching rank_maximal,1.0
5,6,2,5.0,theta0.2unitsum,serial_dictatorship,2.533748087496267
6,7,2,5.0,theta0.2unitsum,ttc_matching,1.0
7,8,2,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,1.0
8,9,2,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal0.1,1.0
9,10,2,,theta0.2unitsum,twothirds_max_matching rank_maximal,1.0
10,11,3,5.0,theta0.2unitsum,serial_dictatorship,1.9427110692127023
11,12,3,5.0,theta0.2unitsum,ttc_matching,1.043120245207541
12,13,3,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,1.0
13,14,3,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal0.1,1.0
14,15,3,,theta0.2unitsum,twothirds_max_matching rank_maximal,1.0
15,16,4,5.0,theta0.2unitsum,serial_dictatorship,1.6449494433400564
16,17,4,5.0,theta0.2unitsum,ttc_matching,1.3292510833583773
17,18,4,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,1.0
18,19,4,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal0.1,1.0
19,20,4,,theta0.2unitsum,twothirds_max_matching rank_maximal,1.0363134736675514
20,21,5,5.0,theta0.2unitsum,serial_dictatorship,1.303192287920126
21,22,5,5.0,theta0.2unitsum,ttc_matching,1.0477826221545332
22,23,5,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,0.9999999999999999
23,24,5,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal0.1,0.9999999999999999
24,25,5,,theta0.2unitsum,twothirds_max_matching rank_maximal,1.0
25,26,6,5.0,theta0.2unitsum,serial_dictatorship,2.2735627662765503
26,27,6,5.0,theta0.2unitsum,ttc_matching,1.0483425552997068
27,28,6,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,1.0
28,29,6,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal0.1,1.0
29,30,6,,theta0.2unitsum,twothirds_max_matching rank_maximal,1.0
30,31,7,5.0,theta0.2unitsum,serial_dictatorship,1.612445187419185
31,32,7,5.0,theta0.2unitsum,ttc_matching,1.612445187419185
32,33,7,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,1.0
33,34,7,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal0.1,1.0
34,35,7,,theta0.2unitsum,twothirds_max_matching rank_maximal,1.0
35,36,8,5.0,theta0.2unitsum,serial_dictatorship,1.1592333433827768
36,37,8,5.0,theta0.2unitsum,ttc_matching,1.1592333433827768
37,38,8,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,0.9999999999999999
38,39,8,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal0.1,0.9999999999999999
39,40,8,,theta0.2unitsum,twothirds_max_matching rank_maximal,1.0262945449151482
40,41,9,5.0,theta0.2unitsum,serial_dictatorship,1.4371793954776308
41,42,9,5.0,theta0.2unitsum,ttc_matching,1.2279936630661743
42,43,9,5.0,theta0.2unitsum,epsilon_max_matching rank_maximal1,1.0
