,0
1,"[[0.20544534 0.42717003 0.24122119 0.07711334 0.04905011]
 [0.22148734 0.1187225  0.16465877 0.31117115 0.18396024]
 [0.15581756 0.13188342 0.17112871 0.22407254 0.31709777]
 [0.32523541 0.26031972 0.19763846 0.03311074 0.18369567]
 [0.30579508 0.16398633 0.06320081 0.17575764 0.29126014]]"
2,"[[0.29696232 0.09196279 0.09893346 0.13964183 0.3724996 ]
 [0.25176819 0.17765616 0.18489974 0.16307139 0.22260452]
 [0.16385687 0.30254355 0.15276422 0.34532041 0.03551495]
 [0.26809761 0.06451009 0.41086231 0.02982081 0.22670918]
 [0.3652148  0.07958319 0.25277448 0.29991539 0.00251215]]"
3,"[[0.23602113 0.26933916 0.06824534 0.17897045 0.24742392]
 [0.21998869 0.17041278 0.16725371 0.27937777 0.16296706]
 [0.39370191 0.36837067 0.15123801 0.04597548 0.04071393]
 [0.13103884 0.14293545 0.39958416 0.0959496  0.23049196]
 [0.25593975 0.03795076 0.31865606 0.24286245 0.14459097]]"
4,"[[0.29568315 0.21701424 0.21083542 0.01784107 0.25862612]
 [0.09773843 0.27488522 0.10346821 0.26270097 0.26120717]
 [0.27009519 0.23791296 0.12480993 0.20018563 0.16699628]
 [0.15510612 0.40477024 0.01460201 0.34342943 0.08209221]
 [0.63458614 0.1430219  0.20663669 0.01405408 0.0017012 ]]"
5,"[[0.3314154  0.26535622 0.31861073 0.04357589 0.04104175]
 [0.07991181 0.32992173 0.0462836  0.13466744 0.40921542]
 [0.23838688 0.29087302 0.34651372 0.08762167 0.03660471]
 [0.25978703 0.1994414  0.21205563 0.12167738 0.20703856]
 [0.23599722 0.0843467  0.31720214 0.2855835  0.07687044]]"
6,"[[0.07619301 0.17049471 0.13782594 0.28119093 0.33429541]
 [0.23776144 0.23170732 0.20565096 0.10660454 0.21827574]
 [0.39409332 0.40326613 0.16747102 0.02855542 0.00661412]
 [0.2729161  0.10732228 0.32117577 0.12998234 0.16860351]
 [0.19379306 0.08393358 0.38085315 0.26150443 0.07991578]]"
7,"[[0.2342935  0.15732297 0.23890095 0.22823054 0.14125205]
 [0.00167341 0.45985228 0.08756253 0.40146124 0.04945055]
 [0.04092149 0.39622709 0.20737981 0.20502541 0.1504462 ]
 [0.31407237 0.16502883 0.21172131 0.06934435 0.23983314]
 [0.51383309 0.04449538 0.28358185 0.01868591 0.13940377]]"
8,"[[0.27794507 0.20644599 0.14941516 0.17749935 0.18869442]
 [0.3177935  0.23749963 0.05419932 0.21202976 0.1784778 ]
 [0.21935026 0.17078293 0.17934843 0.36202369 0.06849469]
 [0.19221189 0.0219731  0.11650247 0.35766443 0.3116481 ]
 [0.30768938 0.2633737  0.09336791 0.17666205 0.15890696]]"
9,"[[0.28264098 0.21512239 0.19917561 0.22911487 0.07394616]
 [0.27315279 0.24336288 0.20792236 0.12585493 0.14970703]
 [0.28537139 0.33015783 0.01674959 0.05005392 0.31766727]
 [0.00643674 0.34312816 0.23658356 0.10622071 0.30763083]
 [0.07650905 0.28140747 0.18809134 0.14218248 0.31180967]]"
10,"[[0.34805789 0.13499914 0.25637789 0.13573172 0.12483336]
 [0.42105188 0.02702142 0.35444751 0.06308417 0.13439502]
 [0.15352653 0.40499653 0.19982863 0.14709381 0.09455451]
 [0.45902185 0.10422573 0.13515246 0.15614941 0.14545055]
 [0.25517206 0.28482999 0.04659502 0.29999136 0.11341157]]"
11,"[[0.27562347 0.24987863 0.22079877 0.09402614 0.15967298]
 [0.30666759 0.2551157  0.09208115 0.21171298 0.13442258]
 [0.2902038  0.23736543 0.1083513  0.23486512 0.12921435]
 [0.34285171 0.18818671 0.10137046 0.33288579 0.03470534]
 [0.2542642  0.13504791 0.05781896 0.2529993  0.29986964]]"
12,"[[0.18232206 0.39081044 0.11065187 0.07213617 0.24407945]
 [0.23871225 0.24104103 0.08508635 0.30767366 0.1274867 ]
 [0.29081697 0.31042856 0.02584529 0.24416864 0.12874055]
 [0.07408463 0.29980548 0.28746591 0.27109809 0.06754589]
 [0.25127589 0.22699152 0.19462707 0.30151944 0.02558607]]"
13,"[[0.28525844 0.20951008 0.17044639 0.2018291  0.13295599]
 [0.28888259 0.10992455 0.29309796 0.24937496 0.05871995]
 [0.06187085 0.19655222 0.26591258 0.19231865 0.2833457 ]
 [0.37277493 0.13130508 0.26803113 0.108211   0.11967785]
 [0.20843489 0.25015255 0.26466798 0.18492426 0.09182033]]"
14,"[[0.19726559 0.41327299 0.00300656 0.30996539 0.07648947]
 [0.26392362 0.21305287 0.16102233 0.09682455 0.26517663]
 [0.23852448 0.2232878  0.17356001 0.08534858 0.27927914]
 [0.34850894 0.33190343 0.09302854 0.13741006 0.08914903]
 [0.28303029 0.20543755 0.03222424 0.33439249 0.14491543]]"
