,0
1,"[[0.75906833 0.10369277 1.         0.         0.78077037]
 [0.72417773 1.         0.3364018  0.59024106 0.        ]
 [0.98288547 0.46832219 1.         0.19416656 0.        ]
 [0.69522104 1.         0.93163406 0.         0.28831988]
 [0.15780003 1.         0.73172621 0.54197251 0.        ]]"
2,"[[0.76980622 1.         0.         0.61783586 0.89366102]
 [1.         0.62545435 0.09441149 0.         0.00549507]
 [1.         0.27205669 0.07074116 0.         0.37548251]
 [1.         0.33332423 0.43012434 0.         0.00200444]
 [1.         0.95270045 0.23687036 0.52780618 0.        ]]"
3,"[[1.         0.71614742 0.63904209 0.         0.33288037]
 [1.         0.05700855 0.09035686 0.92753511 0.        ]
 [0.24230512 1.         0.85555108 0.60842277 0.        ]
 [1.         0.53803858 0.80101185 0.         0.19700934]
 [0.72877284 1.         0.19848565 0.05364724 0.        ]]"
4,"[[0.25758897 0.         0.09542931 1.         0.09011473]
 [0.77552279 1.         0.71606704 0.         0.65758686]
 [0.63562505 1.         0.17577286 0.15505732 0.        ]
 [1.         0.30369017 0.12696843 0.01117199 0.        ]
 [1.         0.2652224  0.15006352 0.00913308 0.        ]]"
5,"[[1.         0.72657487 0.35269697 0.26981519 0.        ]
 [0.52208799 1.         0.29987902 0.02041212 0.        ]
 [1.         0.87207065 0.12099047 0.60780677 0.        ]
 [1.         0.02498513 0.         0.59433201 0.60594741]
 [1.         0.81529027 0.30467979 0.74387835 0.        ]]"
6,"[[1.         0.86093259 0.65104494 0.24908852 0.        ]
 [0.28401952 0.01981159 0.49231509 0.         1.        ]
 [1.         0.29159373 0.23894629 0.         0.03202939]
 [0.53656283 1.         0.25787982 0.18179991 0.        ]
 [1.         0.82923713 0.59700912 0.         0.58447722]]"
7,"[[1.         0.77785512 0.29957138 0.12800015 0.        ]
 [0.72016998 1.         0.         0.10201314 0.1301579 ]
 [1.         0.33009231 0.01605588 0.34343291 0.        ]
 [1.         0.63673716 0.84621736 0.84958971 0.        ]
 [0.92856742 1.         0.28125804 0.31217724 0.        ]]"
8,"[[1.         0.47868584 0.22798357 0.         0.22639224]
 [0.98157308 0.20871638 1.         0.         0.14034274]
 [1.         0.89848942 0.12035762 0.62699494 0.        ]
 [0.96793537 1.         0.05099796 0.         0.81209103]
 [1.         0.86474366 0.35253311 0.20692701 0.        ]]"
9,"[[0.43215767 1.         0.86432609 0.06626416 0.        ]
 [1.         0.58422159 0.36172138 0.01777945 0.        ]
 [1.         0.64380599 0.28850445 0.44835855 0.        ]
 [1.         0.29597759 0.17144794 0.03882825 0.        ]
 [0.97217849 1.         0.75958874 0.         0.93074888]]"
10,"[[0.49465494 0.65064197 1.         0.29017194 0.        ]
 [0.40760288 0.39453593 0.         0.06758353 1.        ]
 [1.         0.87236864 0.30335769 0.         0.0509207 ]
 [1.         0.43691803 0.3894405  0.20997771 0.        ]
 [1.         0.35090841 0.09274405 0.         0.12425253]]"
