,0
1,"[[0.57114065 0.38833638 1.         0.         0.80153019]
 [0.85668216 1.         0.33803847 0.60667235 0.        ]
 [0.73116778 0.49398886 1.         0.21781903 0.        ]
 [0.57674439 1.         0.96062253 0.         0.42554314]
 [0.05232524 1.         0.38972615 0.3841055  0.        ]]"
2,"[[0.65713276 1.         0.         0.62025702 0.76422443]
 [1.         0.97355184 0.83499438 0.         0.80850984]
 [1.         0.53124993 0.14255053 0.         0.70075384]
 [1.         0.50423548 0.80021408 0.         0.39679924]
 [1.         0.79367    0.37065627 0.47442919 0.        ]]"
3,"[[1.         0.98738704 0.34701835 0.         0.14713982]
 [1.         0.08578977 0.09772054 0.17877313 0.        ]
 [0.00504293 1.         0.21396564 0.02675503 0.        ]
 [1.         0.42678608 0.68356766 0.         0.16881998]
 [0.55887207 1.         0.45176941 0.0287273  0.        ]]"
4,"[[2.05128386e-01 0.00000000e+00 1.95942446e-01 1.00000000e+00
  1.27992711e-01]
 [6.62517677e-01 1.00000000e+00 3.75522020e-01 0.00000000e+00
  6.02676963e-04]
 [3.79478813e-01 1.00000000e+00 2.71204706e-01 1.95000089e-01
  0.00000000e+00]
 [1.00000000e+00 9.22565781e-01 5.90972043e-01 4.04995698e-01
  0.00000000e+00]
 [1.00000000e+00 9.59360081e-01 2.18752421e-01 1.05533202e-01
  0.00000000e+00]]"
5,"[[1.         0.90513322 0.41046387 0.14432955 0.        ]
 [0.3872728  1.         0.23049047 0.14351294 0.        ]
 [1.         0.64085118 0.28005257 0.3849011  0.        ]
 [1.         0.29105899 0.         0.54732528 0.56117859]
 [1.         0.80861998 0.14259404 0.24954672 0.        ]]"
6,"[[1.         0.7295826  0.61270258 0.38811157 0.        ]
 [0.58135487 0.27710258 0.92156873 0.         1.        ]
 [1.         0.8392237  0.44744117 0.         0.43158319]
 [0.62130335 1.         0.20867399 0.08600356 0.        ]
 [1.         0.91342865 0.6794081  0.         0.18301323]]"
7,"[[1.         0.50455186 0.38511549 0.19308071 0.        ]
 [0.48832869 1.         0.         0.25971789 0.4774844 ]
 [1.         0.45567034 0.01443263 0.71658867 0.        ]
 [1.         0.03677697 0.55250195 0.6405661  0.        ]
 [0.80183198 1.         0.03749956 0.06389531 0.        ]]"
8,"[[1.         0.68366738 0.55372107 0.         0.04112906]
 [0.89394204 0.58263139 1.         0.         0.0519316 ]
 [1.         0.87488444 0.22245912 0.77615353 0.        ]
 [0.95927626 1.         0.00286678 0.         0.30759814]
 [1.         0.42370009 0.26977121 0.12372701 0.        ]]"
9,"[[0.29442515 1.         0.3210946  0.08454114 0.        ]
 [1.         0.99725899 0.74674503 0.50909054 0.        ]
 [1.         0.95152197 0.01570538 0.56996858 0.        ]
 [1.         0.94616178 0.37695938 0.24788495 0.        ]
 [0.47664467 1.         0.06440922 0.         0.32047609]]"
10,"[[0.24190686 0.92080764 1.         0.07580686 0.        ]
 [0.91381826 0.41029599 0.         0.00843069 1.        ]
 [1.         0.39289826 0.34191703 0.         0.30315054]
 [1.         0.5938574  0.40116047 0.27811878 0.        ]
 [1.         0.63272813 0.17967435 0.         0.27481481]]"
11,"[[0.51444351 1.         0.43187371 0.91235799 0.        ]
 [1.         0.51034888 0.         0.41904625 0.12663349]
 [1.         0.78278465 0.73589346 0.67635967 0.        ]
 [1.         0.61208622 0.43286146 0.         0.13381699]
 [1.         0.85573922 0.79741507 0.         0.51069897]]"
12,"[[1.         0.74157599 0.6714265  0.         0.0324024 ]
 [1.         0.52529063 0.59975796 0.27558443 0.        ]
 [1.         0.94736829 0.81618406 0.14049758 0.        ]
 [1.         0.83494766 0.         0.34559137 0.43775398]
 [1.         0.83436603 0.84311985 0.36593515 0.        ]]"
13,"[[1.         0.88060045 0.68684966 0.47756508 0.        ]
 [1.         0.84105282 0.70214046 0.64037761 0.        ]
 [1.         0.05152414 0.28006333 0.08665323 0.        ]
 [1.         0.20889735 0.06438501 0.         0.03094091]
 [1.         0.95114604 0.78635715 0.75719122 0.        ]]"
14,"[[0.97154246 1.         0.70846692 0.         0.46170228]
 [1.         0.76370814 0.2581114  0.72614671 0.        ]
 [0.62988215 0.1384108  1.         0.         0.95166632]
 [1.         0.78715569 0.23234353 0.35750041 0.        ]
 [1.         0.73712544 0.67347162 0.44336725 0.        ]]"
15,"[[1.         0.81018967 0.21034438 0.         0.09805499]
 [1.         0.97525905 0.51966818 0.15801983 0.        ]
 [1.         0.94775598 0.7373979  0.         0.79908443]
 [1.         0.53728847 0.10337076 0.0751966  0.        ]
 [0.59412192 1.         0.1353955  0.07595087 0.        ]]"
16,"[[1.         0.83299634 0.65890883 0.30599939 0.        ]
 [0.73704831 0.58693264 1.         0.78785627 0.        ]
 [1.         0.99688646 0.59567647 0.         0.11306979]
 [1.         0.77805676 0.54336038 0.         0.04301157]
 [1.         0.62068474 0.22396498 0.         0.77357168]]"
17,"[[1.         0.58685904 0.50081992 0.1376669  0.        ]
 [1.         0.14435477 0.48866509 0.         0.37343366]
 [0.93516616 0.53387268 0.         1.         0.40255207]
 [1.         0.35631442 0.09174708 0.24575275 0.        ]
 [1.         0.89386644 0.17138436 0.34560257 0.        ]]"
18,"[[1.         0.29782481 0.07326247 0.26594865 0.        ]
 [1.         0.8835583  0.         0.85537269 0.54843017]
 [0.91074262 0.45422801 1.         0.56454077 0.        ]
 [1.         0.56320866 0.07258338 0.3376572  0.        ]
 [0.77264233 0.44113271 1.         0.65574279 0.        ]]"
19,"[[1.         0.7136411  0.99430855 0.         0.6519377 ]
 [0.49966249 1.         0.24191858 0.         0.21140491]
 [1.         0.90588583 0.47888203 0.47477967 0.        ]
 [0.96424022 1.         0.25986517 0.         0.73936762]
 [1.         0.77080184 0.6619796  0.         0.07546583]]"
20,"[[1.         0.49314483 0.37357087 0.34637618 0.        ]
 [1.         0.41125593 0.53885756 0.         0.32929487]
 [1.         0.97895698 0.18177016 0.7230368  0.        ]
 [0.81497231 1.         0.1954289  0.74954322 0.        ]
 [0.22412921 0.27806132 1.         0.52174074 0.        ]]"
21,"[[1.         0.84720941 0.38106814 0.3339525  0.        ]
 [0.38144223 1.         0.         0.3968185  0.36108906]
 [1.         0.90054253 0.29495268 0.24263312 0.        ]
 [1.         0.25225899 0.71690652 0.24339599 0.        ]
 [1.         0.35624321 0.80358815 0.09729597 0.        ]]"
22,"[[1.         0.74129088 0.         0.00123819 0.01452424]
 [1.         0.22978117 0.16097721 0.06856972 0.        ]
 [0.64051069 1.         0.56263849 0.15555376 0.        ]
 [1.         0.9203212  0.         0.86002637 0.20956799]
 [1.         0.73234389 0.37387601 0.15666944 0.        ]]"
23,"[[0.92149131 0.55506036 1.         0.         0.59959225]
 [1.         0.98674074 0.15817412 0.         0.05587026]
 [0.75289194 1.         0.7155607  0.64411169 0.        ]
 [0.8739479  0.06763568 1.         0.02624822 0.        ]
 [1.         0.81751253 0.23768123 0.         0.81951299]]"
24,"[[1.         0.96408296 0.82675541 0.91234209 0.        ]
 [1.         0.84369706 0.4140221  0.01467005 0.        ]
 [1.         0.29202908 0.78601663 0.27388506 0.        ]
 [0.36589118 0.19239857 1.         0.53253803 0.        ]
 [1.         0.07200394 0.654632   0.         0.09573621]]"
25,"[[1.         0.68496989 0.34821692 0.35536287 0.        ]
 [0.63228909 1.         0.20542007 0.68085806 0.        ]
 [1.         0.85797573 0.         0.48408453 0.01192348]
 [0.93779154 1.         0.68696633 0.51619335 0.        ]
 [0.89807546 1.         0.21020418 0.20846837 0.        ]]"
26,"[[1.         0.9899083  0.74641558 0.         0.465242  ]
 [1.         0.38590304 0.61474837 0.609975   0.        ]
 [0.41104908 1.         0.8955426  0.         0.27355314]
 [1.         0.84626461 0.63027613 0.07951166 0.        ]
 [1.         0.5333273  0.20874426 0.13481314 0.        ]]"
27,"[[0.97047626 0.42845333 0.75389828 1.         0.        ]
 [0.89020941 0.85114688 1.         0.         0.76416951]
 [1.         0.14051925 0.00157583 0.06337605 0.        ]
 [0.99577682 0.96662551 1.         0.49741858 0.        ]
 [1.         0.86254099 0.53437431 0.02736551 0.        ]]"
28,"[[0.79292739 0.21002344 1.         0.64042918 0.        ]
 [1.         0.57692651 0.09188599 0.76350376 0.        ]
 [1.         0.72958945 0.10527793 0.33217622 0.        ]
 [0.60326964 1.         0.60205522 0.42978339 0.        ]
 [0.66001274 1.         0.1145494  0.         0.77574705]]"
29,"[[0.82825974 1.         0.69030518 0.3004379  0.        ]
 [1.         0.80178446 0.2405806  0.29581598 0.        ]
 [1.         0.15743222 0.45212607 0.10597638 0.        ]
 [0.         1.         0.79407031 0.71844053 0.59019577]
 [1.         0.67808262 0.48991706 0.44283961 0.        ]]"
30,"[[1.         0.56292963 0.64852969 0.97216075 0.        ]
 [1.         0.86117662 0.         0.76153392 0.81099539]
 [1.         0.57179064 0.69164959 0.         0.42169287]
 [1.         0.         0.66609261 0.80424279 0.30559352]
 [1.         0.9444469  0.42091244 0.3914002  0.        ]]"
31,"[[1.         0.30932706 0.22222357 0.27624415 0.        ]
 [1.         0.77309406 0.14897864 0.59016875 0.        ]
 [1.         0.21670034 0.11843917 0.09744429 0.        ]
 [0.74372547 1.         0.36901586 0.         0.48550621]
 [1.         0.41614836 0.21526236 0.20616338 0.        ]]"
32,"[[1.         0.74696925 0.3336844  0.         0.08136368]
 [1.         0.68448606 0.87793162 0.3647325  0.        ]
 [0.73767514 1.         0.69840733 0.13787258 0.        ]
 [1.         0.75006901 0.64234551 0.39332956 0.        ]
 [1.         0.56262118 0.15403287 0.408884   0.        ]]"
33,"[[1.         0.95268809 0.81874497 0.         0.04134271]
 [1.         0.73783006 0.91835284 0.125437   0.        ]
 [0.7223982  0.85874006 1.         0.         0.89966173]
 [0.58019359 0.88576567 1.         0.05588537 0.        ]
 [1.         0.97387174 0.86673119 0.17683467 0.        ]]"
34,"[[0.8647319  0.08991257 1.         0.         0.27692096]
 [1.         0.35842437 0.60422552 0.12791397 0.        ]
 [0.80456564 1.         0.36040743 0.         0.04557705]
 [1.         0.48726262 0.19397023 0.18989585 0.        ]
 [1.         0.74578915 0.46019807 0.29316882 0.        ]]"
