,id,val_index,size,valuation,algo,distortion
0,1,1,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
1,2,1,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
2,3,1,5,theta1unitrange,modified_max_matching,1.0
3,4,2,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
4,5,2,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
5,6,2,5,theta1unitrange,modified_max_matching,1.0
6,7,3,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
7,8,3,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
8,9,3,5,theta1unitrange,modified_max_matching,1.0515257945097458
9,10,4,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
10,11,4,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
11,12,4,5,theta1unitrange,modified_max_matching,1.0329083201714675
12,13,5,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
13,14,5,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
14,15,5,5,theta1unitrange,modified_max_matching,1.0204361917310065
15,16,6,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
16,17,6,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
17,18,6,5,theta1unitrange,modified_max_matching,1.0
18,19,7,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
19,20,7,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
20,21,7,5,theta1unitrange,modified_max_matching,1.0
21,22,8,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
22,23,8,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
23,24,8,5,theta1unitrange,modified_max_matching,1.0
24,25,9,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
25,26,9,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
26,27,9,5,theta1unitrange,modified_max_matching,1.0
27,28,10,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
28,29,10,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
29,30,10,5,theta1unitrange,modified_max_matching,1.0
30,31,11,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
31,32,11,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
32,33,11,5,theta1unitrange,modified_max_matching,0.9999999999999999
33,34,12,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0687054888229723
34,35,12,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
35,36,12,5,theta1unitrange,modified_max_matching,1.0687054888229723
36,37,13,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.051921756139392
37,38,13,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
38,39,13,5,theta1unitrange,modified_max_matching,1.051921756139392
39,40,14,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal1,1.0
40,41,14,5,theta1unitrange,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
41,42,14,5,theta1unitrange,modified_max_matching,1.073271391222936
