,0
1,"[[0.19689334 0.10754178 1.         0.         0.96321233]
 [0.85239155 1.         0.41805587 0.47070358 0.        ]
 [0.81649119 0.28051718 1.         0.02169969 0.        ]
 [0.56786109 1.         0.8823118  0.         0.11416132]
 [0.17746249 1.         0.40640857 0.39188745 0.        ]]"
2,"[[0.25338052 1.         0.         0.03579651 0.98640207]
 [1.         0.41718476 0.37744522 0.         0.3178032 ]
 [1.         0.80901227 0.60724298 0.         0.93296635]
 [1.         0.56072552 0.94712472 0.         0.25061191]
 [1.         0.99640597 0.16532535 0.58680325 0.        ]]"
3,"[[1.         0.94971971 0.67249057 0.         0.10377235]
 [1.         0.08005756 0.31518569 0.94660085 0.        ]
 [0.367155   1.         0.6851342  0.64960761 0.        ]
 [1.         0.54113204 0.55878513 0.         0.29624734]
 [0.53163879 1.         0.42209003 0.29812629 0.        ]]"
4,"[[0.63567789 0.         0.55049782 1.         0.18372767]
 [0.84007255 1.         0.62421696 0.         0.25428657]
 [0.87111918 1.         0.14782894 0.07067631 0.        ]
 [1.         0.81393725 0.69089553 0.30791387 0.        ]
 [1.         0.86753556 0.56520255 0.44220442 0.        ]]"
5,"[[1.         0.94762413 0.91868012 0.40921733 0.        ]
 [0.66187105 1.         0.39351746 0.14448164 0.        ]
 [1.         0.70322337 0.02742501 0.61021217 0.        ]
 [1.         0.02980371 0.         0.5178081  0.76435647]
 [1.         0.91707216 0.25497426 0.69794982 0.        ]]"
6,"[[1.         0.90196011 0.59486961 0.0447335  0.        ]
 [0.12227594 0.07333595 0.21363311 0.         1.        ]
 [1.         0.81944632 0.7104243  0.         0.54131307]
 [0.49395276 1.         0.34354559 0.10001684 0.        ]
 [1.         0.74981971 0.25504661 0.         0.12328133]]"
7,"[[1.         0.83866098 0.44492255 0.15809532 0.        ]
 [0.86382507 1.         0.         0.48922951 0.68763935]
 [1.         0.31494385 0.22580832 0.9518811  0.        ]
 [1.         0.14874958 0.76364776 0.86072331 0.        ]
 [0.47106158 1.         0.08808393 0.29506854 0.        ]]"
8,"[[1.         0.72157391 0.26903759 0.         0.23469968]
 [0.52499969 0.43396455 1.         0.         0.37094348]
 [1.         0.95108195 0.19067007 0.26908458 0.        ]
 [0.65207788 1.         0.06643734 0.         0.40008582]
 [1.         0.71748294 0.31204215 0.28808028 0.        ]]"
9,"[[0.69517619 1.         0.81561877 0.03600712 0.        ]
 [1.         0.69653275 0.35240899 0.00290009 0.        ]
 [1.         0.98890409 0.76296595 0.94751056 0.        ]
 [1.         0.98126759 0.39981429 0.00904558 0.        ]
 [0.87487515 1.         0.32678431 0.         0.39510674]]"
10,"[[0.68425566 0.90399729 1.         0.16135094 0.        ]
 [0.97824702 0.26290107 0.         0.15638656 1.        ]
 [1.         0.88813374 0.51892066 0.         0.40480711]
 [1.         0.39178552 0.29142945 0.00574513 0.        ]
 [1.         0.78160174 0.16177953 0.         0.75580375]]"
11,"[[0.30488699 1.         0.2807581  0.84463043 0.        ]
 [1.         0.893248   0.         0.76850396 0.44312887]
 [1.         0.65967936 0.58353486 0.48194143 0.        ]
 [1.         0.87608714 0.49339984 0.         0.45124162]
 [1.         0.85021754 0.13212251 0.         0.11136486]]"
12,"[[1.         0.69932345 0.27577285 0.         0.16547181]
 [1.         0.89369919 0.91819879 0.50209831 0.        ]
 [1.         0.64289018 0.33531443 0.21627666 0.        ]
 [1.         0.74579393 0.         0.13740509 0.22794486]
 [1.         0.54432589 0.69944204 0.49830789 0.        ]]"
13,"[[1.         0.75259921 0.66287348 0.21109931 0.        ]
 [1.         0.92352229 0.20243242 0.11091016 0.        ]
 [1.         0.11109818 0.59361283 0.18319345 0.        ]
 [1.         0.54614007 0.34221008 0.         0.19831171]
 [1.         0.87698081 0.87565433 0.7474119  0.        ]]"
14,"[[0.92613461 1.         0.53459355 0.         0.50857022]
 [1.         0.98703884 0.44175701 0.82902428 0.        ]
 [0.62020827 0.29858367 1.         0.         0.77508238]
 [1.         0.67524    0.20984305 0.56761982 0.        ]
 [1.         0.92562028 0.27379163 0.10095429 0.        ]]"
15,"[[1.         0.89477586 0.46942637 0.         0.18526204]
 [1.         0.49386944 0.42619463 0.06902918 0.        ]
 [1.         0.79166714 0.21345164 0.         0.35948611]
 [1.         0.69172781 0.13264873 0.11552316 0.        ]
 [0.31684152 1.         0.30160821 0.2840067  0.        ]]"
16,"[[1.         0.83267518 0.42809349 0.14482387 0.        ]
 [0.45098201 0.29112269 1.         0.92070211 0.        ]
 [1.         0.56579699 0.4953218  0.         0.23681541]
 [1.         0.91618184 0.87350453 0.         0.67278747]
 [1.         0.50205697 0.14627417 0.         0.98008212]]"
17,"[[1.         0.82986604 0.3918645  0.01459309 0.        ]
 [1.         0.05421354 0.82388603 0.         0.38618889]
 [0.62208406 0.53394153 0.         1.         0.2920644 ]
 [1.         0.66181229 0.44791427 0.54217579 0.        ]
 [1.         0.63290596 0.24676103 0.29279321 0.        ]]"
18,"[[1.         0.71431684 0.01033529 0.44709619 0.        ]
 [1.         0.76828586 0.         0.26151917 0.21326572]
 [0.93399657 0.14851582 1.         0.69935809 0.        ]
 [1.         0.80178111 0.03841072 0.6479008  0.        ]
 [0.91795889 0.24969641 1.         0.34478893 0.        ]]"
19,"[[1.         0.51035221 0.73429548 0.         0.44946221]
 [0.73982113 1.         0.52401892 0.         0.08667011]
 [1.         0.651214   0.52691375 0.34910518 0.        ]
 [0.43254052 1.         0.24758419 0.         0.42356462]
 [1.         0.83755688 0.80169405 0.         0.01579754]]"
20,"[[1.00000000e+00 9.13617851e-01 3.47467762e-01 3.23992671e-01
  0.00000000e+00]
 [1.00000000e+00 3.89621294e-01 7.10844319e-01 0.00000000e+00
  6.12710636e-04]
 [1.00000000e+00 7.52202559e-01 4.29472651e-01 4.75620225e-01
  0.00000000e+00]
 [5.14913400e-01 1.00000000e+00 9.06066712e-02 1.16838984e-01
  0.00000000e+00]
 [5.20631745e-01 8.19041986e-01 1.00000000e+00 8.63619308e-01
  0.00000000e+00]]"
21,"[[1.         0.53718176 0.47776069 0.16917952 0.        ]
 [0.37620948 1.         0.         0.69443931 0.25234757]
 [1.         0.85803681 0.55131733 0.18430642 0.        ]
 [1.         0.77811411 0.8448607  0.21285729 0.        ]
 [1.         0.68823713 0.87717981 0.07956613 0.        ]]"
22,"[[1.         0.43946541 0.         0.09347396 0.21649485]
 [1.         0.96479425 0.79179008 0.21552153 0.        ]
 [0.7595986  1.         0.51302054 0.28605696 0.        ]
 [1.         0.76686248 0.         0.56617379 0.04852321]
 [1.         0.25639191 0.15180667 0.04597225 0.        ]]"
23,"[[0.80191262 0.07491374 1.         0.         0.2425575 ]
 [1.         0.85111339 0.48348828 0.         0.1693253 ]
 [0.95935742 1.         0.05885029 0.01018606 0.        ]
 [0.54852951 0.21732987 1.         0.0079615  0.        ]
 [1.         0.82377031 0.21125672 0.         0.88642053]]"
24,"[[1.         0.9265728  0.48939862 0.70207185 0.        ]
 [1.         0.99977959 0.50711749 0.24357245 0.        ]
 [1.         0.23820289 0.76615169 0.13485242 0.        ]
 [0.57565775 0.52329585 1.         0.65547289 0.        ]
 [1.         0.54073229 0.89619169 0.         0.66820921]]"
25,"[[1.         0.61798042 0.17947831 0.43347326 0.        ]
 [0.57576756 1.         0.18255995 0.92611394 0.        ]
 [1.         0.96589503 0.         0.72448368 0.57556371]
 [0.96020738 1.         0.92579315 0.81498997 0.        ]
 [0.31865843 1.         0.25217229 0.14612611 0.        ]]"
26,"[[1.         0.44994111 0.35944122 0.         0.25421343]
 [1.         0.02817056 0.51060174 0.36909679 0.        ]
 [0.09004729 1.         0.35127844 0.         0.02786288]
 [1.         0.68095512 0.66541372 0.08445145 0.        ]
 [1.         0.73976882 0.52105327 0.4388577  0.        ]]"
27,"[[0.97576517 0.2317917  0.81322092 1.         0.        ]
 [0.69643603 0.67771674 1.         0.         0.29620368]
 [1.         0.99977724 0.49630208 0.58304996 0.        ]
 [0.64044278 0.63688134 1.         0.53785945 0.        ]
 [1.         0.69791209 0.52431486 0.35995098 0.        ]]"
28,"[[0.94146275 0.45214534 1.         0.72263177 0.        ]
 [1.         0.86971246 0.67082714 0.95256482 0.        ]
 [1.         0.60744366 0.23092685 0.4110549  0.        ]
 [0.80772689 1.         0.69988061 0.00171774 0.        ]
 [0.80231113 1.         0.63390259 0.         0.91931488]]"
29,"[[0.58582861 1.         0.27274365 0.25439822 0.        ]
 [1.         0.53326534 0.48626527 0.50731845 0.        ]
 [1.         0.33180091 0.97292716 0.24323252 0.        ]
 [0.         1.         0.92123251 0.61401944 0.11910013]
 [1.         0.82386301 0.72629208 0.33031987 0.        ]]"
30,"[[1.         0.05351852 0.05818601 0.31869147 0.        ]
 [1.         0.92323977 0.         0.24374564 0.67020973]
 [1.         0.79003174 0.89337493 0.         0.17531331]
 [1.         0.         0.18635812 0.8755776  0.07582253]
 [1.         0.82757896 0.50070356 0.29960046 0.        ]]"
31,"[[1.         0.79984029 0.29075546 0.37218133 0.        ]
 [1.         0.51368838 0.00853277 0.29321438 0.        ]
 [1.         0.98189292 0.74874262 0.6044259  0.        ]
 [0.60835984 1.         0.35372438 0.         0.56023754]
 [1.         0.97485434 0.328469   0.19442239 0.        ]]"
32,"[[1.         0.982259   0.74903086 0.         0.72993272]
 [1.         0.44825511 0.84700233 0.16872208 0.        ]
 [0.47469375 1.         0.46598695 0.45876324 0.        ]
 [1.         0.45532964 0.44033557 0.29256263 0.        ]
 [1.         0.91764157 0.04452135 0.42089027 0.        ]]"
33,"[[1.         0.83951691 0.80457372 0.         0.53639047]
 [1.         0.20854764 0.96679217 0.17847768 0.        ]
 [0.34304356 0.48416723 1.         0.         0.59625168]
 [0.38632663 0.50982533 1.         0.21988013 0.        ]
 [1.         0.84843597 0.79086131 0.10614607 0.        ]]"
34,"[[0.61813772 0.03940238 1.         0.         0.60080956]
 [1.         0.41091562 0.61271942 0.26379491 0.        ]
 [0.47416783 1.         0.21612828 0.         0.19548495]
 [1.         0.46387593 0.4436197  0.08972908 0.        ]
 [1.         0.9830474  0.84494892 0.48154072 0.        ]]"
35,"[[1.         0.36712592 0.19556508 0.         0.78863321]
 [1.         0.62786976 0.64061265 0.48889865 0.        ]
 [0.76859841 1.         0.24744826 0.00186543 0.        ]
 [0.10791283 0.78488843 1.         0.10300796 0.        ]
 [1.         0.51144853 0.         0.6489869  0.5927936 ]]"
36,"[[0.85932497 1.         0.40938251 0.145438   0.        ]
 [0.89491772 0.87549462 1.         0.19838148 0.        ]
 [1.         0.14409374 0.09398563 0.         0.10439491]
 [1.         0.63668028 0.02805736 0.98724352 0.        ]
 [1.         0.85588699 0.50261361 0.0494907  0.        ]]"
37,"[[1.         0.48070491 0.35166919 0.32436773 0.        ]
 [1.         0.03579536 0.69974004 0.03289605 0.        ]
 [1.         0.82576027 0.72574109 0.         0.09617922]
 [0.26621339 0.57650922 1.         0.59366213 0.        ]
 [1.         0.52326238 0.7013883  0.         0.09550224]]"
38,"[[0.62651362 1.         0.90971408 0.         0.56976466]
 [0.68902437 1.         0.69281066 0.         0.25881104]
 [0.10719692 1.         0.12162059 0.07698242 0.        ]
 [1.         0.46386516 0.40294662 0.08833704 0.        ]
 [1.         0.88157898 0.         0.26438572 0.718533  ]]"
39,"[[0.00000000e+00 6.05508543e-01 1.00000000e+00 5.11679632e-01
  1.31295320e-01]
 [8.13542904e-01 7.60115377e-01 0.00000000e+00 1.00000000e+00
  4.85915540e-01]
 [1.00000000e+00 4.08925857e-01 4.00058075e-01 3.33665105e-04
  0.00000000e+00]
 [1.00000000e+00 9.51095264e-01 4.22468613e-01 7.85569791e-01
  0.00000000e+00]
 [4.14177962e-01 2.43241201e-01 6.58022138e-01 0.00000000e+00
  1.00000000e+00]]"
