,id,val_index,size,valuation,algo,distortion
0,1,1,5,theta1unitrange,serial_dictatorship,1.2658954406449343
1,2,1,5,theta1unitrange,ttc_matching,1.0388161315917113
2,3,1,5,theta1unitrange,epsilon_max_matching rank_maximal1,1.0
3,4,1,5,theta1unitrange,epsilon_max_matching rank_maximal0.1,1.0
4,5,1,5,theta1unitrange,modified_max_matching,1.2658954406449343
5,6,2,5,theta1unitrange,serial_dictatorship,1.860247228489533
6,7,2,5,theta1unitrange,ttc_matching,1.0184615805498625
7,8,2,5,theta1unitrange,epsilon_max_matching rank_maximal1,1.0
8,9,2,5,theta1unitrange,epsilon_max_matching rank_maximal0.1,1.0
9,10,2,5,theta1unitrange,modified_max_matching,1.860247228489533
10,11,3,5,theta1unitrange,serial_dictatorship,1.6141734257611744
11,12,3,5,theta1unitrange,ttc_matching,1.1134497238585854
12,13,3,5,theta1unitrange,epsilon_max_matching rank_maximal1,1.0
13,14,3,5,theta1unitrange,epsilon_max_matching rank_maximal0.1,1.0
14,15,3,5,theta1unitrange,modified_max_matching,1.6141734257611744
15,16,4,5,theta1unitrange,serial_dictatorship,1.2203175473201946
16,17,4,5,theta1unitrange,ttc_matching,1.0848059607946225
17,18,4,5,theta1unitrange,epsilon_max_matching rank_maximal1,1.0
18,19,4,5,theta1unitrange,epsilon_max_matching rank_maximal0.1,1.0
19,20,4,5,theta1unitrange,modified_max_matching,1.2203175473201946
20,21,5,5,theta1unitrange,serial_dictatorship,1.2380987866899784
21,22,5,5,theta1unitrange,ttc_matching,1.0553745205088962
22,23,5,5,theta1unitrange,epsilon_max_matching rank_maximal1,1.0
23,24,5,5,theta1unitrange,epsilon_max_matching rank_maximal0.1,1.0
24,25,5,5,theta1unitrange,modified_max_matching,1.2380987866899784
25,26,6,5,theta1unitrange,serial_dictatorship,1.3038335286859968
26,27,6,5,theta1unitrange,ttc_matching,1.1312128355004796
27,28,6,5,theta1unitrange,epsilon_max_matching rank_maximal1,1.0
28,29,6,5,theta1unitrange,epsilon_max_matching rank_maximal0.1,1.0
29,30,6,5,theta1unitrange,modified_max_matching,1.303833528685997
30,31,7,5,theta1unitrange,serial_dictatorship,1.3008943886438025
31,32,7,5,theta1unitrange,ttc_matching,1.3008943886438025
32,33,7,5,theta1unitrange,epsilon_max_matching rank_maximal1,0.9999999999999999
33,34,7,5,theta1unitrange,epsilon_max_matching rank_maximal0.1,0.9999999999999999
34,35,7,5,theta1unitrange,modified_max_matching,1.3008943886438025
35,36,8,5,theta1unitrange,serial_dictatorship,1.7478125449895328
36,37,8,5,theta1unitrange,ttc_matching,1.1832857269198165
37,38,8,5,theta1unitrange,epsilon_max_matching rank_maximal1,1.0
38,39,8,5,theta1unitrange,epsilon_max_matching rank_maximal0.1,1.0
