,0
1,"[[0.45246537 0.09912594 1.         0.         0.50138531]
 [0.78063299 1.         0.05496522 0.13034434 0.        ]
 [0.86003624 0.54768373 1.         0.23318119 0.        ]
 [0.59822225 1.         0.66706897 0.         0.54625869]
 [0.20001343 1.         0.99956992 0.72656356 0.        ]]"
2,"[[0.80574913 1.         0.         0.59036728 0.93150045]
 [1.         0.96123007 0.76958948 0.         0.14411852]
 [1.         0.67385226 0.4268695  0.         0.70275529]
 [1.         0.69923898 0.7152127  0.         0.48670801]
 [1.         0.46527111 0.28101325 0.32736503 0.        ]]"
3,"[[1.         0.86054069 0.40613426 0.         0.244779  ]
 [1.         0.32329936 0.36328122 0.82196801 0.        ]
 [0.20941514 1.         0.74795797 0.68080204 0.        ]
 [1.         0.89517238 0.93609824 0.         0.21068863]
 [0.50200613 1.         0.49346504 0.15340046 0.        ]]"
4,"[[0.94060135 0.         0.70531281 1.         0.2314819 ]
 [0.62689129 1.         0.19601993 0.         0.15231988]
 [0.58645307 1.         0.37036606 0.27420132 0.        ]
 [1.         0.8353656  0.20263826 0.15407081 0.        ]
 [1.         0.15363345 0.13599003 0.09740272 0.        ]]"
5,"[[1.         0.71692358 0.5126422  0.48564312 0.        ]
 [0.74724679 1.         0.60409086 0.34598206 0.        ]
 [1.         0.58002911 0.07321076 0.12466881 0.        ]
 [1.         0.08990642 0.         0.46632225 0.62709391]
 [1.         0.81718126 0.26403911 0.36439916 0.        ]]"
6,"[[1.         0.88987341 0.86520762 0.52395512 0.        ]
 [0.47958984 0.34957838 0.52584238 0.         1.        ]
 [1.         0.86146251 0.54380019 0.         0.42189851]
 [0.89208709 1.         0.39992477 0.09640587 0.        ]
 [1.         0.88373104 0.63346295 0.         0.58033782]]"
7,"[[1.         0.83702101 0.55354852 0.27251713 0.        ]
 [0.92531157 1.         0.         0.21270498 0.79464409]
 [1.         0.45859684 0.03565577 0.76793497 0.        ]
 [1.         0.03349475 0.16816812 0.18968519 0.        ]
 [0.62692306 1.         0.09505668 0.57901631 0.        ]]"
8,"[[1.         0.78235951 0.66941137 0.         0.26177167]
 [0.92228624 0.61678515 1.         0.         0.38729245]
 [1.         0.74247759 0.41501984 0.44482477 0.        ]
 [0.6395326  1.         0.16624996 0.         0.52077582]
 [1.         0.68756722 0.29446776 0.1146107  0.        ]]"
9,"[[0.65517667 1.         0.88313106 0.29756016 0.        ]
 [1.         0.68520028 0.60958136 0.01729644 0.        ]
 [1.         0.90344791 0.50551718 0.86845459 0.        ]
 [1.         0.92459484 0.83494024 0.5990188  0.        ]
 [0.75592242 1.         0.18423321 0.         0.27603242]]"
10,"[[0.75817052 0.88209583 1.         0.64822142 0.        ]
 [0.9178034  0.90251226 0.         0.16529717 1.        ]
 [1.         0.97524824 0.74890592 0.         0.58283345]
 [1.         0.54117398 0.15362494 0.08926627 0.        ]
 [1.         0.99671136 0.38852094 0.         0.88005292]]"
