,0
1,"[[0.18157085 0.14377978 0.36362445 0.05396268 0.25706224]
 [0.27610698 0.41191425 0.04894298 0.21730153 0.04573425]
 [0.25522394 0.23835787 0.31224946 0.12494101 0.06922773]
 [0.16133542 0.39153286 0.30456096 0.06498893 0.07758183]
 [0.14388016 0.35786184 0.26571015 0.17167416 0.06087368]]"
2,"[[0.18769452 0.30043996 0.14119487 0.14183592 0.22883474]
 [0.30024028 0.2994033  0.20602208 0.05907725 0.13525709]
 [0.43630029 0.18579029 0.09885369 0.05579148 0.22326424]
 [0.27133879 0.23226354 0.23465365 0.08165652 0.18008749]
 [0.26845072 0.24099185 0.20536352 0.22107977 0.06411413]]"
3,"[[0.3163193  0.21292801 0.18432046 0.10317617 0.18325605]
 [0.26865277 0.17284838 0.24952657 0.26783685 0.04113544]
 [0.15323272 0.26541373 0.24941453 0.22182085 0.11011817]
 [0.28352203 0.24238997 0.24631144 0.09532144 0.13245512]
 [0.26187693 0.28087085 0.22203723 0.22046245 0.01475255]]"
4,"[[0.33664883 0.02160096 0.21778839 0.35986184 0.06409998]
 [0.27111117 0.40383309 0.23888263 0.02008263 0.06609048]
 [0.27082951 0.34048711 0.15162202 0.12439923 0.11266213]
 [0.27935371 0.22020776 0.19957837 0.18121621 0.11964395]
 [0.32506446 0.30303789 0.23991521 0.10195806 0.03002439]]"
5,"[[0.32534744 0.32330469 0.20306419 0.09260635 0.05567733]
 [0.31650273 0.39255173 0.18546984 0.05981611 0.04565958]
 [0.29281241 0.25906901 0.13365785 0.21107241 0.10338832]
 [0.43100068 0.03491741 0.00187048 0.13192227 0.40028915]
 [0.38921874 0.33222208 0.06048379 0.169806   0.0482694 ]]"
6,"[[0.37677095 0.28998524 0.18678233 0.08054117 0.06592031]
 [0.22842626 0.15318749 0.25954491 0.05810428 0.30073706]
 [0.26299914 0.21140387 0.18545973 0.16125321 0.17888405]
 [0.32729878 0.35142078 0.23187584 0.0850453  0.0043593 ]
 [0.50800712 0.24217192 0.12044825 0.01951031 0.10986239]]"
7,"[[0.35579658 0.33243003 0.22073584 0.07085196 0.02018559]
 [0.23866742 0.2753475  0.13341902 0.17233064 0.18023542]
 [0.31097715 0.22662989 0.12710733 0.30273904 0.03254659]
 [0.33696245 0.11250821 0.18926691 0.31765941 0.04360302]
 [0.41204837 0.44927031 0.05730889 0.08045109 0.00092133]]"
8,"[[0.27891563 0.25352457 0.22700853 0.03034062 0.21021066]
 [0.27785699 0.24877587 0.29183178 0.07995274 0.10158262]
 [0.2937665  0.20603377 0.17269064 0.19060273 0.13690636]
 [0.31270364 0.34947578 0.03067682 0.00965537 0.2974884 ]
 [0.26601884 0.24618048 0.2149583  0.21148936 0.06135302]]"
9,"[[0.23092839 0.28006038 0.24040656 0.16475396 0.08385071]
 [0.29743439 0.26567874 0.19980337 0.15513322 0.08195028]
 [0.54426181 0.16603058 0.12704304 0.14342937 0.01923521]
 [0.3069583  0.27236972 0.17664709 0.16409684 0.07992805]
 [0.29437931 0.29647857 0.10525254 0.07740732 0.22648226]]"
10,"[[0.18670475 0.18685583 0.4764073  0.14547519 0.00455692]
 [0.27640204 0.26423309 0.0315285  0.14938422 0.27845215]
 [0.30550779 0.23516585 0.16167794 0.13758822 0.1600602 ]
 [0.46029733 0.33225873 0.12954324 0.04607748 0.03182322]
 [0.28314614 0.279357   0.18304803 0.0012161  0.25323273]]"
