1,"[[0.18185403 0.07248334 0.42397215 0.0420896  0.27960086]
 [0.22143072 0.35034759 0.130071   0.20576798 0.0923827 ]
 [0.29901252 0.19934749 0.31151615 0.11482462 0.07529922]
 [0.23340805 0.35824729 0.23713916 0.02199679 0.14920871]
 [0.14931663 0.32618018 0.23087816 0.18839666 0.10522836]]"
2,"[[0.24868968 0.28489468 0.0454144  0.14486708 0.27613417]
 [0.39703477 0.31072418 0.18151158 0.0527318  0.05799768]
 [0.40168379 0.14366836 0.06151957 0.04891806 0.34421022]
 [0.34682071 0.22230074 0.26171115 0.0484006  0.1207668 ]
 [0.33669273 0.22290529 0.16863516 0.17629956 0.09546726]]"
3,"[[0.28216982 0.23955339 0.16503249 0.15528897 0.15795533]
 [0.31567545 0.13465679 0.15296743 0.26694993 0.1297504 ]
 [0.0805598  0.37579345 0.25465712 0.22086542 0.0681242 ]
 [0.31517823 0.15022433 0.27539524 0.12803068 0.13117152]
 [0.22449812 0.24863267 0.18477306 0.18286862 0.15922753]]"
4,"[[0.27424103 0.0034811  0.20727901 0.31498914 0.20000972]
 [0.24329595 0.25673872 0.23741215 0.1289089  0.13364428]
 [0.27482464 0.48340663 0.20734419 0.02695122 0.00747332]
 [0.32046167 0.31097206 0.19769407 0.10136476 0.06950744]
 [0.32699096 0.24950319 0.22137524 0.14141036 0.06072025]]"
5,"[[0.23806009 0.21891253 0.21260666 0.19575084 0.13466987]
 [0.30139609 0.32714067 0.20953598 0.08298064 0.07894662]
 [0.45557026 0.319786   0.05284652 0.12363651 0.04816071]
 [0.254729   0.1606482  0.09276937 0.24035426 0.25149917]
 [0.32316334 0.29148567 0.11838332 0.22586478 0.0411029 ]]"
6,"[[0.29333406 0.22849965 0.21697942 0.15151745 0.10966942]
 [0.23290709 0.13372562 0.25575821 0.11405291 0.26355617]
 [0.2685064  0.24148699 0.23950165 0.03407949 0.21642547]
 [0.22916719 0.4585344  0.16955702 0.10094914 0.04179225]
 [0.36017909 0.32793466 0.13388882 0.04767358 0.13032385]]"
7,"[[0.47696054 0.20959189 0.13015284 0.12316109 0.06013363]
 [0.22698343 0.32328058 0.07435262 0.1542003  0.22118307]
 [0.38124309 0.16972085 0.04435559 0.36540382 0.03927665]
 [0.24596462 0.21393095 0.23357903 0.23629831 0.07022709]
 [0.28970573 0.31684495 0.08211408 0.27383309 0.03750215]]"
8,"[[0.30082933 0.29104802 0.19444619 0.06009847 0.15357799]
 [0.25219427 0.15768541 0.38332597 0.06265073 0.14414361]
 [0.29366572 0.19292627 0.16715318 0.19229418 0.15396065]
 [0.26666835 0.2668311  0.20309748 0.02411798 0.23928509]
 [0.36703242 0.29223435 0.21350824 0.0671317  0.06009329]]"
9,"[[0.2197467  0.38415409 0.22613302 0.15518078 0.01478542]
 [0.40373121 0.21400672 0.18203882 0.17576385 0.02445941]
 [0.28390142 0.25700258 0.1492353  0.22885328 0.08100742]
 [0.24751753 0.20436216 0.20284506 0.17697312 0.16830214]
 [0.28680143 0.41481966 0.08887779 0.01788807 0.19161305]]"
10,"[[0.27405665 0.2871788  0.29016477 0.10999834 0.03860144]
 [0.27452455 0.21528849 0.07567815 0.1326082  0.30190061]
 [0.27388388 0.25052225 0.20607622 0.06605987 0.20345779]
 [0.57223543 0.16876861 0.15031965 0.06712264 0.04155368]
 [0.33316103 0.30621371 0.07204251 0.00972378 0.27885898]]"
11,"[[0.14253299 0.39851579 0.11293811 0.24725553 0.09875758]
 [0.33912616 0.27130619 0.10564145 0.16593622 0.11798999]
 [0.42536925 0.3032987  0.14985912 0.11151467 0.00995825]
 [0.28433897 0.25029014 0.24350119 0.07631942 0.14555029]
 [0.34683141 0.27743774 0.15980145 0.06789818 0.14803122]]"
12,"[[0.30526646 0.23600076 0.20497862 0.11606843 0.13768573]
 [0.29886077 0.19981677 0.27400171 0.18737548 0.03994527]
 [0.33924996 0.32036477 0.26584272 0.07301608 0.00152646]
 [0.30976781 0.26657919 0.06948516 0.13577494 0.21839289]
 [0.28100432 0.20743713 0.22622937 0.15951195 0.12581723]]"
13,"[[0.33012949 0.26287976 0.2293277  0.16712149 0.01054156]
 [0.52030534 0.25286656 0.11407798 0.05941321 0.05333691]
 [0.34356929 0.11096517 0.28075255 0.25863105 0.00608195]
 [0.39028021 0.22652182 0.17077747 0.08154093 0.13087957]
 [0.24683749 0.23804998 0.21554229 0.2149508  0.08461944]]"
