,id,val_index,size,valuation,algo,distortion
0,1,1,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
1,2,1,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
2,3,1,,theta1unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
3,4,2,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
4,5,2,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
5,6,2,,theta1unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
6,7,3,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
7,8,3,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
8,9,3,,theta1unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0774376435861743
9,10,4,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0225612479257518
10,11,4,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
11,12,4,,theta1unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0225612479257518
12,13,5,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
13,14,5,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
14,15,5,,theta1unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
15,16,6,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
16,17,6,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
17,18,6,,theta1unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
18,19,7,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
19,20,7,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
20,21,7,,theta1unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
21,22,8,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
22,23,8,5.0,theta1unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
23,24,8,,theta1unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
