,id,val_index,size,valuation,algo,distortion
0,1,1,5.0,theta1unitsum,serial_dictatorship,1.263317807458674
1,2,1,5.0,theta1unitsum,ttc_matching,1.1420023634424197
2,3,1,5.0,theta1unitsum,epsilon_max_matching rank_maximal1,1.0
3,4,1,5.0,theta1unitsum,epsilon_max_matching rank_maximal0.1,1.0
4,5,1,,theta1unitsum,twothirds_max_matching rank_maximal,1.0
5,6,2,5.0,theta1unitsum,serial_dictatorship,1.8414902995925109
6,7,2,5.0,theta1unitsum,ttc_matching,1.0002164497297026
7,8,2,5.0,theta1unitsum,epsilon_max_matching rank_maximal1,1.0
8,9,2,5.0,theta1unitsum,epsilon_max_matching rank_maximal0.1,1.0
9,10,2,,theta1unitsum,twothirds_max_matching rank_maximal,1.0
10,11,3,5.0,theta1unitsum,serial_dictatorship,1.705389553834112
11,12,3,5.0,theta1unitsum,ttc_matching,1.0346289390042713
12,13,3,5.0,theta1unitsum,epsilon_max_matching rank_maximal1,1.0
13,14,3,5.0,theta1unitsum,epsilon_max_matching rank_maximal0.1,1.0
14,15,3,,theta1unitsum,twothirds_max_matching rank_maximal,1.1625288914934744
15,16,4,5.0,theta1unitsum,serial_dictatorship,1.5077969867336445
16,17,4,5.0,theta1unitsum,ttc_matching,1.1663287336574448
17,18,4,5.0,theta1unitsum,epsilon_max_matching rank_maximal1,0.9999999999999999
18,19,4,5.0,theta1unitsum,epsilon_max_matching rank_maximal0.1,0.9999999999999999
19,20,4,,theta1unitsum,twothirds_max_matching rank_maximal,1.175237525534015
20,21,5,5.0,theta1unitsum,serial_dictatorship,1.5820158628365326
21,22,5,5.0,theta1unitsum,ttc_matching,1.2736469257033218
22,23,5,5.0,theta1unitsum,epsilon_max_matching rank_maximal1,1.0
23,24,5,5.0,theta1unitsum,epsilon_max_matching rank_maximal0.1,1.0
24,25,5,,theta1unitsum,twothirds_max_matching rank_maximal,0.9999999999999998
25,26,6,5.0,theta1unitsum,serial_dictatorship,1.8191974986375419
26,27,6,5.0,theta1unitsum,ttc_matching,1.4533489212928452
