,0
1,"[[0.25192676 0.1737139  0.28144059 0.03380792 0.25911083]
 [0.2190469  0.28666978 0.15474699 0.19050736 0.14902897]
 [0.32708673 0.2759417  0.34361681 0.04486411 0.00849065]
 [0.18348863 0.4288645  0.19798235 0.09009337 0.09957115]
 [0.16385358 0.2845231  0.21350009 0.17887477 0.15924847]]"
2,"[[0.20079715 0.329269   0.03120281 0.18729757 0.25143347]
 [0.34968003 0.31694725 0.25086299 0.02876676 0.05374297]
 [0.41177302 0.13051054 0.12171906 0.00711024 0.32888714]
 [0.32788214 0.24359536 0.2714738  0.0204858  0.13656291]
 [0.33101956 0.24350403 0.14982129 0.15600468 0.11965045]]"
3,"[[0.4198808  0.28370963 0.26495689 0.01532261 0.01613007]
 [0.44005139 0.0701981  0.08110259 0.34095416 0.06769375]
 [0.07185024 0.33733647 0.30545303 0.23644046 0.04891979]
 [0.32390796 0.20679013 0.31429577 0.01259532 0.14241083]
 [0.18883617 0.38102609 0.17576019 0.1303278  0.12404975]]"
4,"[[0.25916057 0.03493876 0.25262067 0.33081556 0.12246444]
 [0.26203135 0.34601067 0.22641633 0.04195679 0.12358486]
 [0.30115093 0.31812083 0.29067608 0.07780428 0.01224788]
 [0.37497162 0.26182183 0.14591117 0.13816864 0.07912674]
 [0.54195245 0.30282032 0.09513668 0.04052866 0.01956188]]"
5,"[[0.25847525 0.22175552 0.21462858 0.20358062 0.10156003]
 [0.24228069 0.25661486 0.2277032  0.17852023 0.09488103]
 [0.32217741 0.28005106 0.17916959 0.21321891 0.00538302]
 [0.47488876 0.13606522 0.07023591 0.14516852 0.17364159]
 [0.36758712 0.3496682  0.05263551 0.20542528 0.0246839 ]]"
6,"[[0.27417237 0.23550484 0.23084472 0.15959928 0.09987879]
 [0.16657969 0.16499048 0.18798974 0.09204153 0.38839855]
 [0.44015743 0.29944389 0.15323436 0.03542746 0.07173686]
 [0.18442004 0.47016631 0.15832647 0.11389856 0.07318862]
 [0.28780162 0.22255222 0.21630853 0.05910108 0.21423655]]"
7,"[[0.2962293  0.26712835 0.18619135 0.14666381 0.10378719]
 [0.28911773 0.29066331 0.05923958 0.12913254 0.23184685]
 [0.28119448 0.23671739 0.15345061 0.24934486 0.07929266]
 [0.2733917  0.13399823 0.2421192  0.26684318 0.08364769]
 [0.25300216 0.39426809 0.10868743 0.24157649 0.00246584]]"
8,"[[0.3554532  0.25307828 0.17930294 0.0498061  0.16235949]
 [0.26045769 0.21467051 0.3069249  0.03428984 0.18365706]
 [0.28148208 0.27894798 0.11853662 0.25819223 0.06284109]
 [0.28055004 0.37138675 0.08453072 0.0644376  0.19909489]
 [0.34096592 0.32141409 0.30077906 0.01981199 0.01702893]]"
9,"[[0.18951141 0.33252962 0.21933432 0.13552841 0.12309624]
 [0.38218698 0.24124981 0.17162895 0.12035551 0.08457874]
 [0.24182716 0.22170588 0.16624523 0.21735812 0.15286361]
 [0.30594241 0.25745929 0.22053595 0.19995053 0.01611182]
 [0.24699619 0.43118809 0.07531165 0.02496234 0.22154173]]"
10,"[[0.22595593 0.24681628 0.25985331 0.13400929 0.1333652 ]
 [0.19588587 0.07223321 0.0121566  0.04030729 0.67941703]
 [0.31629235 0.23122592 0.17113093 0.12198817 0.15936264]
 [0.28661932 0.2420505  0.23885189 0.2222303  0.01024799]
 [0.44616716 0.29755164 0.1068613  0.02231551 0.12710439]]"
