,id,val_index,size,valuation,algo,distortion
0,1,1,5,theta5unitrange,serial_dictatorship,1.1883873411379569
1,2,1,5,theta5unitrange,ttc_matching,1.1883873411379569
2,3,1,5,theta5unitrange,epsilon_max_matching pareto1,0.9999999999999999
3,4,1,5,theta5unitrange,epsilon_max_matching pareto0.1,1.002838564339871
4,5,1,5,theta5unitrange,modified_max_matching,1.2129002765191133
5,6,2,5,theta5unitrange,serial_dictatorship,1.1765074310962615
6,7,2,5,theta5unitrange,ttc_matching,1.1765074310962615
7,8,2,5,theta5unitrange,epsilon_max_matching pareto1,1.0
8,9,2,5,theta5unitrange,epsilon_max_matching pareto0.1,1.0
9,10,2,5,theta5unitrange,modified_max_matching,1.030129498268821
10,11,3,5,theta5unitrange,serial_dictatorship,1.014336521392533
11,12,3,5,theta5unitrange,ttc_matching,1.014336521392533
12,13,3,5,theta5unitrange,epsilon_max_matching pareto1,1.0
13,14,3,5,theta5unitrange,epsilon_max_matching pareto0.1,1.0
14,15,3,5,theta5unitrange,modified_max_matching,1.1515717838601744
15,16,4,5,theta5unitrange,serial_dictatorship,1.1361863546455155
16,17,4,5,theta5unitrange,ttc_matching,1.1361863546455155
17,18,4,5,theta5unitrange,epsilon_max_matching pareto1,1.0892632910560973
18,19,4,5,theta5unitrange,epsilon_max_matching pareto0.1,0.9999999999999999
19,20,4,5,theta5unitrange,modified_max_matching,1.0398200128372979
20,21,5,5,theta5unitrange,serial_dictatorship,1.2714193170173649
21,22,5,5,theta5unitrange,ttc_matching,1.2714193170173649
22,23,5,5,theta5unitrange,epsilon_max_matching pareto1,1.0
23,24,5,5,theta5unitrange,epsilon_max_matching pareto0.1,1.0
24,25,5,5,theta5unitrange,modified_max_matching,1.0748420692704848
25,26,6,5,theta5unitrange,serial_dictatorship,1.471429893440704
26,27,6,5,theta5unitrange,ttc_matching,1.471429893440704
27,28,6,5,theta5unitrange,epsilon_max_matching pareto1,1.0083573893747286
28,29,6,5,theta5unitrange,epsilon_max_matching pareto0.1,1.0
29,30,6,5,theta5unitrange,modified_max_matching,1.0480679641808452
30,31,7,5,theta5unitrange,serial_dictatorship,1.199081723121031
31,32,7,5,theta5unitrange,ttc_matching,1.199081723121031
32,33,7,5,theta5unitrange,epsilon_max_matching pareto1,1.0195624594716504
33,34,7,5,theta5unitrange,epsilon_max_matching pareto0.1,1.0013663339736196
34,35,7,5,theta5unitrange,modified_max_matching,1.1234793622758417
35,36,8,5,theta5unitrange,serial_dictatorship,1.190080595833103
36,37,8,5,theta5unitrange,ttc_matching,1.190080595833103
37,38,8,5,theta5unitrange,epsilon_max_matching pareto1,1.044402425752432
38,39,8,5,theta5unitrange,epsilon_max_matching pareto0.1,1.0
39,40,8,5,theta5unitrange,modified_max_matching,1.044402425752432
40,41,9,5,theta5unitrange,serial_dictatorship,1.2608287976684494
41,42,9,5,theta5unitrange,ttc_matching,1.2608287976684494
42,43,9,5,theta5unitrange,epsilon_max_matching pareto1,1.0621574267011176
43,44,9,5,theta5unitrange,epsilon_max_matching pareto0.1,0.9999999999999999
44,45,9,5,theta5unitrange,modified_max_matching,1.0562483220946322
45,46,10,5,theta5unitrange,serial_dictatorship,1.5207097734523627
46,47,10,5,theta5unitrange,ttc_matching,1.5207097734523627
47,48,10,5,theta5unitrange,epsilon_max_matching pareto1,0.9999999999999999
48,49,10,5,theta5unitrange,epsilon_max_matching pareto0.1,0.9999999999999999
49,50,10,5,theta5unitrange,modified_max_matching,1.074235587753558
50,51,11,5,theta5unitrange,serial_dictatorship,1.0820337894853524
51,52,11,5,theta5unitrange,ttc_matching,1.0820337894853524
52,53,11,5,theta5unitrange,epsilon_max_matching pareto1,1.0
