,id,val_index,size,valuation,algo,distortion
0,1,1,5,theta5unitrange,epsilon_max_matching fair1,1.0
1,2,1,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
2,3,1,5,theta5unitrange,modified_max_matching,1.1290677703485414
3,4,2,5,theta5unitrange,epsilon_max_matching fair1,1.000051572116047
4,5,2,5,theta5unitrange,epsilon_max_matching fair0.1,0.9999999999999999
5,6,2,5,theta5unitrange,modified_max_matching,1.0991675368627785
6,7,3,5,theta5unitrange,epsilon_max_matching fair1,1.0575853346991733
7,8,3,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
8,9,3,5,theta5unitrange,modified_max_matching,1.1154317755912326
9,10,4,5,theta5unitrange,epsilon_max_matching fair1,1.0
10,11,4,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
11,12,4,5,theta5unitrange,modified_max_matching,1.0865482805049558
12,13,5,5,theta5unitrange,epsilon_max_matching fair1,1.0903524597668104
13,14,5,5,theta5unitrange,epsilon_max_matching fair0.1,1.0041027542292063
14,15,5,5,theta5unitrange,modified_max_matching,1.0625906965848173
15,16,6,5,theta5unitrange,epsilon_max_matching fair1,1.0
16,17,6,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
17,18,6,5,theta5unitrange,modified_max_matching,1.0548181666773377
18,19,7,5,theta5unitrange,epsilon_max_matching fair1,1.0307462644588032
19,20,7,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
20,21,7,5,theta5unitrange,modified_max_matching,1.079866150070302
21,22,8,5,theta5unitrange,epsilon_max_matching fair1,1.0
22,23,8,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
23,24,8,5,theta5unitrange,modified_max_matching,1.0
24,25,9,5,theta5unitrange,epsilon_max_matching fair1,1.016838579588986
25,26,9,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
26,27,9,5,theta5unitrange,modified_max_matching,1.2546317593426377
27,28,10,5,theta5unitrange,epsilon_max_matching fair1,1.1038106891103139
28,29,10,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
29,30,10,5,theta5unitrange,modified_max_matching,1.1038106891103139
30,31,11,5,theta5unitrange,epsilon_max_matching fair1,1.0
31,32,11,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
32,33,11,5,theta5unitrange,modified_max_matching,1.1797501610434882
33,34,12,5,theta5unitrange,epsilon_max_matching fair1,1.0714856020511891
34,35,12,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
35,36,12,5,theta5unitrange,modified_max_matching,1.1055875250968557
36,37,13,5,theta5unitrange,epsilon_max_matching fair1,1.0
37,38,13,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
38,39,13,5,theta5unitrange,modified_max_matching,1.18113197102961
39,40,14,5,theta5unitrange,epsilon_max_matching fair1,1.0046311088148068
40,41,14,5,theta5unitrange,epsilon_max_matching fair0.1,0.9999999999999998
41,42,14,5,theta5unitrange,modified_max_matching,1.0046311088148068
42,43,15,5,theta5unitrange,epsilon_max_matching fair1,1.003754304054444
43,44,15,5,theta5unitrange,epsilon_max_matching fair0.1,1.003754304054444
44,45,15,5,theta5unitrange,modified_max_matching,1.003754304054444
45,46,16,5,theta5unitrange,epsilon_max_matching fair1,1.0146050183096225
46,47,16,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
47,48,16,5,theta5unitrange,modified_max_matching,1.1270521894121728
48,49,17,5,theta5unitrange,epsilon_max_matching fair1,1.0557047600186658
49,50,17,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
50,51,17,5,theta5unitrange,modified_max_matching,1.1395458883523597
51,52,18,5,theta5unitrange,epsilon_max_matching fair1,1.0
52,53,18,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
53,54,18,5,theta5unitrange,modified_max_matching,1.1226559539156014
54,55,19,5,theta5unitrange,epsilon_max_matching fair1,1.0
55,56,19,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
56,57,19,5,theta5unitrange,modified_max_matching,1.0
57,58,20,5,theta5unitrange,epsilon_max_matching fair1,1.0940766013095304
58,59,20,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
59,60,20,5,theta5unitrange,modified_max_matching,1.123483315294792
60,61,21,5,theta5unitrange,epsilon_max_matching fair1,1.0
61,62,21,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
62,63,21,5,theta5unitrange,modified_max_matching,1.0
63,64,22,5,theta5unitrange,epsilon_max_matching fair1,1.0458879797098382
64,65,22,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
65,66,22,5,theta5unitrange,modified_max_matching,1.178685531444724
66,67,23,5,theta5unitrange,epsilon_max_matching fair1,1.0798659894479505
67,68,23,5,theta5unitrange,epsilon_max_matching fair0.1,0.9999999999999999
68,69,23,5,theta5unitrange,modified_max_matching,0.9999999999999999
69,70,24,5,theta5unitrange,epsilon_max_matching fair1,1.0136344879663641
70,71,24,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
71,72,24,5,theta5unitrange,modified_max_matching,1.0136344879663641
72,73,25,5,theta5unitrange,epsilon_max_matching fair1,1.0458531769675723
73,74,25,5,theta5unitrange,epsilon_max_matching fair0.1,1.0000000000000002
74,75,25,5,theta5unitrange,modified_max_matching,1.0458531769675723
75,76,26,5,theta5unitrange,epsilon_max_matching fair1,1.0616640609400607
76,77,26,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
77,78,26,5,theta5unitrange,modified_max_matching,1.0361721440446883
78,79,27,5,theta5unitrange,epsilon_max_matching fair1,1.1143669224052724
79,80,27,5,theta5unitrange,epsilon_max_matching fair0.1,1.0000000000000002
80,81,27,5,theta5unitrange,modified_max_matching,1.0265355284250521
81,82,28,5,theta5unitrange,epsilon_max_matching fair1,1.0
82,83,28,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
83,84,28,5,theta5unitrange,modified_max_matching,1.0968939508757094
84,85,29,5,theta5unitrange,epsilon_max_matching fair1,1.0
85,86,29,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
86,87,29,5,theta5unitrange,modified_max_matching,1.1077270748086165
87,88,30,5,theta5unitrange,epsilon_max_matching fair1,1.0
88,89,30,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
89,90,30,5,theta5unitrange,modified_max_matching,1.0306580280089466
90,91,31,5,theta5unitrange,epsilon_max_matching fair1,1.00290545739495
91,92,31,5,theta5unitrange,epsilon_max_matching fair0.1,1.00290545739495
92,93,31,5,theta5unitrange,modified_max_matching,1.0351449780859967
93,94,32,5,theta5unitrange,epsilon_max_matching fair1,1.0
94,95,32,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
95,96,32,5,theta5unitrange,modified_max_matching,1.0
96,97,33,5,theta5unitrange,epsilon_max_matching fair1,1.0
97,98,33,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
98,99,33,5,theta5unitrange,modified_max_matching,1.1475539811958244
99,100,34,5,theta5unitrange,epsilon_max_matching fair1,1.062838403760638
100,101,34,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
101,102,34,5,theta5unitrange,modified_max_matching,1.1095160201012384
102,103,35,5,theta5unitrange,epsilon_max_matching fair1,1.0757942720171416
103,104,35,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
104,105,35,5,theta5unitrange,modified_max_matching,1.183370430921665
105,106,36,5,theta5unitrange,epsilon_max_matching fair1,1.0069744750339662
106,107,36,5,theta5unitrange,epsilon_max_matching fair0.1,1.0069744750339662
107,108,36,5,theta5unitrange,modified_max_matching,1.0069744750339662
108,109,37,5,theta5unitrange,epsilon_max_matching fair1,1.0
109,110,37,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
110,111,37,5,theta5unitrange,modified_max_matching,1.2396419369791414
111,112,38,5,theta5unitrange,epsilon_max_matching fair1,1.0310094604240445
112,113,38,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
113,114,38,5,theta5unitrange,modified_max_matching,1.2119772591726026
114,115,39,5,theta5unitrange,epsilon_max_matching fair1,1.0
115,116,39,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
116,117,39,5,theta5unitrange,modified_max_matching,1.0963017547760194
117,118,40,5,theta5unitrange,epsilon_max_matching fair1,1.106354007873225
118,119,40,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
119,120,40,5,theta5unitrange,modified_max_matching,1.106354007873225
120,121,41,5,theta5unitrange,epsilon_max_matching fair1,1.0
121,122,41,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
122,123,41,5,theta5unitrange,modified_max_matching,1.15854736415393
123,124,42,5,theta5unitrange,epsilon_max_matching fair1,1.0527591901074322
124,125,42,5,theta5unitrange,epsilon_max_matching fair0.1,1.0
