1,"[[1.         0.8139372  0.48477761 0.33181588 0.        ]
 [1.         0.8676159  0.84024196 0.40925759 0.        ]
 [1.         0.87977756 0.7966834  0.27492412 0.        ]
 [1.         0.70255154 0.69571942 0.21836303 0.        ]
 [1.         0.92981368 0.50883765 0.29195106 0.        ]]"
2,"[[1.         0.72339178 0.68662485 0.23771992 0.        ]
 [1.         0.59522901 0.15861211 0.13831937 0.        ]
 [1.         0.91767616 0.91340571 0.20728689 0.        ]
 [1.         0.45203054 0.40707704 0.19514473 0.        ]
 [1.         0.59320124 0.47614596 0.0547314  0.        ]]"
3,"[[1.         0.78794038 0.05371054 0.00758496 0.        ]
 [1.         0.65307053 0.34333852 0.13580626 0.        ]
 [1.         0.96202075 0.669571   0.60360477 0.        ]
 [1.         0.70211808 0.45330671 0.15689537 0.        ]
 [1.         0.93159537 0.61732463 0.37550266 0.        ]]"
4,"[[1.         0.96612549 0.46919028 0.17698419 0.        ]
 [1.         0.79618382 0.52769134 0.4346611  0.        ]
 [1.         0.53209331 0.52382277 0.08790289 0.        ]
 [1.         0.91085072 0.46605059 0.31059038 0.        ]
 [1.         0.85702854 0.60751564 0.08070076 0.        ]]"
5,"[[1.         0.82859348 0.18919339 0.0964213  0.        ]
 [1.         0.99229212 0.61995087 0.00844092 0.        ]
 [1.         0.56688158 0.56016435 0.51216006 0.        ]
 [1.         0.96699962 0.77870714 0.30297563 0.        ]
 [1.         0.70598359 0.67799333 0.18960658 0.        ]]"
6,"[[1.         0.97689772 0.73474809 0.64876969 0.        ]
 [1.         0.90188997 0.44633894 0.07569986 0.        ]
 [1.         0.66899521 0.60878249 0.57089641 0.        ]
 [1.         0.86034387 0.46087551 0.10956532 0.        ]
 [1.         0.63749946 0.20914905 0.09742663 0.        ]]"
7,"[[1.         0.53675094 0.19474638 0.10335037 0.        ]
 [1.         0.70869295 0.2606989  0.25159997 0.        ]
 [1.         0.51754598 0.21939502 0.03047966 0.        ]
 [1.         0.78883694 0.41480888 0.26826977 0.        ]
 [1.         0.19492693 0.08738529 0.08300517 0.        ]]"
8,"[[0.93226179 1.         0.28445266 0.13701141 0.        ]
 [1.         0.9985747  0.64533785 0.15133459 0.        ]
 [1.         0.99931804 0.67645662 0.59349091 0.        ]
 [1.         0.47316282 0.43270443 0.21789904 0.        ]
 [1.         0.34808327 0.27736048 0.00831998 0.        ]]"
9,"[[1.         0.74427535 0.2324066  0.09596223 0.        ]
 [1.         0.55325864 0.53473592 0.3759708  0.        ]
 [1.         0.85285122 0.85039775 0.47763881 0.        ]
 [1.         0.26168091 0.14164772 0.02028841 0.        ]
 [1.         0.85953051 0.45439454 0.39175063 0.        ]]"
10,"[[1.         0.75069868 0.39312947 0.2749337  0.        ]
 [1.         0.90102705 0.71348897 0.563351   0.        ]
 [1.         0.62493562 0.60744436 0.49613869 0.        ]
 [1.         0.52524821 0.22076943 0.01865429 0.        ]
 [1.         0.90106294 0.70248735 0.00704161 0.        ]]"
11,"[[1.         0.88525449 0.67223325 0.29439497 0.        ]
 [1.         0.91059532 0.45307028 0.21633011 0.        ]
 [1.         0.99346455 0.58817758 0.24554397 0.        ]
 [1.         0.71122289 0.279706   0.24150477 0.        ]
 [1.         0.8701881  0.54880072 0.09626817 0.        ]]"
12,"[[1.         0.63855639 0.39563868 0.0923882  0.        ]
 [1.         0.8844631  0.43015449 0.30536082 0.        ]
 [1.         0.86128738 0.5162598  0.42634895 0.        ]
 [1.         0.86647719 0.8497516  0.21328715 0.        ]
 [1.         0.91859581 0.78611638 0.41693609 0.        ]]"
13,"[[1.         0.76363647 0.65572476 0.15955214 0.        ]
 [1.         0.68074512 0.21614926 0.0530462  0.        ]
 [1.         0.96813756 0.29470903 0.18747842 0.        ]
 [1.         0.70849753 0.36414486 0.05530852 0.        ]
 [1.         0.79872309 0.64465987 0.33176248 0.        ]]"
14,"[[1.         0.9357981  0.67635279 0.40793866 0.        ]
 [1.         0.81360469 0.68973767 0.42405225 0.        ]
 [1.         0.37511061 0.20801117 0.10185038 0.        ]
 [1.         0.90658111 0.22558955 0.21319021 0.        ]
 [1.         0.9367369  0.56395302 0.09630683 0.        ]]"
15,"[[1.         0.53863497 0.39393613 0.21382119 0.        ]
 [1.         0.86480739 0.61378146 0.36926961 0.        ]
 [1.         0.80179424 0.76023633 0.63121675 0.        ]
 [1.         0.79191686 0.08520086 0.06845816 0.        ]
 [1.         0.74647645 0.52550075 0.46655623 0.        ]]"
16,"[[1.         0.78285654 0.64998896 0.38381074 0.        ]
 [1.         0.92611762 0.71135313 0.42994952 0.        ]
 [1.         0.86901473 0.81639329 0.17387091 0.        ]
 [1.         0.8725376  0.34425857 0.10152486 0.        ]
 [1.         0.95909854 0.85031171 0.19992651 0.        ]]"
17,"[[1.         0.10441878 0.0509115  0.03669105 0.        ]
 [1.         0.97421057 0.67949556 0.08840307 0.        ]
 [1.         0.96640318 0.86950515 0.50884564 0.        ]
 [1.         0.55330766 0.53725317 0.02574046 0.        ]
 [1.         0.96087789 0.86905685 0.12019907 0.        ]]"
18,"[[1.         0.35607937 0.16241877 0.09403761 0.        ]
 [1.         0.84459589 0.53566989 0.08671661 0.        ]
 [1.         0.50168928 0.14312146 0.1375527  0.        ]
 [1.         0.57910818 0.50009528 0.11149157 0.        ]
 [1.         0.48165704 0.46808498 0.03208091 0.        ]]"
19,"[[1.         0.57301904 0.35251649 0.07074144 0.        ]
 [1.         0.49462765 0.12322721 0.09512405 0.        ]
 [1.         0.9233353  0.25492577 0.04754269 0.        ]
 [1.         0.73301015 0.18124339 0.08010405 0.        ]
 [1.         0.94924222 0.93076255 0.65978246 0.        ]]"
20,"[[1.         0.82947181 0.46164927 0.08028831 0.        ]
 [1.         0.92857639 0.39773682 0.23117781 0.        ]
 [1.         0.84636016 0.11341976 0.53434587 0.        ]
 [1.         0.92717243 0.87976497 0.42676348 0.        ]
 [1.         0.80638422 0.47051257 0.03326473 0.        ]]"
21,"[[1.         0.97657346 0.88414554 0.88332501 0.        ]
 [1.         0.53528808 0.42474982 0.17840589 0.        ]
 [1.         0.92948923 0.32146551 0.14972358 0.        ]
 [1.         0.47721513 0.47657813 0.13822381 0.        ]
 [1.         0.73342267 0.58374327 0.29712651 0.        ]]"
22,"[[1.         0.72095752 0.28162993 0.22675817 0.        ]
 [1.         0.81349998 0.37701416 0.30039468 0.        ]
 [1.         0.53809191 0.45879439 0.21400833 0.        ]
 [1.         0.72886318 0.3188947  0.0377258  0.        ]
 [1.         0.31875988 0.28477931 0.20218339 0.        ]]"
23,"[[1.         0.66232084 0.44345608 0.0355944  0.        ]
 [1.         0.93231664 0.80447933 0.65058108 0.        ]
 [1.         0.9220955  0.62020979 0.00478405 0.        ]
 [1.         0.70045917 0.30210542 0.15631637 0.        ]
 [1.         0.87731657 0.52917774 0.48731609 0.        ]]"
24,"[[1.         0.46697274 0.18811976 0.1346757  0.        ]
 [1.         0.60869847 0.19293255 0.12327082 0.        ]
 [1.         0.97488794 0.41767656 0.3466364  0.        ]
 [1.         0.63782935 0.49089783 0.488212   0.        ]
 [1.         0.76738308 0.74650768 0.07894865 0.        ]]"
25,"[[1.         0.98280221 0.91314277 0.88118765 0.        ]
 [1.         0.7524481  0.55085784 0.17009381 0.        ]
 [1.         0.82345402 0.40852379 0.1275159  0.        ]
 [1.         0.84438044 0.69597652 0.02635024 0.        ]
 [1.         0.95395978 0.90166994 0.57629096 0.        ]]"
26,"[[1.         0.92143406 0.42406957 0.42328947 0.        ]
 [1.         0.63306798 0.10777671 0.08011248 0.        ]
 [1.         0.57675525 0.46429166 0.45408802 0.        ]
 [1.         0.61906558 0.19392309 0.10566577 0.        ]
 [1.         0.25004159 0.18473567 0.14013244 0.        ]]"
27,"[[1.         0.91961788 0.69361432 0.4756625  0.        ]
 [1.         0.88741887 0.87421186 0.31172566 0.        ]
 [1.         0.83257451 0.67271026 0.11675415 0.        ]
 [1.         0.48564531 0.18656774 0.05662979 0.        ]
 [1.         0.98551285 0.75916078 0.4738243  0.        ]]"
28,"[[1.         0.68536017 0.21272371 0.12139267 0.        ]
 [1.         0.86420208 0.71493467 0.12125722 0.        ]
 [1.         0.61553417 0.48241157 0.34844659 0.        ]
 [1.         0.99748675 0.80171465 0.11492037 0.        ]
 [1.         0.36727693 0.32718643 0.00866332 0.        ]]"
29,"[[1.         0.16465538 0.0524314  0.01095283 0.        ]
 [1.         0.6991876  0.42467347 0.07845917 0.        ]
 [1.         0.67511994 0.61651155 0.15725395 0.        ]
 [1.         0.77081067 0.10365657 0.08567957 0.        ]
 [1.         0.65986343 0.53261453 0.43240618 0.        ]]"
30,"[[1.         0.71574585 0.69729361 0.69273666 0.        ]
 [1.         0.7515778  0.59173635 0.47222502 0.        ]
 [0.84098136 1.         0.7762303  0.35226364 0.        ]
 [1.         0.36504989 0.32678486 0.06649416 0.        ]
 [1.         0.88216205 0.87304387 0.5745142  0.        ]]"
31,"[[1.         0.74696347 0.60027335 0.48055858 0.        ]
 [1.         0.72974092 0.66330683 0.35362401 0.        ]
 [1.         0.83279994 0.82007423 0.47840554 0.        ]
 [1.         0.96867351 0.69330628 0.01383266 0.        ]
 [1.         0.68686592 0.42404962 0.02900397 0.        ]]"
32,"[[1.         0.9804327  0.60508082 0.36301067 0.        ]
 [1.         0.23563481 0.20240943 0.14791583 0.        ]
 [1.         0.81256312 0.40556918 0.24305829 0.        ]
 [1.         0.5196463  0.33663623 0.32093095 0.        ]
 [1.         0.95474262 0.50283518 0.15641022 0.        ]]"
33,"[[1.         0.75601794 0.47040937 0.18811205 0.        ]
 [1.         0.91140495 0.14560977 0.00530597 0.        ]
 [1.         0.95542082 0.74825312 0.63168876 0.        ]
 [1.         0.84143519 0.81308276 0.15174987 0.        ]
 [1.         0.84627044 0.57781202 0.2792398  0.        ]]"
34,"[[1.         0.98201016 0.41728402 0.21628422 0.        ]
 [1.         0.54981818 0.33697976 0.24856182 0.        ]
 [1.         0.82127085 0.38623246 0.30029886 0.        ]
 [1.         0.19592126 0.15090456 0.0768565  0.        ]
 [1.         0.84297694 0.69607713 0.16700227 0.        ]]"
35,"[[1.         0.88298898 0.77898443 0.61029898 0.        ]
 [1.         0.99398037 0.85811176 0.31708448 0.        ]
 [1.         0.53953631 0.40142919 0.26576567 0.        ]
 [1.         0.43810208 0.35316338 0.29029097 0.        ]
 [1.         0.98827107 0.42046631 0.3174878  0.        ]]"
36,"[[1.         0.39576505 0.28998769 0.21593712 0.        ]
 [1.         0.97633121 0.91059187 0.7045855  0.        ]
 [1.         0.91484558 0.83959271 0.00907027 0.        ]
 [1.         0.91195057 0.18305313 0.07174681 0.        ]
 [1.         0.86353335 0.80528128 0.18165035 0.        ]]"
37,"[[1.         0.79629396 0.66551707 0.38321919 0.        ]
 [1.         0.99633942 0.44426273 0.21983015 0.        ]
 [1.         0.92033235 0.51661142 0.         0.24219214]
 [1.         0.92458397 0.38273448 0.25689082 0.        ]
 [1.         0.67150405 0.4017497  0.25798056 0.        ]]"
