,id,val_index,size,valuation,algo,distortion
0,1,1,5.0,theta5unitsum,serial_dictatorship,1.0461337351028905
1,2,1,5.0,theta5unitsum,ttc_matching,1.0461337351028905
2,3,1,5.0,theta5unitsum,epsilon_max_matching fair1,1.0
3,4,1,5.0,theta5unitsum,epsilon_max_matching fair0.1,1.0
4,5,1,,theta5unitsum,twothirds_max_matching fair,1.5357200388954462
5,6,2,5.0,theta5unitsum,serial_dictatorship,1.3682627989370866
6,7,2,5.0,theta5unitsum,ttc_matching,1.3682627989370866
7,8,2,5.0,theta5unitsum,epsilon_max_matching fair1,1.0
8,9,2,5.0,theta5unitsum,epsilon_max_matching fair0.1,1.0
9,10,2,,theta5unitsum,twothirds_max_matching fair,1.2263204387254059
10,11,3,5.0,theta5unitsum,serial_dictatorship,1.2285273709040077
11,12,3,5.0,theta5unitsum,ttc_matching,1.2285273709040077
12,13,3,5.0,theta5unitsum,epsilon_max_matching fair1,1.0
13,14,3,5.0,theta5unitsum,epsilon_max_matching fair0.1,1.0
14,15,3,,theta5unitsum,twothirds_max_matching fair,1.0
15,16,4,5.0,theta5unitsum,serial_dictatorship,1.1909624700317043
16,17,4,5.0,theta5unitsum,ttc_matching,1.1909624700317043
17,18,4,5.0,theta5unitsum,epsilon_max_matching fair1,1.0
18,19,4,5.0,theta5unitsum,epsilon_max_matching fair0.1,1.0
19,20,4,,theta5unitsum,twothirds_max_matching fair,1.3395516321779937
20,21,5,5.0,theta5unitsum,serial_dictatorship,1.3652797580643616
21,22,5,5.0,theta5unitsum,ttc_matching,1.3652797580643616
22,23,5,5.0,theta5unitsum,epsilon_max_matching fair1,1.0000000000000004
23,24,5,5.0,theta5unitsum,epsilon_max_matching fair0.1,1.0000000000000004
24,25,5,,theta5unitsum,twothirds_max_matching fair,1.169691390057894
25,26,6,5.0,theta5unitsum,serial_dictatorship,1.348829927303875
26,27,6,5.0,theta5unitsum,ttc_matching,1.348829927303875
27,28,6,5.0,theta5unitsum,epsilon_max_matching fair1,1.0
