,0
1,"[[0.25485533 0.25905319 0.33900711 0.08829938 0.05878499]
 [0.2209267  0.2594086  0.27701776 0.15072872 0.09191823]
 [0.26290011 0.29775149 0.36333386 0.07197507 0.00403948]
 [0.28075032 0.29105972 0.31041993 0.06953632 0.0482337 ]
 [0.18233761 0.20029881 0.2977628  0.16148833 0.15811245]]"
2,"[[0.03263169 0.20971447 0.1292007  0.52368663 0.10476652]
 [0.10279415 0.26111465 0.22699666 0.28469632 0.12439823]
 [0.0899288  0.24370863 0.20829039 0.25005257 0.20801961]
 [0.08044537 0.31339119 0.15398078 0.36594412 0.08623854]
 [0.05699695 0.31302551 0.21428156 0.31880087 0.0968951 ]]"
3,"[[0.22210888 0.18648075 0.17002719 0.19323486 0.22814831]
 [0.2134388  0.1196837  0.01386855 0.19348701 0.45952194]
 [0.30996314 0.12197741 0.10738244 0.14091107 0.31976594]
 [0.27964787 0.13773685 0.06519556 0.22649605 0.29092367]
 [0.25150291 0.14407494 0.08043173 0.17729572 0.3466947 ]]"
4,"[[0.14877174 0.05548102 0.48055776 0.03666731 0.27852218]
 [0.230447   0.16737314 0.26459295 0.10136323 0.23622369]
 [0.25629267 0.15231152 0.31748142 0.00429753 0.26961687]
 [0.22396615 0.18591269 0.24590472 0.10945607 0.23476037]
 [0.18793556 0.18306782 0.27913662 0.09910962 0.25075038]]"
5,"[[0.30954496 0.24603898 0.39377498 0.02651164 0.02412944]
 [0.26623379 0.24917341 0.28744551 0.10813605 0.08901124]
 [0.22990473 0.22144302 0.2336262  0.19004136 0.12498469]
 [0.39832742 0.14704402 0.4081327  0.03218045 0.01431541]
 [0.22989563 0.12436434 0.53608234 0.06808905 0.04156865]]"
6,"[[0.31417623 0.14756117 0.11995826 0.05986962 0.35843471]
 [0.24548391 0.16175396 0.13392381 0.1047086  0.35412973]
 [0.24226958 0.1678376  0.07149995 0.01856794 0.49982494]
 [0.31838648 0.21249878 0.15964755 0.05744983 0.25201736]
 [0.29434104 0.14110579 0.10680054 0.0343694  0.42338323]]"
7,"[[0.02197675 0.25175396 0.37136792 0.29833156 0.0565698 ]
 [0.05722705 0.22356435 0.29135477 0.24577867 0.18207516]
 [0.01504122 0.15559627 0.4223139  0.28867864 0.11836997]
 [0.11013527 0.16729002 0.36894359 0.23069374 0.12293738]
 [0.11203061 0.19581164 0.28373948 0.24696073 0.16145754]]"
8,"[[0.21597551 0.24077513 0.30696852 0.1373122  0.09896864]
 [0.22536395 0.29236506 0.36720128 0.08676757 0.02830214]
 [0.23712677 0.30841164 0.33216548 0.09077872 0.03151739]
 [0.18495479 0.34057118 0.34222284 0.12509922 0.00715197]
 [0.2726002  0.27736049 0.29658489 0.132361   0.02109343]]"
9,"[[0.27579657 0.12402732 0.03530703 0.34128473 0.22358435]
 [0.25782311 0.15167227 0.13992688 0.28192488 0.16865287]
 [0.28729544 0.17129506 0.01875925 0.31863238 0.20401786]
 [0.24178223 0.13855795 0.10931297 0.27964832 0.23069853]
 [0.27992667 0.12998638 0.04916751 0.3368985  0.20402094]]"
10,"[[0.3633314  0.20422519 0.2244184  0.08807186 0.11995315]
 [0.35875744 0.20429706 0.3260855  0.04138611 0.06947389]
 [0.30581664 0.19427722 0.23233387 0.08272791 0.18484436]
 [0.26918814 0.19224307 0.19792152 0.15121514 0.18943214]
 [0.42927999 0.24181933 0.24629966 0.01615324 0.06644778]]"
11,"[[0.14406407 0.22353541 0.36878923 0.0500458  0.21356549]
 [0.11631671 0.31398884 0.36295573 0.08224099 0.12449772]
 [0.10590077 0.36493652 0.39322732 0.02305992 0.11287547]
 [0.18873101 0.20738317 0.27695977 0.12603812 0.20088793]
 [0.13232263 0.23798609 0.35055303 0.04531324 0.23382501]]"
12,"[[0.31293989 0.20007229 0.02623647 0.16959194 0.29115941]
 [0.35426402 0.22079149 0.00310885 0.16609964 0.255736  ]
 [0.22807622 0.20373628 0.15765235 0.20092897 0.20960617]
 [0.39130114 0.15764109 0.0524826  0.11755542 0.28101974]
 [0.30092708 0.16062551 0.10837018 0.14540542 0.2846718 ]]"
13,"[[0.34767159 0.03290292 0.39081836 0.10600794 0.1225992 ]
 [0.29687264 0.0509574  0.29986937 0.08899515 0.26330544]
 [0.27500066 0.00907655 0.35768618 0.15737155 0.20086506]
 [0.2445497  0.06331535 0.35758588 0.12629248 0.20825658]
 [0.32697004 0.0127104  0.44117229 0.09038333 0.12876395]]"
14,"[[0.17887592 0.2547018  0.36492586 0.05018677 0.15130965]
 [0.16742803 0.17823865 0.4371501  0.10773001 0.10945322]
 [0.15898278 0.31324923 0.39520787 0.03735799 0.09520213]
 [0.15910862 0.2306265  0.37125723 0.09848059 0.14052705]
 [0.24561028 0.24814288 0.26299825 0.05965677 0.18359183]]"
15,"[[0.1158893  0.16882622 0.23279216 0.23852655 0.24396578]
 [0.0864986  0.16412189 0.20476293 0.23786917 0.30674741]
 [0.07551768 0.10062835 0.19650245 0.30402554 0.32332598]
 [0.06644061 0.17300205 0.21398382 0.22817411 0.31839941]
 [0.06513154 0.11563076 0.19504834 0.29108705 0.33310231]]"
16,"[[0.18410006 0.24618384 0.10199032 0.23658539 0.23114039]
 [0.1115214  0.43540757 0.03421423 0.22480631 0.1940505 ]
 [0.14385661 0.27836222 0.02313582 0.27793182 0.27671353]
 [0.07658366 0.41658164 0.01343477 0.40962847 0.08377146]
 [0.18595047 0.23922625 0.14150067 0.23658829 0.19673432]]"
17,"[[0.35357249 0.07826061 0.11760034 0.18672145 0.2638451 ]
 [0.37384832 0.01159102 0.05743998 0.27206675 0.28505393]
 [0.26493307 0.02058787 0.2227108  0.24416059 0.24760766]
 [0.29477582 0.03336839 0.18481227 0.2424092  0.24463432]
 [0.27834548 0.06852939 0.1997923  0.22017309 0.23315974]]"
18,"[[0.17571512 0.17148878 0.32387436 0.24966189 0.07925984]
 [0.17748464 0.12679831 0.34285435 0.32694738 0.02591532]
 [0.20742879 0.12544685 0.38628341 0.21606557 0.06477537]
 [0.16711374 0.12577395 0.39966772 0.30491683 0.00252776]
 [0.10863224 0.10733184 0.36075321 0.3312148  0.0920679 ]]"
19,"[[0.13803215 0.43379516 0.18931402 0.20666986 0.03218881]
 [0.17976905 0.26099635 0.2465833  0.24886001 0.06379129]
 [0.06805499 0.47190284 0.14710792 0.25121749 0.06171676]
 [0.0494913  0.3637643  0.22524974 0.35777036 0.00372429]
 [0.21937401 0.30247907 0.22659389 0.22725362 0.0242994 ]]"
20,"[[0.29694979 0.2856487  0.09225862 0.20404114 0.12110175]
 [0.46653948 0.19900734 0.07888242 0.13699505 0.1185757 ]
 [0.39013498 0.20101293 0.12697379 0.1460572  0.1358211 ]
 [0.2845131  0.2528505  0.0997501  0.18385489 0.17903141]
 [0.36863882 0.23982739 0.03937533 0.23433234 0.11782612]]"
21,"[[0.26088922 0.27190444 0.1032314  0.3062149  0.05776004]
 [0.21889582 0.27562259 0.21714682 0.28703844 0.00129633]
 [0.22051686 0.31652585 0.13168318 0.31676962 0.01450449]
 [0.16694251 0.36478244 0.03560147 0.4277612  0.00491239]
 [0.18597533 0.25900772 0.14539174 0.40013971 0.00948551]]"
22,"[[0.01496455 0.2949077  0.32906423 0.27284463 0.08821889]
 [0.16033259 0.22891249 0.27482645 0.1694537  0.16647477]
 [0.05855645 0.21821693 0.30364471 0.21700808 0.20257383]
 [0.04163695 0.30704326 0.30726063 0.2503135  0.09374567]
 [0.10252766 0.24429583 0.27861882 0.20887388 0.16568382]]"
23,"[[0.30415166 0.0237018  0.26232747 0.24530224 0.16451683]
 [0.31546024 0.04843915 0.29649435 0.17312869 0.16647758]
 [0.25732609 0.06605843 0.25615307 0.2505452  0.16991721]
 [0.25489546 0.05513644 0.29753045 0.25187442 0.14056323]
 [0.31580384 0.05676941 0.26314915 0.19919779 0.16507981]]"
24,"[[0.23189424 0.31016295 0.06772282 0.01590013 0.37431987]
 [0.21285153 0.22453546 0.14317694 0.07039885 0.34903722]
 [0.18119979 0.25026807 0.13147984 0.08007736 0.35697494]
 [0.26041228 0.1863723  0.14180344 0.14063069 0.27078129]
 [0.20114115 0.20293846 0.18654341 0.13459575 0.27478123]]"
25,"[[0.28018125 0.16747354 0.05235038 0.29933316 0.20066167]
 [0.25275372 0.12891295 0.09899647 0.31610094 0.20323592]
 [0.3062233  0.10745291 0.09739306 0.31309162 0.1758391 ]
 [0.22934034 0.21377246 0.09848616 0.23551295 0.22288809]
 [0.27011276 0.13103503 0.09692458 0.32012872 0.18179891]]"
26,"[[0.15684316 0.13820767 0.24139364 0.22780887 0.23574666]
 [0.15187039 0.09709472 0.30388295 0.16922921 0.27792273]
 [0.07764554 0.00802739 0.40699662 0.20642711 0.30090334]
 [0.11770438 0.00103527 0.36012485 0.21944229 0.30169321]
 [0.09999942 0.08054683 0.32527943 0.23460122 0.2595731 ]]"
27,"[[0.05931781 0.11250137 0.5355667  0.11447793 0.1781362 ]
 [0.01212401 0.05970203 0.39482229 0.16460206 0.36874961]
 [0.1293779  0.17019076 0.27502012 0.17937033 0.2460409 ]
 [0.05652417 0.17698528 0.3233007  0.20406889 0.23912096]
 [0.00739698 0.0146225  0.47181667 0.18773885 0.318425  ]]"
28,"[[0.12984109 0.25588487 0.26628095 0.22581975 0.12217333]
 [0.12798839 0.29389481 0.3492866  0.13619299 0.09263721]
 [0.07494958 0.30421287 0.3793396  0.21291879 0.02857916]
 [0.16327698 0.22925187 0.30833525 0.17284552 0.12629038]
 [0.05208566 0.30106175 0.41279342 0.20802937 0.0260298 ]]"
29,"[[0.35585925 0.08820427 0.20160844 0.30923431 0.04509373]
 [0.42581886 0.05162359 0.24296335 0.27637944 0.00321476]
 [0.27604922 0.13447397 0.20413345 0.26330383 0.12203953]
 [0.2987391  0.1495567  0.1750993  0.24323845 0.13336645]
 [0.4165899  0.10636584 0.1566344  0.251654   0.06875586]]"
30,"[[0.26873765 0.20799966 0.30578361 0.17810384 0.03937524]
 [0.27950757 0.1894326  0.39820124 0.05955486 0.07330373]
 [0.31268826 0.19076764 0.36719587 0.08183127 0.04751696]
 [0.26815743 0.26488004 0.28685115 0.12340327 0.05670811]
 [0.26634303 0.2662638  0.28325526 0.11768443 0.06645348]]"
31,"[[0.04959591 0.17899628 0.26064656 0.26066897 0.25009228]
 [0.04024486 0.09309077 0.34257655 0.34442558 0.17966224]
 [0.00773396 0.03788571 0.51449982 0.38062012 0.05926039]
 [0.08325805 0.17103016 0.24763393 0.29724978 0.20082808]
 [0.01774914 0.19134382 0.2767185  0.29629432 0.21789422]]"
32,"[[0.08608992 0.36689325 0.12994083 0.27881201 0.13826398]
 [0.00216888 0.44312366 0.0443446  0.44192613 0.06843673]
 [0.05692062 0.30135379 0.1491263  0.26352638 0.22907291]
 [0.11717189 0.41962281 0.12560685 0.17607482 0.16152363]
 [0.0190058  0.29682848 0.20409018 0.2403784  0.23969714]]"
33,"[[0.32616331 0.18949798 0.08180429 0.36854922 0.0339852 ]
 [0.23963031 0.18993679 0.15491635 0.26641848 0.14909806]
 [0.19327985 0.17510582 0.17011302 0.29526109 0.16624022]
 [0.28976785 0.17397916 0.16920182 0.29316498 0.07388619]
 [0.22246242 0.21055551 0.14624816 0.38026802 0.04046589]]"
34,"[[0.3071418  0.03017965 0.22835505 0.24053899 0.19378451]
 [0.34391569 0.05419512 0.2180989  0.28931545 0.09447484]
 [0.39356517 0.07278222 0.12895978 0.32908194 0.07561089]
 [0.30736593 0.01243799 0.2545308  0.26097    0.16469528]
 [0.38308597 0.03251393 0.36121251 0.12754197 0.09564562]]"
35,"[[0.05405693 0.20864049 0.28062684 0.36421521 0.09246053]
 [0.08742332 0.18997076 0.25198119 0.3058959  0.16472882]
 [0.07387724 0.19381187 0.24313287 0.40598118 0.08319684]
 [0.10964243 0.21069381 0.22799811 0.30994267 0.14172299]
 [0.09037928 0.22728204 0.23484043 0.24131867 0.20617958]]"
36,"[[0.14923819 0.2873184  0.06798083 0.25545173 0.24001085]
 [0.13800476 0.33387167 0.06212682 0.27702147 0.18897527]
 [0.15412602 0.27883275 0.12935969 0.27395515 0.16372639]
 [0.13749632 0.3246902  0.07962555 0.24418745 0.21400049]
 [0.09156822 0.41916068 0.01099664 0.30954356 0.16873089]]"
