,0
1,"[[0.37369966 0.32468621 0.18358448 0.07598403 0.04204562]
 [0.36503631 0.30625818 0.19591831 0.11212462 0.02066258]
 [0.26208413 0.21676314 0.19729672 0.17649024 0.14736578]
 [0.2874256  0.27049189 0.25985326 0.10448218 0.07774707]
 [0.27760078 0.27479781 0.25477869 0.12742366 0.06539905]]"
2,"[[0.31049108 0.30345835 0.20942081 0.11960764 0.05702212]
 [0.44746588 0.24401027 0.22339337 0.06645884 0.01867164]
 [0.38984882 0.28006096 0.14579883 0.14264727 0.04164412]
 [0.2979589  0.2888042  0.24326057 0.15273985 0.01723647]
 [0.27082207 0.24811164 0.19382244 0.19208304 0.09516081]]"
3,"[[0.31893515 0.26983065 0.19203156 0.12811434 0.0910883 ]
 [0.33106083 0.31260685 0.1531144  0.14368725 0.05953066]
 [0.26497422 0.24832115 0.21713875 0.13732908 0.1322368 ]
 [0.2930944  0.25705841 0.25067803 0.11058713 0.08858202]
 [0.31786146 0.30088205 0.2807329  0.0844696  0.01605399]]"
4,"[[0.46103111 0.27878486 0.16336347 0.07584268 0.02097788]
 [0.35975035 0.34236602 0.12327532 0.10533054 0.06927778]
 [0.27690866 0.22610224 0.21463907 0.1583873  0.12396273]
 [0.29170258 0.26950269 0.24092899 0.15905594 0.0388098 ]
 [0.40815848 0.29441685 0.15649842 0.07945594 0.06147031]]"
5,"[[0.35335702 0.3463468  0.22510985 0.04066142 0.0345249 ]
 [0.40051141 0.33640798 0.13892116 0.08385291 0.04030654]
 [0.49751827 0.25704588 0.12542355 0.07878929 0.041223  ]
 [0.29356874 0.26202883 0.19293139 0.12820239 0.12326864]
 [0.32768072 0.23054617 0.18117323 0.13729606 0.12330381]]"
6,"[[0.3537369  0.30148973 0.20870517 0.1081108  0.02795741]
 [0.3050948  0.27415922 0.24438959 0.1372649  0.0390915 ]
 [0.33023033 0.2379626  0.2359835  0.15127567 0.0445479 ]
 [0.34099438 0.26810072 0.14402692 0.14277801 0.10409997]
 [0.45732503 0.24274995 0.17002036 0.11392965 0.01597502]]"
7,"[[0.37287596 0.27773099 0.25706435 0.07175109 0.02057761]
 [0.33847725 0.25247758 0.20055936 0.18315384 0.02533197]
 [0.34350914 0.31631113 0.22161528 0.08294911 0.03561534]
 [0.42725575 0.31217601 0.14821215 0.06925956 0.04309654]
 [0.27525837 0.27285538 0.17194813 0.1618758  0.11806232]]"
8,"[[0.22040578 0.32376173 0.19777292 0.18149579 0.07656378]
 [0.31544022 0.24642288 0.20806109 0.14785833 0.08221748]
 [0.35181541 0.28872655 0.21453141 0.14119064 0.00373599]
 [0.27775753 0.23150187 0.17529897 0.16195216 0.15348948]
 [0.35353504 0.28602219 0.16640075 0.10858194 0.08546009]]"
9,"[[0.44727122 0.22223057 0.17645504 0.14650952 0.00753365]
 [0.27919528 0.24116633 0.21627412 0.16167362 0.10169066]
 [0.31789012 0.26713519 0.21770536 0.17026359 0.02700574]
 [0.38009657 0.2284229  0.20920014 0.13344043 0.04883995]
 [0.40385192 0.24461079 0.2034337  0.08009537 0.06800821]]"
10,"[[0.38293704 0.25506515 0.24504407 0.11430113 0.00265261]
 [0.41391707 0.34401671 0.18252165 0.03950495 0.02003962]
 [0.52931933 0.2641535  0.08370627 0.06852637 0.05429453]
 [0.52023202 0.17529219 0.14794181 0.1023824  0.05415158]
 [0.30222343 0.27208024 0.26297188 0.16069422 0.00203024]]"
11,"[[0.42364226 0.20363489 0.18792723 0.13219838 0.05259724]
 [0.38055277 0.37290726 0.12144169 0.11545665 0.00964164]
 [0.26332532 0.25971799 0.25698164 0.20327437 0.01670068]
 [0.2538632  0.23860589 0.18765195 0.17705433 0.14282463]
 [0.2597215  0.25222113 0.22630902 0.21317287 0.04857547]]"
12,"[[0.38644372 0.23268265 0.23083796 0.11303412 0.03700156]
 [0.38971481 0.32921169 0.15960894 0.06984938 0.05161517]
 [0.29512072 0.26835322 0.23206034 0.11239918 0.09206653]
 [0.39730403 0.16546452 0.16456411 0.14520055 0.12746679]
 [0.42636314 0.30074401 0.20425791 0.06414312 0.00449181]]"
13,"[[0.46799089 0.33729979 0.11191074 0.05984582 0.02295276]
 [0.39925036 0.21515249 0.14277685 0.13158149 0.11123881]
 [0.27543644 0.27384234 0.18754915 0.17465222 0.08851984]
 [0.40864114 0.1902859  0.14540433 0.1365498  0.11911883]
 [0.35579101 0.27342925 0.16263727 0.11433709 0.09380539]]"
14,"[[0.25892514 0.22932119 0.22743379 0.16796079 0.11635909]
 [0.30582743 0.26655403 0.24807986 0.11230926 0.06722941]
 [0.26381498 0.25489609 0.24555362 0.12761843 0.10811688]
 [0.4242801  0.22420882 0.18095754 0.10974475 0.06080878]
 [0.39978115 0.35812481 0.15093934 0.07121409 0.01994061]]"
15,"[[0.33667883 0.31192229 0.21216632 0.13837691 0.00085565]
 [0.44350636 0.33871337 0.11495203 0.06885463 0.03397361]
 [0.39524233 0.25225832 0.17631417 0.16130992 0.01487526]
 [0.35174263 0.20285278 0.1785542  0.13566374 0.13118665]
 [0.39668598 0.34342676 0.15300098 0.09293747 0.01394881]]"
